band,horizon,measure,count,n,prob,ci95_low,ci95_high
1-10,1D,stay,21423,21608,0.99144,0.99012,0.99258
1-10,1D,up_one_band,0,21608,0.0,0.0,0.00018
1-10,1D,up_two_plus_bands,0,21608,0.0,0.0,0.00018
1-10,1D,down_one_band,184,21608,0.00852,0.00737,0.00983
1-10,1D,leave_top500,0,21608,0.0,0.0,0.00018
1-10,3D,stay,21219,21558,0.98427,0.98253,0.98585
1-10,3D,up_one_band,0,21558,0.0,0.0,0.00018
1-10,3D,up_two_plus_bands,0,21558,0.0,0.0,0.00018
1-10,3D,down_one_band,333,21558,0.01545,0.01388,0.01718
1-10,3D,leave_top500,0,21558,0.0,0.0,0.00018
1-10,7D,stay,20904,21438,0.97509,0.97292,0.97709
1-10,7D,up_one_band,0,21438,0.0,0.0,0.00018
1-10,7D,up_two_plus_bands,0,21438,0.0,0.0,0.00018
1-10,7D,down_one_band,521,21438,0.0243,0.02232,0.02645
1-10,7D,leave_top500,0,21438,0.0,0.0,0.00018
1-10,14D,stay,20496,21227,0.96556,0.96302,0.96793
1-10,14D,up_one_band,0,21227,0.0,0.0,0.00018
1-10,14D,up_two_plus_bands,0,21227,0.0,0.0,0.00018
1-10,14D,down_one_band,704,21227,0.03317,0.03084,0.03566
1-10,14D,leave_top500,0,21227,0.0,0.0,0.00018
1-10,30D,stay,19951,20889,0.9551,0.9522,0.95782
1-10,30D,up_one_band,0,20889,0.0,0.0,0.00018
1-10,30D,up_two_plus_bands,0,20889,0.0,0.0,0.00018
1-10,30D,down_one_band,895,20889,0.04285,0.04018,0.04568
1-10,30D,leave_top500,0,20889,0.0,0.0,0.00018
11-25,1D,stay,31510,32409,0.97226,0.97042,0.97399
11-25,1D,up_one_band,179,32409,0.00552,0.00477,0.00639
11-25,1D,up_two_plus_bands,0,32409,0.0,-0.0,0.00012
11-25,1D,down_one_band,711,32409,0.02194,0.0204,0.02359
11-25,1D,leave_top500,0,32409,0.0,-0.0,0.00012
11-25,3D,stay,30802,32333,0.95265,0.95028,0.95491
11-25,3D,up_one_band,332,32333,0.01027,0.00923,0.01143
11-25,3D,up_two_plus_bands,0,32333,0.0,0.0,0.00012
11-25,3D,down_one_band,1173,32333,0.03628,0.0343,0.03837
11-25,3D,leave_top500,0,32333,0.0,0.0,0.00012
11-25,7D,stay,29913,32153,0.93033,0.9275,0.93306
11-25,7D,up_one_band,519,32153,0.01614,0.01482,0.01758
11-25,7D,up_two_plus_bands,0,32153,0.0,0.0,0.00012
11-25,7D,down_one_band,1672,32153,0.052,0.04963,0.05448
11-25,7D,leave_top500,0,32153,0.0,0.0,0.00012
11-25,14D,stay,28753,31830,0.90333,0.90003,0.90653
11-25,14D,up_one_band,700,31830,0.02199,0.02044,0.02366
11-25,14D,up_two_plus_bands,0,31830,0.0,0.0,0.00012
11-25,14D,down_one_band,2294,31830,0.07207,0.06928,0.07496
11-25,14D,leave_top500,0,31830,0.0,0.0,0.00012
11-25,30D,stay,26911,31297,0.85986,0.85597,0.86366
11-25,30D,up_one_band,868,31297,0.02773,0.02597,0.02961
11-25,30D,up_two_plus_bands,0,31297,0.0,0.0,0.00012
11-25,30D,down_one_band,3358,31297,0.10729,0.10391,0.11077
11-25,30D,leave_top500,0,31297,0.0,0.0,0.00012
26-50,1D,stay,51926,54001,0.96157,0.95992,0.96316
26-50,1D,up_one_band,702,54001,0.013,0.01208,0.01399
26-50,1D,up_two_plus_bands,1,54001,2e-05,0.0,0.0001
26-50,1D,down_one_band,1351,54001,0.02502,0.02373,0.02637
26-50,1D,leave_top500,0,54001,0.0,0.0,7e-05
26-50,3D,stay,50485,53859,0.93735,0.93528,0.93937
26-50,3D,up_one_band,1167,53859,0.02167,0.02047,0.02293
26-50,3D,up_two_plus_bands,1,53859,2e-05,0.0,0.00011
26-50,3D,down_one_band,2170,53859,0.04029,0.03866,0.04198
26-50,3D,leave_top500,0,53859,0.0,0.0,7e-05
26-50,7D,stay,48587,53549,0.90734,0.90485,0.90976
26-50,7D,up_one_band,1668,53549,0.03115,0.02971,0.03265
26-50,7D,up_two_plus_bands,1,53549,2e-05,0.0,0.00011
26-50,7D,down_one_band,3243,53549,0.06056,0.05857,0.06261
26-50,7D,leave_top500,0,53549,0.0,0.0,7e-05
26-50,14D,stay,46109,52995,0.87006,0.86717,0.8729
26-50,14D,up_one_band,2280,52995,0.04302,0.04133,0.04478
