horizon,from_band,to_band,count,from_total,probability,ci95_low,ci95_high
14D,1-10,1-10,20496,21227,0.965563,0.963024,0.967933
14D,1-10,11-25,704,21227,0.033165,0.03084,0.03566
14D,1-10,26-50,8,21227,0.000377,0.000191,0.000744
14D,1-10,51-100,8,21227,0.000377,0.000191,0.000744
14D,1-10,101-200,0,21227,0.0,0.0,0.000181
14D,1-10,201-300,10,21227,0.000471,0.000256,0.000867
14D,1-10,301-500,1,21227,4.7e-05,8e-06,0.000267
14D,1-10,EX500_OR_OUT_OF_PANEL,0,21227,0.0,0.0,0.000181
14D,11-25,1-10,700,31830,0.021992,0.020437,0.023662
14D,11-25,11-25,28753,31830,0.90333,0.900035,0.906528
14D,11-25,26-50,2294,31830,0.07207,0.069281,0.074963
14D,11-25,51-100,34,31830,0.001068,0.000765,0.001492
14D,11-25,101-200,15,31830,0.000471,0.000286,0.000777
14D,11-25,201-300,32,31830,0.001005,0.000712,0.001419
14D,11-25,301-500,2,31830,6.3e-05,1.7e-05,0.000229
14D,11-25,EX500_OR_OUT_OF_PANEL,0,31830,0.0,0.0,0.000121
14D,26-50,1-10,4,52995,7.5e-05,2.9e-05,0.000194
14D,26-50,11-25,2280,52995,0.043023,0.041328,0.044784
14D,26-50,26-50,46109,52995,0.870063,0.867174,0.872899
14D,26-50,51-100,4502,52995,0.084951,0.082608,0.087355
14D,26-50,101-200,42,52995,0.000793,0.000586,0.001071
14D,26-50,201-300,57,52995,0.001076,0.00083,0.001393
14D,26-50,301-500,1,52995,1.9e-05,3e-06,0.000107
14D,26-50,EX500_OR_OUT_OF_PANEL,0,52995,0.0,-0.0,7.2e-05
14D,51-100,1-10,0,105937,0.0,0.0,3.6e-05
14D,51-100,11-25,20,105937,0.000189,0.000122,0.000292
14D,51-100,26-50,4133,105937,0.039014,0.037864,0.040197
14D,51-100,51-100,92430,105937,0.8725,0.870478,0.874495
14D,51-100,101-200,9100,105937,0.0859,0.084228,0.087603
14D,51-100,201-300,200,105937,0.001888,0.001644,0.002168
14D,51-100,301-500,54,105937,0.00051,0.000391,0.000665
14D,51-100,EX500_OR_OUT_OF_PANEL,0,105937,0.0,0.0,3.6e-05
14D,101-200,1-10,0,211750,0.0,0.0,1.8e-05
14D,101-200,11-25,1,211750,5e-06,1e-06,2.7e-05
14D,101-200,26-50,104,211750,0.000491,0.000405,0.000595
14D,101-200,51-100,7819,211750,0.036926,0.036131,0.037737
14D,101-200,101-200,187211,211750,0.884113,0.882743,0.88547
14D,101-200,201-300,12399,211750,0.058555,0.057563,0.059563
14D,101-200,301-500,4216,211750,0.01991,0.019324,0.020514
14D,101-200,EX500_OR_OUT_OF_PANEL,0,211750,0.0,0.0,1.8e-05
14D,201-300,1-10,1,203499,5e-06,1e-06,2.8e-05
14D,201-300,11-25,17,203499,8.4e-05,5.2e-05,0.000134
14D,201-300,26-50,161,203499,0.000791,0.000678,0.000923
14D,201-300,51-100,597,203499,0.002934,0.002708,0.003178
14D,201-300,101-200,9852,203499,0.048413,0.047489,0.049354
14D,201-300,201-300,163203,203499,0.801984,0.800247,0.80371
14D,201-300,301-500,29668,203499,0.145789,0.144263,0.147329
14D,201-300,EX500_OR_OUT_OF_PANEL,0,203499,0.0,0.0,1.9e-05
14D,301-500,1-10,0,367341,0.0,-0.0,1e-05
14D,301-500,11-25,4,367341,1.1e-05,4e-06,2.8e-05
14D,301-500,26-50,15,367341,4.1e-05,2.5e-05,6.7e-05
14D,301-500,51-100,90,367341,0.000245,0.000199,0.000301
14D,301-500,101-200,4334,367341,0.011798,0.011454,0.012153
14D,301-500,201-300,22828,367341,0.062144,0.061368,0.062929
14D,301-500,301-500,340070,367341,0.925761,0.924909,0.926604
14D,301-500,EX500_OR_OUT_OF_PANEL,0,367341,0.0,-0.0,1e-05
14D,EX500_OR_OUT_OF_PANEL,1-10,0,0,,,
14D,EX500_OR_OUT_OF_PANEL,11-25,0,0,,,
14D,EX500_OR_OUT_OF_PANEL,26-50,0,0,,,
14D,EX500_OR_OUT_OF_PANEL,51-100,0,0,,,
14D,EX500_OR_OUT_OF_PANEL,101-200,0,0,,,
14D,EX500_OR_OUT_OF_PANEL,201-300,0,0,,,
14D,EX500_OR_OUT_OF_PANEL,301-500,0,0,,,
14D,EX500_OR_OUT_OF_PANEL,EX500_OR_OUT_OF_PANEL,0,0,,,
