episode_type,source,raw_episodes,effective_clusters
SECTOR,enterprise-solutions,242,86
SECTOR,entertainment,206,85
SECTOR,eos,116,44
SECTOR,eos-ecosystem,63,21
SECTOR,equihash,199,75
SECTOR,escrow,141,54
SECTOR,eth-2-0-staking,17,7
SECTOR,eth-2-staking,54,26
SECTOR,eth-staking,36,23
SECTOR,ethash,195,84
SECTOR,ethereum,32,16
SECTOR,ethereum-classic-ecosystem,66,24
SECTOR,ethereum-ecosystem,203,62
SECTOR,ethereum-pow-ecosystem,7,7
SECTOR,ethereumpow-ecosystem,3,3
SECTOR,etherlink-ecosys,3,3
SECTOR,etherlink-ecosystem,20,10
SECTOR,eur-stablecoin,142,54
SECTOR,everscale-ecosystem,76,40
SECTOR,exnetwork-capital-portfolio,238,68
SECTOR,fabric-ventures-portfolio,222,83
SECTOR,fan-token,70,28
SECTOR,fantom-ecosystem,217,70
SECTOR,fenbushi-capital-portfolio,219,80
SECTOR,ferrum-network,2,2
SECTOR,fiat-stablecoin,73,30
SECTOR,filecoin-ecosystem,132,54
SECTOR,filesharing,276,81
SECTOR,flare-network-ecosystem,22,10
SECTOR,flow-ecosystem,51,16
SECTOR,four-meme-ecosystem,39,16
SECTOR,framework-ventures,18,7
SECTOR,framework-ventures-portfolio,197,69
SECTOR,fraxtal-ecosystem,23,9
SECTOR,ftx-bankruptcy-estate,44,31
SECTOR,fuse-ecosystem,13,9
SECTOR,fusion-network-ecosystem,49,24
SECTOR,galaxy-digital-portfolio,209,79
SECTOR,gambling,195,82
SECTOR,gaming,228,83
SECTOR,gaming-guild,174,73
SECTOR,gemini-frontier-fund,51,14
SECTOR,generative-ai,134,46
SECTOR,geospatial-services,37,15
SECTOR,gnosis-chain-ecosystem,72,18
SECTOR,governance,234,75
SECTOR,government,24,10
SECTOR,groestl,70,30
SECTOR,hardware,227,85
SECTOR,harmony-ecosystem,200,65
SECTOR,hashkey-capital-portfolio,219,79
SECTOR,hashkey-chain-ecosystem,24,8
SECTOR,health,190,68
SECTOR,heco-ecosystem,182,68
SECTOR,hedera-hashgraph-ecosystem,91,40
SECTOR,hoo-smart-chain-ecosystem,39,18
SECTOR,hospitality,91,36
SECTOR,huobi-capital,19,8
SECTOR,huobi-capital-portfolio,187,63
SECTOR,hybrid-dpow-pow,133,56
SECTOR,hybrid-pos-lpos,10,8
SECTOR,hybrid-pow-dpos,164,69
SECTOR,hybrid-pow-npos,86,33
SECTOR,hybrid-pow-pos,247,75
SECTOR,hybrid-token-standard,65,25
SECTOR,hyperevm-ecosystem,37,10
SECTOR,hyperliquid-ecosystem,48,22
SECTOR,icetea-labs,38,18
SECTOR,icp-ecosystem,50,22
SECTOR,identity,253,80
SECTOR,immutable-zkevm-ecosystem,19,12
SECTOR,injective-ecosystem,204,59
SECTOR,inscriptions,107,31
SECTOR,insurance,151,59
SECTOR,intent,65,21
SECTOR,internet-capital-markets,28,13
SECTOR,internet-computer-ecosystem,128,57
SECTOR,interoperability,296,83
SECTOR,iost-ecosystem,18,7
SECTOR,iostoken,28,11
SECTOR,iot,251,81
SECTOR,iota-evm-ecosystem,17,8
SECTOR,iotex-ecosystem,172,61
SECTOR,ip-memes,66,21
SECTOR,ipfs,13,7
SECTOR,iso-20022,28,10
SECTOR,jobs,3,3
SECTOR,jump-crypto,118,43
SECTOR,kadena-ecosystem,107,40
SECTOR,kardiachain-ecosystem,37,20
SECTOR,kava-ecosystem,22,10
SECTOR,kcc-ecosystem,19,15
SECTOR,kenetic-capital-portfolio,203,61
SECTOR,kinetic-capital,21,7
SECTOR,klaytn-ecosystem,60,23
SECTOR,launchpad,213,70
SECTOR,layer-1,111,46
SECTOR,layer-2,199,79
SECTOR,ledgerprime-portfolio,210,67
SECTOR,lelantusmw,26,11
SECTOR,lending-borowing,256,69
SECTOR,linea-ecosystem,107,41
SECTOR,liquid-staking-derivatives,133,51
SECTOR,logistics,252,85
SECTOR,loyalty,218,90
SECTOR,lp-tokens,132,57
SECTOR,lpos,200,83
SECTOR,lyra2re,10,3
SECTOR,lyra2rev2,51,25
SECTOR,made-in-america,63,25
SECTOR,made-in-china,30,12
SECTOR,manta-pacific-ecosystem,38,13
SECTOR,mantle-ecosystem,57,24
SECTOR,mantra-ecosystem,6,3
SECTOR,marketing,225,87
SECTOR,marketplace,272,74
SECTOR,masternodes,251,84
SECTOR,media,258,80
SECTOR,medium-of-exchange,234,80
SECTOR,megaeth-ecosystem,8,3
SECTOR,memes,206,75
SECTOR,merlin-ecosy,4,2
SECTOR,merlin-ecosystem,34,14
SECTOR,metal-ecosystem,11,5
SECTOR,metaverse,198,76
SECTOR,meter-ecosystem,15,10
SECTOR,metis-andromeda-ecosystem,51,21
SECTOR,metisdao-ecosystem,133,56
SECTOR,milkomeda-ecosystem,11,6
SECTOR,mimble-wimble,37,16
SECTOR,mimblewimble,25,11
SECTOR,mineable,251,76
SECTOR,mobile,218,94
SECTOR,mobile-mining,43,22
SECTOR,mobile-payment,114,47
SECTOR,mode-ecosystem,14,9
SECTOR,modular-blockchain,122,40
SECTOR,monad-ecosystem,18,9
SECTOR,moonbeam-ecosystem,63,21
SECTOR,moonriver-ecosystem,105,53
SECTOR,moonshot,52,19
SECTOR,move-to-earn,131,56
SECTOR,move-vm,82,32
SECTOR,movement-ecosystem,28,12
SECTOR,multicoin-capital-portfolio,179,78
SECTOR,multiple,5,2
SECTOR,multiple-algorithms,203,89
SECTOR,multiversx-ecosystem,84,37
SECTOR,music,197,71
SECTOR,mvb,202,64
SECTOR,near-protocol-ecosystem,237,61
SECTOR,neo-ecosystem,56,18
SECTOR,neobank,29,9
SECTOR,neon-evm-ecosystem,22,12
SECTOR,nomad-capital,96,42
SECTOR,oasis-ecosystem,70,25
SECTOR,okex-blockdream-ventures-portfolio,84,24
SECTOR,okexchain-ecosystem,36,18
SECTOR,okx-ventures-portfolio,110,32
SECTOR,olympus-pro-ecosystem,185,67
SECTOR,omni,30,9
SECTOR,ondo-global-markets-ecosystem,35,8
SECTOR,ont-ecosystem,47,22
SECTOR,ontology,12,6
SECTOR,ontology-ecosystem,166,56
SECTOR,onus-ecosystem,14,7
SECTOR,opbnb-ecosystem,58,25
SECTOR,open-source,122,52
SECTOR,optimism-ecosystem,132,57
SECTOR,options,40,17
SECTOR,oracles,259,86
SECTOR,ordinals-brc20-ecosystem,69,18
SECTOR,osmosis-ecosystem,84,32
SECTOR,oxbull,61,26
SECTOR,paal-ecosystem,88,40
SECTOR,pantera-capital-portfolio,222,78
SECTOR,paradigm-portfolio,208,64
SECTOR,paradigm-xzy-screener,8,5
SECTOR,parafi-capital,223,62
SECTOR,parallel-evm,89,35
SECTOR,payments,234,82
SECTOR,peaq-ecosystem,21,11
SECTOR,perp-dex-coins,18,6
SECTOR,perpetuals,5,3
SECTOR,petrock-capital,5,3
SECTOR,petrock-capital-portfolio,152,62
SECTOR,philanthropy,69,29
SECTOR,placeholder-ventures-portfolio,226,68
SECTOR,plasma-ecosystem,28,12
SECTOR,platform,238,91
SECTOR,platform-token,4,2
SECTOR,play-to-earn,196,66
SECTOR,poa,159,61
SECTOR,poc,11,6
SECTOR,poi,184,67
SECTOR,political-memes,82,38
SECTOR,polkadot,271,87
SECTOR,polkadot-ecosystem,234,75
SECTOR,polkafoundry-red-kite,61,28
SECTOR,polkastarter,191,73
SECTOR,polychain-capital-portfolio,207,83
SECTOR,polygon-ecosystem,231,74
SECTOR,polygon-ventures-portfolio,88,29
SECTOR,polygon-zkevm-ecosystem,72,26
SECTOR,poolz-finance-portfolio,19,8
SECTOR,pos,190,82
SECTOR,pos-30,14,8
SECTOR,posplus,95,36
SECTOR,pow,233,77
SECTOR,prediction-markets,208,80
SECTOR,presale-memes,19,8
SECTOR,privacy,269,83
SECTOR,privacy-blockchain,27,11
SECTOR,privacy-coins,28,7
SECTOR,proof-of-authority,16,8
SECTOR,protocol-owned-liquidity,150,56
SECTOR,pulsechain-ecosystem,30,16
SECTOR,pump-fun-ecosystem,76,25
SECTOR,qtum-ecosystem,7,2
SECTOR,quantum-resistant,105,38
SECTOR,quark,9,4
SECTOR,real-estate,177,72
SECTOR,real-world-assets,102,25
SECTOR,real-world-assets-protocols,39,14
SECTOR,rebase,66,34
SECTOR,red-packets,153,50
SECTOR,reef-chain,51,18
SECTOR,rehypothecated-crypto,38,23
SECTOR,reputation,198,67
SECTOR,research,253,80
SECTOR,restaking,99,38
SECTOR,retail,127,58
SECTOR,ringct,197,87
SECTOR,robotics,46,11
SECTOR,rollups,205,74
SECTOR,rollups-as-a-service,89,35
