sector,active_days,median_sector_rank,median_sector_rank_velocity,median_ret_7d,median_share_chg_7d,median_share_chg_30d,median_breadth_1d,median_breadth_7d,median_top1_participation,median_top3_participation,median_top5_participation,median_top10_participation,full_sector_breadth_7d_median,median_leader_follow_gap_7d,median_dispersion_ret_7d,median_volume_share
binance-ecosystem,466,1.0,0.0,-0.019344009295632736,-1.5645370354415433e-05,-0.0001156931002251494,0.4264933662135447,0.3579838199403417,0.5934090514297969,0.7771918998465724,0.8509347486347332,0.9244022080462702,0.3579838199403417,0.11123213213600643,0.13200807874329518,0.973334970253146
alameda-research-portfolio,1923,2.0,0.0,-0.006260348893215806,2.3035954042210927e-06,-1.4080115651779468e-05,0.47058823529411764,0.3125,0.6840633176495714,0.9563828298146703,0.9863068063698855,0.9957911172602966,0.3125,0.09328810449321517,0.08398714849420205,0.34503929687729906
binance-listing,438,2.0,0.0,-0.018532388281290835,-2.595903065771149e-05,-0.00014206481978944023,0.42487173368333137,0.35815883795510284,0.5934808992065135,0.7771762079258325,0.8510410851547128,0.9250719878552198,0.35815883795510284,0.1091799627334811,0.13451317804921742,0.971528549372038
multicoin-capital-portfolio,1923,3.0,0.0,-0.012031485859494206,3.5995648740277247e-06,-1.0322487600723795e-05,0.45454545454545453,0.3,0.6871583618104018,0.9657007820355799,0.9925474634691239,0.9978280927829052,0.3,0.09208877750683889,0.08507642008119405,0.34204823460143763
pantera-capital-portfolio,1923,4.0,0.0,-0.007676925162689807,-9.440389189143902e-06,-9.467197174696865e-05,0.45454545454545453,0.3235294117647059,0.7135835377929771,0.977081795896133,0.9873395785505258,0.9948468010602252,0.3235294117647059,0.09583644632061625,0.09221790104073144,0.34442317123589233
sec-cftc-digital-commodities,159,4.0,0.0,-0.01302558501590323,-1.970639982506496e-05,-6.151070581185067e-05,0.4,0.2,0.7713866064396513,0.9464775082170158,0.9799505125823899,0.9948869678544418,0.2,0.04297300466417903,0.03934161243001877,0.3404591188023106
sec-cftc-token-taxonomy,159,5.0,0.0,-0.01302558501590323,-1.970639982506496e-05,-6.151070581185067e-05,0.4,0.2,0.7713866064396513,0.9464775082170158,0.9799505125823899,0.9948869678544418,0.2,0.04297300466417903,0.03934161243001877,0.3404591188023106
a16z-portfolio,1923,7.0,0.0,-0.011182285903074185,-4.343337259212279e-06,-6.168967699064776e-05,0.4444444444444444,0.29411764705882354,0.7223296183103066,0.986279216145842,0.9931360159392233,0.9987744534021584,0.29411764705882354,0.0893308830494065,0.07938279924709091,0.3378291354126219
cms-holdings-portfolio,1923,7.0,0.0,-0.008808255298314638,-6.0918275232337005e-06,-4.630017984162682e-05,0.45454545454545453,0.25,0.7134569463710554,0.9845649456541435,0.997813408479699,0.9998658841240292,0.25,0.07734405480465045,0.07674764872838438,0.33401283101385876
arrington-xrp-capital,227,8.0,0.0,0.01560728549807866,-3.500731471326422e-05,-7.319572976174221e-05,0.5384615384615384,0.2857142857142857,0.6725410066769366,0.9867196292053335,0.9945881050131749,0.9996315593341653,0.2857142857142857,0.14943840295899913,0.13012551060717553,0.31210437601065644
coinbase-ventures-portfolio,1989,8.0,0.0,-0.010149106713728706,-5.441942610116823e-06,-8.65117281536737e-05,0.4482758620689655,0.32,0.7226142555736546,0.9828686245208121,0.9908205179751238,0.9963929080971301,0.32,0.10403687162687805,0.09537542656630787,0.35702036906822
