state,n_days,share_of_days,separation_ratio,day_over_day_persistence
STABLECOIN_PARKING,155,0.0706,0.411,0.768
CAPITAL_EXIT,84,0.0383,1.171,0.881
BROAD_RISK_EXPANSION,211,0.0961,1.801,0.815
NARROW_LEADERSHIP,98,0.0446,0.363,0.48
ETH_BROADENING,139,0.0633,1.136,0.64
LARGE_ALT_ROTATION,84,0.0383,0.462,0.667
MID_CAP_ROTATION,75,0.0342,1.044,0.6
SMALL_CAP_ROTATION,6,0.0027,,0.333
BTC_CONCENTRATION,572,0.2605,0.748,0.781
MIXED_NO_CLEAR_ROUTE,772,0.3515,0.542,0.74
