driver,risk_metric,lead_days,corr,boot_ci_low,boot_ci_high,raw_p,n,direction,fdr_q
sc_chg_1d,pos_ret_share,-30,-0.0072,-0.0377,0.0273,0.7565,2166.0,RISK_LEADS,0.8333
sc_chg_1d,pos_ret_share,-14,0.0535,0.0014,0.0947,0.022,2182.0,RISK_LEADS,0.0786
sc_chg_1d,pos_ret_share,-7,0.0276,-0.0023,0.0622,0.1956,2189.0,RISK_LEADS,0.3656
sc_chg_1d,pos_ret_share,-3,0.0578,0.0303,0.088,0.004,2193.0,RISK_LEADS,0.04
sc_chg_1d,pos_ret_share,-1,0.0358,-0.0002,0.0712,0.1058,2195.0,RISK_LEADS,0.2378
sc_chg_1d,pos_ret_share,1,0.008,-0.0324,0.0491,0.7086,2195.0,STABLECOIN_LEADS,0.8098
sc_chg_1d,pos_ret_share,3,0.0246,-0.0203,0.0678,0.2535,2193.0,STABLECOIN_LEADS,0.4447
sc_chg_1d,pos_ret_share,7,0.0373,0.0005,0.075,0.1118,2189.0,STABLECOIN_LEADS,0.2404
sc_chg_1d,pos_ret_share,14,0.004,-0.0291,0.0367,0.8403,2182.0,STABLECOIN_LEADS,0.8725
sc_chg_1d,pos_ret_share,30,0.0387,-0.0005,0.0831,0.0838,2166.0,STABLECOIN_LEADS,0.1905
sc_chg_1d,alt_breadth_30d,-30,0.0911,0.015,0.1741,0.022,2166.0,RISK_LEADS,0.0786
sc_chg_1d,alt_breadth_30d,-14,0.1339,0.0655,0.1991,0.006,2182.0,RISK_LEADS,0.0444
sc_chg_1d,alt_breadth_30d,-7,0.1373,0.07,0.2014,0.002,2189.0,RISK_LEADS,0.0286
sc_chg_1d,alt_breadth_30d,-3,0.1304,0.0577,0.2053,0.012,2193.0,RISK_LEADS,0.0545
sc_chg_1d,alt_breadth_30d,-1,0.145,0.0698,0.2154,0.006,2195.0,RISK_LEADS,0.0444
sc_chg_1d,alt_breadth_30d,1,0.1376,0.0754,0.1955,0.01,2195.0,STABLECOIN_LEADS,0.0513
sc_chg_1d,alt_breadth_30d,3,0.1438,0.0642,0.2132,0.002,2193.0,STABLECOIN_LEADS,0.0286
sc_chg_1d,alt_breadth_30d,7,0.1143,0.026,0.2045,0.01,2189.0,STABLECOIN_LEADS,0.0513
sc_chg_1d,alt_breadth_30d,14,0.1085,0.0271,0.1931,0.012,2182.0,STABLECOIN_LEADS,0.0545
sc_chg_1d,alt_breadth_30d,30,0.0246,-0.067,0.0897,0.6507,2166.0,STABLECOIN_LEADS,0.7746
sc_chg_1d,btc_ret_1d,-30,-0.0033,-0.0369,0.0303,0.8942,2131.0,RISK_LEADS,0.9171
sc_chg_1d,btc_ret_1d,-14,0.0709,0.0007,0.142,0.004,2147.0,RISK_LEADS,0.04
sc_chg_1d,btc_ret_1d,-7,0.0279,-0.0244,0.0845,0.2275,2154.0,RISK_LEADS,0.4173
sc_chg_1d,btc_ret_1d,-3,0.0828,0.0319,0.1433,0.004,2158.0,RISK_LEADS,0.04
sc_chg_1d,btc_ret_1d,-1,0.0533,-0.0069,0.113,0.0419,2160.0,RISK_LEADS,0.1164
sc_chg_1d,btc_ret_1d,1,0.0344,-0.0192,0.0937,0.1657,2161.0,STABLECOIN_LEADS,0.3249
sc_chg_1d,btc_ret_1d,3,0.0737,-0.0211,0.152,0.01,2159.0,STABLECOIN_LEADS,0.0513
sc_chg_1d,btc_ret_1d,7,0.0203,-0.0358,0.0779,0.3453,2155.0,STABLECOIN_LEADS,0.5557
sc_chg_1d,btc_ret_1d,14,-0.0057,-0.0657,0.0479,0.8164,2148.0,STABLECOIN_LEADS,0.8594
sc_chg_1d,btc_ret_1d,30,0.0539,-0.0185,0.1123,0.0299,2132.0,STABLECOIN_LEADS,0.092
sc_chg_1d,eth_btc_rel_7d,-30,0.0669,-0.021,0.1582,0.0459,2114.0,RISK_LEADS,0.1213
sc_chg_1d,eth_btc_rel_7d,-14,0.0962,-0.0093,0.1736,0.006,2130.0,RISK_LEADS,0.0444
sc_chg_1d,eth_btc_rel_7d,-7,0.0731,-0.0096,0.1353,0.0299,2137.0,RISK_LEADS,0.092
sc_chg_1d,eth_btc_rel_7d,-3,0.1037,0.0285,0.1794,0.01,2141.0,RISK_LEADS,0.0513
sc_chg_1d,eth_btc_rel_7d,-1,0.0851,-0.0082,0.1991,0.016,2143.0,RISK_LEADS,0.0667
sc_chg_1d,eth_btc_rel_7d,1,0.0975,-0.0117,0.2055,0.01,2144.0,STABLECOIN_LEADS,0.0513
sc_chg_1d,eth_btc_rel_7d,3,0.0885,-0.0255,0.2126,0.014,2144.0,STABLECOIN_LEADS,0.0596
sc_chg_1d,eth_btc_rel_7d,7,0.0649,-0.0125,0.1476,0.0659,2144.0,STABLECOIN_LEADS,0.1569
sc_chg_1d,eth_btc_rel_7d,14,0.0665,-0.055,0.1795,0.0479,2137.0,STABLECOIN_LEADS,0.1213
