state,forward_window_d,mean_fwd_posret_share,median_fwd_btc_ret30
STABLECOIN_PARKING,7,0.4633,-0.11484
STABLECOIN_PARKING,14,0.4729,-0.08906
STABLECOIN_PARKING,30,0.4693,0.00283
CAPITAL_EXIT,7,0.4694,-0.26054
CAPITAL_EXIT,14,0.4535,-0.18513
CAPITAL_EXIT,30,0.4747,0.02566
BROAD_RISK_EXPANSION,7,0.4485,0.09359
BROAD_RISK_EXPANSION,14,0.4428,0.03133
BROAD_RISK_EXPANSION,30,0.4543,-0.01873
NARROW_LEADERSHIP,7,0.4665,-0.04679
NARROW_LEADERSHIP,14,0.4567,-0.0456
NARROW_LEADERSHIP,30,0.4449,0.00359
ETH_BROADENING,7,0.4792,-0.02731
ETH_BROADENING,14,0.454,-0.03805
ETH_BROADENING,30,0.4355,-0.05287
LARGE_ALT_ROTATION,7,0.4861,0.00358
LARGE_ALT_ROTATION,14,0.4625,0.00021
LARGE_ALT_ROTATION,30,0.4226,0.0181
MID_CAP_ROTATION,7,0.4321,0.10928
MID_CAP_ROTATION,14,0.5083,0.06384
MID_CAP_ROTATION,30,0.4513,-0.02892
SMALL_CAP_ROTATION,7,0.2617,-0.06707
SMALL_CAP_ROTATION,14,0.376,-0.08569
SMALL_CAP_ROTATION,30,0.4277,-0.12682
BTC_CONCENTRATION,7,0.4746,0.11199
BTC_CONCENTRATION,14,0.4718,0.10345
BTC_CONCENTRATION,30,0.4705,0.05471
MIXED_NO_CLEAR_ROUTE,7,0.4543,-0.00666
MIXED_NO_CLEAR_ROUTE,14,0.4575,0.00414
MIXED_NO_CLEAR_ROUTE,30,0.4687,0.01657
