sector,episode_start,leader_symbol,leader_global_rank,leader_vel7_at_start,leader_fwd_ret7,follower_median_vel7_at_start,follower_confirm_rate_30d,median_time_to_confirm_days,n_followers_tracked,episode_duration_days
2017-2018-alt-season,2025-02-09,XVG,358,62.0,-0.020136698372334227,3.5,1.0,5.0,10,5
2017-2018-alt-season,2025-02-27,ZEC,101,14.0,-0.07043750491309109,1.5,0.8,3.0,10,5
2017-2018-alt-season,2025-03-05,XVG,370,64.0,-0.1274153427078235,1.5,0.8,8.5,10,3
2017-2018-alt-season,2025-03-11,DASH,148,3.0,0.10723645632703094,1.0,0.6,7.0,10,1
2017-2018-alt-season,2025-04-03,EOS,55,21.0,-0.27862327873258463,1.5,0.6,3.0,10,2
2017-2018-alt-season,2025-04-06,EOS,56,10.0,-0.14814801375400422,1.0,0.7,14.0,10,1
2017-2018-alt-season,2025-04-08,XVG,403,53.0,0.15159957674816527,2.5,0.9,30.0,10,1
2017-2018-alt-season,2025-04-14,XVG,387,5.0,0.10891580428205283,1.0,0.8,3.0,10,1
2017-2018-alt-season,2025-04-16,XVG,387,77.0,0.2370160046325358,1.0,0.5,3.0,10,2
2017-2018-alt-season,2025-05-07,EOS,59,9.0,-0.026065888759424838,1.5,0.6,10.5,10,2
2017-2018-alt-season,2025-05-29,ZEC,80,12.0,-0.09785510133474884,1.0,0.5,3.0,10,1
2017-2018-alt-season,2025-05-31,DASH,165,6.0,-0.012608112866617671,1.0,0.6,3.0,10,5
2017-2018-alt-season,2025-06-16,NEO,125,4.0,-0.01720152910698558,1.0,0.9,3.0,10,8
2017-2018-alt-season,2025-06-25,XVG,372,11.0,0.1117504542701393,2.0,0.6,10.5,10,1
2017-2018-alt-season,2025-07-19,XTZ,80,21.0,-0.13148718699445838,3.0,0.8,3.0,10,4
2017-2018-alt-season,2025-08-27,NEO,113,18.0,-0.06760703957493663,1.0,0.6,3.0,10,1
2017-2018-alt-season,2025-10-01,DASH,149,27.0,0.059003693233627086,1.5,0.8,3.0,10,6
2017-2018-alt-season,2025-10-11,DASH,109,29.0,0.07950380942125057,1.5,0.7,3.0,10,1
2017-2018-alt-season,2025-10-13,XVG,329,72.0,-0.0739572765657246,1.0,0.7,3.0,10,3
2017-2018-alt-season,2025-10-17,THETA,101,12.0,0.02178883412076149,2.5,0.7,3.0,10,7
2017-2018-alt-season,2025-10-31,XVG,318,31.0,0.34431161112431496,2.0,0.7,3.0,10,4
2017-2018-alt-season,2025-11-06,XVG,324,88.0,-0.19268566633149875,5.0,0.8,3.0,10,5
2017-2018-alt-season,2025-12-09,XVG,342,13.0,-0.15026054494076158,1.0,0.6,3.0,10,1
2017-2018-alt-season,2026-01-13,XVG,329,17.0,-0.054183709681752235,1.0,0.7,3.0,10,1
2017-2018-alt-season,2026-02-06,XVG,200,124.0,0.06429387471083059,1.0,0.6,3.0,10,1
2017-2018-alt-season,2026-02-13,BSV,104,10.0,-0.03540150119870611,2.0,0.6,3.0,10,2
2017-2018-alt-season,2026-02-19,BSV,104,6.0,-0.006735505546749954,1.0,0.7,7.0,10,1
2017-2018-alt-season,2026-03-19,A,162,6.0,-0.06152072231432515,1.0,0.7,7.0,10,1
2017-2018-alt-season,2026-04-02,BSV,101,9.0,0.08438615262289462,1.0,0.5,3.0,10,1
2017-2018-alt-season,2026-04-04,BSV,95,12.0,-0.044190326794799506,1.0,0.8,3.0,10,6
2017-2018-alt-season,2026-04-21,THETA,132,12.0,-0.047905028412583595,1.0,0.5,14.0,10,1
2017-2018-alt-season,2026-04-23,THETA,131,8.0,-0.11207851332120955,1.0,0.4,3.0,10,2
2017-2018-alt-season,2026-05-14,THETA,137,2.0,-0.09807741501403155,1.0,0.5,14.0,10,1
