driver,responds,stationarity,F,raw_p,n
1-10_velocity,11-25_velocity,LEVEL_STATIONARY,12.555,0.0,2040
1-10_return,11-25_return,LEVEL_STATIONARY,4.178,0.0059,2063
11-25_velocity,26-50_velocity,LEVEL_STATIONARY,4.053,0.007,2040
11-25_return,26-50_return,LEVEL_STATIONARY,3.499,0.0149,2063
26-50_velocity,51-100_velocity,LEVEL_STATIONARY,6.111,0.0004,2040
26-50_return,51-100_return,LEVEL_STATIONARY,1.101,0.3474,2063
51-100_velocity,101-200_velocity,LEVEL_STATIONARY,10.743,0.0,2040
51-100_return,101-200_return,LEVEL_STATIONARY,3.137,0.0245,2063
101-200_velocity,201-300_velocity,LEVEL_STATIONARY,11.388,0.0,2040
101-200_return,201-300_return,LEVEL_STATIONARY,0.919,0.4306,2063
201-300_velocity,301-500_velocity,LEVEL_STATIONARY,29.544,0.0,2040
201-300_return,301-500_return,LEVEL_STATIONARY,1.457,0.2244,2063
