horizon,from_band,to_band,count,from_total,probability,ci95_low,ci95_high
30D,1-10,1-10,19951,20889,0.955096,0.952203,0.957822
30D,1-10,11-25,895,20889,0.042846,0.040182,0.045677
30D,1-10,26-50,2,20889,9.6e-05,2.6e-05,0.000349
30D,1-10,51-100,2,20889,9.6e-05,2.6e-05,0.000349
30D,1-10,101-200,11,20889,0.000527,0.000294,0.000943
30D,1-10,201-300,27,20889,0.001293,0.000888,0.00188
30D,1-10,301-500,1,20889,4.8e-05,8e-06,0.000271
30D,1-10,EX500_OR_OUT_OF_PANEL,0,20889,0.0,0.0,0.000184
30D,11-25,1-10,868,31297,0.027734,0.025972,0.029612
30D,11-25,11-25,26911,31297,0.859859,0.855969,0.863661
30D,11-25,26-50,3358,31297,0.107295,0.103914,0.110772
30D,11-25,51-100,53,31297,0.001693,0.001295,0.002214
30D,11-25,101-200,34,31297,0.001086,0.000778,0.001518
30D,11-25,201-300,71,31297,0.002269,0.001799,0.00286
30D,11-25,301-500,2,31297,6.4e-05,1.8e-05,0.000233
30D,11-25,EX500_OR_OUT_OF_PANEL,0,31297,0.0,0.0,0.000123
30D,26-50,1-10,18,52118,0.000345,0.000218,0.000546
30D,26-50,11-25,3268,52118,0.062704,0.060655,0.064818
30D,26-50,26-50,42019,52118,0.806228,0.802812,0.809599
30D,26-50,51-100,6605,52118,0.126732,0.123903,0.129615
30D,26-50,101-200,96,52118,0.001842,0.001509,0.002249
30D,26-50,201-300,107,52118,0.002053,0.001699,0.00248
30D,26-50,301-500,5,52118,9.6e-05,4.1e-05,0.000225
30D,26-50,EX500_OR_OUT_OF_PANEL,0,52118,0.0,0.0,7.4e-05
30D,51-100,1-10,2,104095,1.9e-05,5e-06,7e-05
30D,51-100,11-25,114,104095,0.001095,0.000912,0.001315
30D,51-100,26-50,5651,104095,0.054287,0.052927,0.05568
30D,51-100,51-100,84439,104095,0.811172,0.808783,0.813539
30D,51-100,101-200,13363,104095,0.128373,0.126355,0.130419
30D,51-100,201-300,434,104095,0.004169,0.003796,0.004579
30D,51-100,301-500,92,104095,0.000884,0.000721,0.001084
30D,51-100,EX500_OR_OUT_OF_PANEL,0,104095,0.0,-0.0,3.7e-05
30D,101-200,1-10,0,207932,0.0,0.0,1.8e-05
30D,101-200,11-25,2,207932,1e-05,3e-06,3.5e-05
30D,101-200,26-50,273,207932,0.001313,0.001166,0.001478
30D,101-200,51-100,10693,207932,0.051425,0.050484,0.052383
30D,101-200,101-200,172016,207932,0.82727,0.82564,0.828889
30D,101-200,201-300,17257,207932,0.082993,0.081815,0.084187
30D,101-200,301-500,7691,207932,0.036988,0.036185,0.037808
30D,101-200,EX500_OR_OUT_OF_PANEL,0,207932,0.0,0.0,1.8e-05
30D,201-300,1-10,0,197367,0.0,0.0,1.9e-05
30D,201-300,11-25,19,197367,9.6e-05,6.2e-05,0.00015
30D,201-300,26-50,362,197367,0.001834,0.001655,0.002033
30D,201-300,51-100,999,197367,0.005062,0.004758,0.005385
30D,201-300,101-200,12952,197367,0.065624,0.06454,0.066725
30D,201-300,201-300,142910,197367,0.724083,0.722106,0.72605
30D,201-300,301-500,40125,197367,0.203301,0.201532,0.205083
30D,201-300,EX500_OR_OUT_OF_PANEL,0,197367,0.0,0.0,1.9e-05
30D,301-500,1-10,1,334458,3e-06,1e-06,1.7e-05
30D,301-500,11-25,5,334458,1.5e-05,6e-06,3.5e-05
30D,301-500,26-50,36,334458,0.000108,7.8e-05,0.000149
30D,301-500,51-100,195,334458,0.000583,0.000507,0.000671
30D,301-500,101-200,7025,334458,0.021004,0.020524,0.021496
30D,301-500,201-300,26684,334458,0.079783,0.078869,0.080706
30D,301-500,301-500,300512,334458,0.898504,0.897476,0.899523
30D,301-500,EX500_OR_OUT_OF_PANEL,0,334458,0.0,0.0,1.1e-05
30D,EX500_OR_OUT_OF_PANEL,1-10,0,0,,,
30D,EX500_OR_OUT_OF_PANEL,11-25,0,0,,,
30D,EX500_OR_OUT_OF_PANEL,26-50,0,0,,,
30D,EX500_OR_OUT_OF_PANEL,51-100,0,0,,,
30D,EX500_OR_OUT_OF_PANEL,101-200,0,0,,,
30D,EX500_OR_OUT_OF_PANEL,201-300,0,0,,,
30D,EX500_OR_OUT_OF_PANEL,301-500,0,0,,,
30D,EX500_OR_OUT_OF_PANEL,EX500_OR_OUT_OF_PANEL,0,0,,,
