horizon,from_band,to_band,count,from_total,probability,ci95_low,ci95_high
7D,1-10,1-10,20904,21438,0.975091,0.972918,0.977094
7D,1-10,11-25,521,21438,0.024303,0.022325,0.026451
7D,1-10,26-50,7,21438,0.000327,0.000158,0.000674
7D,1-10,51-100,2,21438,9.3e-05,2.6e-05,0.00034
7D,1-10,101-200,0,21438,0.0,0.0,0.000179
7D,1-10,201-300,3,21438,0.00014,4.8e-05,0.000411
7D,1-10,301-500,1,21438,4.7e-05,8e-06,0.000264
7D,1-10,EX500_OR_OUT_OF_PANEL,0,21438,0.0,0.0,0.000179
7D,11-25,1-10,519,32153,0.016142,0.014821,0.017578
7D,11-25,11-25,29913,32153,0.930333,0.927499,0.933065
7D,11-25,26-50,1672,32153,0.052001,0.049628,0.054482
7D,11-25,51-100,25,32153,0.000778,0.000527,0.001148
7D,11-25,101-200,4,32153,0.000124,4.8e-05,0.00032
7D,11-25,201-300,19,32153,0.000591,0.000378,0.000923
7D,11-25,301-500,1,32153,3.1e-05,5e-06,0.000176
7D,11-25,EX500_OR_OUT_OF_PANEL,0,32153,0.0,0.0,0.000119
7D,26-50,1-10,1,53549,1.9e-05,3e-06,0.000106
7D,26-50,11-25,1668,53549,0.031149,0.029711,0.032654
7D,26-50,26-50,48587,53549,0.907337,0.904852,0.909764
7D,26-50,51-100,3243,53549,0.060561,0.058572,0.062613
7D,26-50,101-200,20,53549,0.000373,0.000242,0.000577
7D,26-50,201-300,30,53549,0.00056,0.000392,0.0008
7D,26-50,301-500,0,53549,0.0,0.0,7.2e-05
7D,26-50,EX500_OR_OUT_OF_PANEL,0,53549,0.0,0.0,7.2e-05
7D,51-100,1-10,0,107053,0.0,-0.0,3.6e-05
7D,51-100,11-25,6,107053,5.6e-05,2.6e-05,0.000122
7D,51-100,26-50,3065,107053,0.028631,0.027648,0.029647
7D,51-100,51-100,97375,107053,0.909596,0.907864,0.911299
7D,51-100,101-200,6472,107053,0.060456,0.059044,0.0619
7D,51-100,201-300,116,107053,0.001084,0.000904,0.001299
7D,51-100,301-500,19,107053,0.000177,0.000114,0.000277
7D,51-100,EX500_OR_OUT_OF_PANEL,0,107053,0.0,-0.0,3.6e-05
7D,101-200,1-10,0,214006,0.0,0.0,1.8e-05
7D,101-200,11-25,1,214006,5e-06,1e-06,2.6e-05
7D,101-200,26-50,46,214006,0.000215,0.000161,0.000287
7D,101-200,51-100,5800,214006,0.027102,0.026423,0.027799
7D,101-200,101-200,196531,214006,0.918343,0.917176,0.919496
7D,101-200,201-300,8985,214006,0.041985,0.041143,0.042843
7D,101-200,301-500,2643,214006,0.01235,0.011891,0.012827
7D,101-200,EX500_OR_OUT_OF_PANEL,0,214006,0.0,0.0,1.8e-05
7D,201-300,1-10,1,207543,5e-06,1e-06,2.7e-05
7D,201-300,11-25,10,207543,4.8e-05,2.6e-05,8.9e-05
7D,201-300,26-50,84,207543,0.000405,0.000327,0.000501
7D,201-300,51-100,344,207543,0.001657,0.001491,0.001842
7D,201-300,101-200,7497,207543,0.036123,0.035328,0.036934
7D,201-300,201-300,177447,207543,0.854989,0.853468,0.856497
7D,201-300,301-500,22160,207543,0.106773,0.105452,0.108109
7D,201-300,EX500_OR_OUT_OF_PANEL,0,207543,0.0,0.0,1.9e-05
7D,301-500,1-10,0,387665,0.0,0.0,1e-05
7D,301-500,11-25,1,387665,3e-06,0.0,1.5e-05
7D,301-500,26-50,9,387665,2.3e-05,1.2e-05,4.4e-05
7D,301-500,51-100,36,387665,9.3e-05,6.7e-05,0.000129
7D,301-500,101-200,2939,387665,0.007581,0.007313,0.007859
7D,301-500,201-300,18518,387665,0.047768,0.047101,0.048444
7D,301-500,301-500,366162,387665,0.944532,0.943807,0.945248
7D,301-500,EX500_OR_OUT_OF_PANEL,0,387665,0.0,0.0,1e-05
7D,EX500_OR_OUT_OF_PANEL,1-10,0,0,,,
7D,EX500_OR_OUT_OF_PANEL,11-25,0,0,,,
7D,EX500_OR_OUT_OF_PANEL,26-50,0,0,,,
7D,EX500_OR_OUT_OF_PANEL,51-100,0,0,,,
7D,EX500_OR_OUT_OF_PANEL,101-200,0,0,,,
7D,EX500_OR_OUT_OF_PANEL,201-300,0,0,,,
7D,EX500_OR_OUT_OF_PANEL,301-500,0,0,,,
7D,EX500_OR_OUT_OF_PANEL,EX500_OR_OUT_OF_PANEL,0,0,,,
