horizon,from_band,to_band,count,from_total,probability,ci95_low,ci95_high
1D,1-10,1-10,21423,21608,0.991438,0.99012,0.992582
1D,1-10,11-25,184,21608,0.008515,0.007375,0.009831
1D,1-10,26-50,1,21608,4.6e-05,8e-06,0.000262
1D,1-10,51-100,0,21608,0.0,0.0,0.000178
1D,1-10,101-200,0,21608,0.0,0.0,0.000178
1D,1-10,201-300,0,21608,0.0,0.0,0.000178
1D,1-10,301-500,0,21608,0.0,0.0,0.000178
1D,1-10,EX500_OR_OUT_OF_PANEL,0,21608,0.0,0.0,0.000178
1D,11-25,1-10,179,32409,0.005523,0.004773,0.006391
1D,11-25,11-25,31510,32409,0.972261,0.970416,0.973994
1D,11-25,26-50,711,32409,0.021938,0.020399,0.023591
1D,11-25,51-100,4,32409,0.000123,4.8e-05,0.000317
1D,11-25,101-200,0,32409,0.0,-0.0,0.000119
1D,11-25,201-300,3,32409,9.3e-05,3.1e-05,0.000272
1D,11-25,301-500,2,32409,6.2e-05,1.7e-05,0.000225
1D,11-25,EX500_OR_OUT_OF_PANEL,0,32409,0.0,-0.0,0.000119
1D,26-50,1-10,1,54001,1.9e-05,3e-06,0.000105
1D,26-50,11-25,702,54001,0.013,0.012078,0.01399
1D,26-50,26-50,51926,54001,0.961575,0.95992,0.963163
1D,26-50,51-100,1351,54001,0.025018,0.023734,0.02637
1D,26-50,101-200,9,54001,0.000167,8.8e-05,0.000317
1D,26-50,201-300,12,54001,0.000222,0.000127,0.000388
1D,26-50,301-500,0,54001,0.0,0.0,7.1e-05
1D,26-50,EX500_OR_OUT_OF_PANEL,0,54001,0.0,0.0,7.1e-05
1D,51-100,1-10,1,107959,9e-06,2e-06,5.2e-05
1D,51-100,11-25,4,107959,3.7e-05,1.4e-05,9.5e-05
1D,51-100,26-50,1315,107959,0.012181,0.011543,0.012852
1D,51-100,51-100,104005,107959,0.963375,0.962238,0.964479
1D,51-100,101-200,2588,107959,0.023972,0.023076,0.024902
1D,51-100,201-300,36,107959,0.000333,0.000241,0.000462
1D,51-100,301-500,10,107959,9.3e-05,5e-05,0.000171
1D,51-100,EX500_OR_OUT_OF_PANEL,0,107959,0.0,-0.0,3.6e-05
1D,101-200,1-10,0,215854,0.0,0.0,1.8e-05
1D,101-200,11-25,0,215854,0.0,0.0,1.8e-05
1D,101-200,26-50,12,215854,5.6e-05,3.2e-05,9.7e-05
1D,101-200,51-100,2495,215854,0.011559,0.011116,0.012018
1D,101-200,101-200,208791,215854,0.967279,0.96652,0.968021
1D,101-200,201-300,3697,215854,0.017127,0.016588,0.017683
1D,101-200,301-500,859,215854,0.00398,0.003723,0.004254
1D,101-200,EX500_OR_OUT_OF_PANEL,0,215854,0.0,0.0,1.8e-05
1D,201-300,1-10,1,211540,5e-06,1e-06,2.7e-05
1D,201-300,11-25,2,211540,9e-06,3e-06,3.4e-05
1D,201-300,26-50,22,211540,0.000104,6.9e-05,0.000157
1D,201-300,51-100,70,211540,0.000331,0.000262,0.000418
1D,201-300,101-200,3443,211540,0.016276,0.015745,0.016824
1D,201-300,201-300,197372,211540,0.933024,0.931951,0.934082
1D,201-300,301-500,10630,211540,0.050251,0.049328,0.05119
1D,201-300,EX500_OR_OUT_OF_PANEL,0,211540,0.0,0.0,1.8e-05
1D,301-500,1-10,1,413002,2e-06,0.0,1.4e-05
1D,301-500,11-25,2,413002,5e-06,1e-06,1.8e-05
1D,301-500,26-50,1,413002,2e-06,0.0,1.4e-05
1D,301-500,51-100,11,413002,2.7e-05,1.5e-05,4.8e-05
1D,301-500,101-200,955,413002,0.002312,0.00217,0.002464
1D,301-500,201-300,10169,413002,0.024622,0.024154,0.025099
1D,301-500,301-500,401863,413002,0.973029,0.972531,0.973519
1D,301-500,EX500_OR_OUT_OF_PANEL,0,413002,0.0,0.0,9e-06
1D,EX500_OR_OUT_OF_PANEL,1-10,0,0,,,
1D,EX500_OR_OUT_OF_PANEL,11-25,0,0,,,
1D,EX500_OR_OUT_OF_PANEL,26-50,0,0,,,
1D,EX500_OR_OUT_OF_PANEL,51-100,0,0,,,
1D,EX500_OR_OUT_OF_PANEL,101-200,0,0,,,
1D,EX500_OR_OUT_OF_PANEL,201-300,0,0,,,
1D,EX500_OR_OUT_OF_PANEL,301-500,0,0,,,
1D,EX500_OR_OUT_OF_PANEL,EX500_OR_OUT_OF_PANEL,0,0,,,
