timestamp,GBPAUD_open,GBPAUD_high,GBPAUD_low,GBPAUD_close,GBPNZD_open,GBPNZD_high,GBPNZD_low,GBPNZD_close,AUDNZD_open,AUDNZD_high,AUDNZD_low,AUDNZD_close,source,broker_symbol,bar_closed,synchronization_valid
2026-08-24T00:00:00+00:00,1.9015300000000002,1.90188,1.9014600000000002,1.90188,2.27874,2.27925,2.27874,2.27925,1.19707,1.19712,1.19707,1.19712,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T00:05:00+00:00,1.90188,1.9024100000000002,1.90168,1.9024,2.27925,2.27973,2.279,2.27973,1.19712,1.19754,1.19712,1.19754,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T00:10:00+00:00,1.9024,1.90242,1.90202,1.90204,2.27973,2.27974,2.27942,2.27947,1.19754,1.19776,1.19744,1.1976,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T00:15:00+00:00,1.90204,1.90208,1.9013200000000001,1.90136,2.27947,2.2801299999999998,2.27789,2.27854,1.1976,1.19796,1.19669,1.19731,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T00:20:00+00:00,1.90136,1.9028399999999999,1.9010099999999999,1.9017300000000001,2.27854,2.27906,2.27791,2.27817,1.19731,1.19743,1.19684,1.19684,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T00:25:00+00:00,1.9017300000000001,1.90273,1.90161,1.90177,2.27817,2.2789,2.2776199999999998,2.27889,1.19684,1.19735,1.19641,1.19702,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T00:30:00+00:00,1.90177,1.9036,1.90164,1.9033099999999998,2.2788399999999998,2.2801299999999998,2.277,2.27995,1.19702,1.19717,1.19579,1.19699,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T00:35:00+00:00,1.9033099999999998,1.90374,1.90199,1.9026399999999999,2.27995,2.28016,2.27893,2.27975,1.19699,1.19758,1.19646,1.19752,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T00:40:00+00:00,1.9026399999999999,1.90271,1.9014199999999999,1.90229,2.27975,2.28065,2.27794,2.28015,1.19752,1.19805,1.19752,1.19796,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T00:45:00+00:00,1.9022999999999999,1.9029,1.90171,1.9026800000000001,2.28015,2.2811,2.27972,2.28063,1.19796,1.19831,1.19782,1.19805,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T00:50:00+00:00,1.9026800000000001,1.9030200000000002,1.90244,1.90263,2.28063,2.28159,2.28048,2.28159,1.19805,1.19853,1.19769,1.19853,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T00:55:00+00:00,1.90263,1.9026999999999998,1.90125,1.90149,2.28159,2.28175,2.28082,2.28119,1.19853,1.19892,1.19853,1.19892,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T01:00:00+00:00,1.9019300000000001,1.90323,1.90161,1.9028800000000001,2.28119,2.28301,2.28014,2.28276,1.19892,1.19974,1.19817,1.19958,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T01:05:00+00:00,1.90293,1.90343,1.90293,1.90316,2.28282,2.28299,2.28252,2.28261,1.19962,1.19962,1.19915,1.19932,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T01:10:00+00:00,1.90314,1.90324,1.9029,1.90292,2.28261,2.28297,2.28253,2.28291,1.19934,1.19964,1.1993,1.19964,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T01:15:00+00:00,1.90292,1.9031799999999999,1.9029,1.90301,2.28291,2.2831099999999998,2.28282,2.28294,1.19964,1.19967,1.19953,1.19961,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T01:20:00+00:00,1.90301,1.90309,1.9029099999999999,1.9030399999999998,2.28294,2.28315,2.28288,2.28308,1.19961,1.19971,1.19955,1.19964,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T01:25:00+00:00,1.9030399999999998,1.9031799999999999,1.90301,1.9031500000000001,2.28304,2.28327,2.28299,2.28308,1.19964,1.19969,1.19957,1.19958,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T01:30:00+00:00,1.9031500000000001,1.90324,1.90285,1.9031099999999999,2.28308,2.28322,2.28288,2.28315,1.19958,1.19974,1.19956,1.19966,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T01:35:00+00:00,1.9031099999999999,1.90333,1.90303,1.9031099999999999,2.28315,2.28368,2.28297,2.28361,1.19966,1.19996,1.19952,1.1999,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T01:40:00+00:00,1.9031099999999999,1.9031099999999999,1.90273,1.90278,2.28361,2.28368,2.28321,2.28328,1.1999,1.19998,1.19985,1.19993,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T01:45:00+00:00,1.90276,1.90294,1.90272,1.9028399999999999,2.28326,2.2839,2.28326,2.28385,1.19993,1.20019,1.19993,1.20017,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T01:50:00+00:00,1.90287,1.9029,1.9028100000000001,1.90287,2.28385,2.28392,2.28376,2.28389,1.20017,1.20019,1.20013,1.20019,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T01:55:00+00:00,1.90287,1.9030399999999998,1.90278,1.9029099999999999,2.28389,2.28428,2.28383,2.28412,1.20019,1.20035,1.20014,1.20028,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T02:00:00+00:00,1.9029099999999999,1.9033099999999998,1.90283,1.9032,2.28416,2.28491,2.28412,2.28479,1.20029,1.20055,1.20028,1.20044,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T02:05:00+00:00,1.9032,1.90346,1.90319,1.90321,2.28479,2.28524,2.28479,2.28512,1.20044,1.20061,1.20038,1.20061,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T02:10:00+00:00,1.90321,1.90333,1.90308,1.9031500000000001,2.28512,2.28537,2.28497,2.28516,1.20061,1.20073,1.20055,1.20067,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T02:15:00+00:00,1.9031500000000001,1.90335,1.90313,1.90332,2.28516,2.28589,2.28504,2.28587,1.20067,1.20103,1.2006000000000001,1.20093,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T02:20:00+00:00,1.90332,1.90359,1.9032,1.90353,2.28583,2.28583,2.28516,2.28524,1.20093,1.20093,1.20047,1.20048,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T02:25:00+00:00,1.90353,1.90364,1.9035199999999999,1.90353,2.28524,2.28539,2.28514,2.28521,1.20048,1.20053,1.20039,1.20045,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T02:30:00+00:00,1.90353,1.9036300000000002,1.9034,1.9034499999999999,2.28521,2.28554,2.28496,2.28505,1.20045,1.20059,1.2004,1.20045,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T02:35:00+00:00,1.9034499999999999,1.9035199999999999,1.90328,1.90351,2.28505,2.28523,2.2848100000000002,2.28519,1.20045,1.20054,1.20037,1.20049,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
2026-08-24T02:40:00+00:00,1.90351,1.9038599999999999,1.90343,1.90375,2.28519,2.28552,2.28512,2.28546,1.20049,1.20055,1.20037,1.20045,MetaTrader5.copy_rates_range,GBPAUD.PRO|GBPNZD.PRO|AUDNZD.PRO,True,True
