timestamp,GBPAUD_close,GBPNZD_close,AUDNZD_close,basis,rolling_mean,rolling_std,z,strategy,primary_entry_eligible,control_entry_eligible,session_eligible,time_eligible,active_basket_state,expected_decision
2026-08-24 00:00:00,,,,-0.0010848986550335837,,,-43.66583804457324,TB-FWD-V1,True,True,False,True,FLAT,ENTRY
2026-08-24 00:05:00,,,,-0.0006713152791870403,,,-8.097328211784859,TB-FWD-V1,True,True,False,True,FLAT,ENTRY
2026-08-24 00:10:00,,,,-0.0006964112843232395,,,-7.276311466377068,TB-FWD-V1,True,True,False,True,FLAT,ENTRY
2026-08-24 00:15:00,,,,-0.0008880935545942104,,,-8.345932152462634,TB-FWD-V1,True,True,False,True,FLAT,ENTRY
2026-08-24 00:20:00,,,,-0.0009237407562120437,,,-7.46150876168896,TB-FWD-V1,True,True,False,True,FLAT,ENTRY
2026-08-24 00:25:00,,,,-0.0010683159715843549,,,-7.665574610109723,TB-FWD-V1,True,True,False,True,FLAT,ENTRY
2026-08-24 00:30:00,,,,-0.0007489648489982792,,,-4.5795228314071785,TB-FWD-V1,True,True,False,True,FLAT,ENTRY
2026-08-24 00:35:00,,,,-0.0005706407754899889,,,-3.203827957464416,TB-FWD-V1,True,True,False,True,FLAT,ENTRY
2026-08-24 00:40:00,,,,-0.0005626965380691462,,,-3.059567886842233,TB-FWD-V1,True,True,False,True,FLAT,ENTRY
2026-08-24 00:45:00,,,,-0.0004930669078697103,,,-2.553656849851933,TB-FWD-V1,False,True,True,True,FLAT,
2026-08-24 00:50:00,,,,-0.0005396229084281556,,,-2.7771767168279187,TB-FWD-V1,False,True,True,True,FLAT,
2026-08-24 00:55:00,,,,-0.000638295715823245,,,-3.287996955734055,TB-FWD-V1,True,True,False,True,FLAT,ENTRY
2026-08-24 01:00:00,,,,-4.521365945578393e-05,,,0.1928517175536359,TB-FWD-V1,False,False,True,True,FLAT,
2026-08-24 01:05:00,,,,-4.913303417061754e-05,,,0.1709640947588346,TB-FWD-V1,False,False,True,True,FLAT,
2026-08-24 01:10:00,,,,-3.988462785831093e-05,,,0.22418445897994044,TB-FWD-V1,False,False,True,True,FLAT,
2026-08-24 01:15:00,,,,-3.073886240470558e-05,,,0.27693146830997656,TB-FWD-V1,False,False,True,True,FLAT,
2026-08-24 01:20:00,,,,-5.128922458541574e-05,,,0.16063941914863292,TB-FWD-V1,False,False,True,True,FLAT,
2026-08-24 01:25:00,,,,-4.350489712748318e-05,,,0.2049965631713313,TB-FWD-V1,False,False,True,True,FLAT,
2026-08-24 01:30:00,,,,-2.8494985835181286e-05,,,0.2905208939302034,TB-FWD-V1,False,False,True,True,FLAT,
2026-08-24 01:35:00,,,,-2.9914049130302933e-05,,,0.2818796431735091,TB-FWD-V1,False,False,True,True,FLAT,
2026-08-24 01:40:00,,,,-3.380921523080116e-05,,,0.25958979619702355,TB-FWD-V1,False,False,True,True,FLAT,
2026-08-24 01:45:00,,,,-5.1894947237701716e-05,,,0.15614689270643628,TB-FWD-V1,False,False,True,True,FLAT,
2026-08-24 01:50:00,,,,-3.697912839059625e-05,,,0.24186577737802833,TB-FWD-V1,False,False,True,True,FLAT,
2026-08-24 01:55:00,,,,-4.167345995942373e-05,,,0.21519125735184375,TB-FWD-V1,False,False,True,True,FLAT,
2026-08-24 02:00:00,,,,-4.928014141244996e-05,,,0.17246527038934872,TB-FWD-V1,False,False,True,True,FLAT,
2026-08-24 02:05:00,,,,-4.6844107600724216e-05,,,0.18646465683100824,TB-FWD-V1,False,False,True,True,FLAT,
2026-08-24 02:10:00,,,,-4.590134051996042e-05,,,0.1932781521033671,TB-FWD-V1,False,False,True,True,FLAT,
2026-08-24 02:15:00,,,,-5.07095062078633e-05,,,0.1661651532254871,TB-FWD-V1,False,False,True,True,FLAT,
2026-08-24 02:20:00,,,,-3.9517680570033686e-05,,,0.2304347960388168,TB-FWD-V1,False,False,True,True,FLAT,
2026-08-24 02:25:00,,,,-5.138018665173938e-05,,,0.16307501371739302,TB-FWD-V1,False,False,True,True,FLAT,
