subtype,n,supported,median_abs_move,median_sigma,p_recovery_30d,p_rank_repair_30d,median_state_age_d,median_membership_turnover,relational_state_mode
EARLY_CONTAGION,81,YES,0.0682,2.436,0.0,0.0,0.0,0.9474,DECOUPLED
LOCAL_EXTREME_WITH_FIELD_SUPPORT,121,YES,0.1898,2.4575,0.0,0.0,0.0,1.0,REORGANIZING
MIXED_OTHER,1439,YES,0.1709,2.5263,0.1654,0.624,0.0,1.0,REORGANIZING
PERSISTENT_DECOUPLING,70,YES,0.0653,2.4089,0.0,1.0,0.0,0.8889,DECOUPLED
RANK_HEALTH_FAILURE,47,NOT_SUPPORTED,0.0715,2.4003,0.383,0.0,0.0,0.8235,DECOUPLED
REJOINING_DISLOCATION,199,YES,0.0711,2.2962,0.5628,0.9347,0.0,0.9474,DECOUPLED
