flag,n_detected,median_first_lag,mean_first_lag
VOL_EXPANSION,798,-3.0,-1.7494
ABS_SHOCK,1482,-3.0,-2.334
SIGMA_SHOCK,11,1.0,-0.3636
RANK_MIGRATION,463,-1.0,-0.8186
MEMBERSHIP_TURNOVER,1556,0.0,-0.0032
RELATIONAL_STATE_CHANGE,234,0.0,0.3291
CONTAGION,6,2.0,2.0
REJOIN,0,,
DECOUPLING,51,1.0,1.2549
