driver,shape,spearman_rho,spearman_p,n_levels
VOL_AMPLITUDE,LINEAR,0.3506,0.0,5
ABS_SHOCK,SATURATING,0.3574,0.0,5
SIGMA_SHOCK,NO_STABLE_RELATION,0.0054,0.742,3
RANK_MIGRATION,NON_MONOTONIC,-0.0259,0.118,5
FIELD_STATE,NO_STABLE_RELATION,0.036,0.03,4
