subtype,n,supported,median_abs_move,median_sigma,median_peer_abs_move,median_membership_entropy,median_peer_turnover,field_state_mode,relational_state_mode
LOW_VOL_NORMALIZATION_ARTIFACT,226,YES,0.0034,2.5505,0.0018,3.3219,0.5714,HH,LOCALLY_CONFORMING
MEASUREMENT_EDGE,3,NOT_SUPPORTED,0.0039,2.52,0.0228,3.3219,0.8889,HH,LOCALLY_CONFORMING
MIXED,181,YES,0.0194,2.4449,0.0091,3.3219,0.9474,HH,REORGANIZING
PEER_REORGANIZATION_EVENT,60,YES,0.0227,2.4353,0.0138,3.3219,1.0,HH,REORGANIZING
TRUE_SHARED_LOCAL_MOVE,25,NOT_SUPPORTED,0.064,2.2613,0.0329,3.7219,0.6667,HH,PEER_STRESSED
