driver,driver_level,n,p10_turnover,p25_turnover,median_turnover,p75_turnover,p90_turnover
VOL_AMPLITUDE,V1,730,0.1818,0.4615,0.75,0.9474,1.0
VOL_AMPLITUDE,V2,729,0.4615,0.75,0.9474,1.0,1.0
VOL_AMPLITUDE,V3,729,0.5714,0.8235,0.9474,1.0,1.0
VOL_AMPLITUDE,V4,729,0.6667,0.8235,1.0,1.0,1.0
VOL_AMPLITUDE,V5,730,0.75,0.9474,1.0,1.0,1.0
ABS_SHOCK,10-20%,1280,0.5714,0.8235,0.9474,1.0,1.0
ABS_SHOCK,2-5%,220,0.3333,0.5714,0.8235,1.0,1.0
ABS_SHOCK,5-10%,601,0.4615,0.6667,0.9474,1.0,1.0
ABS_SHOCK,<2%,504,0.1818,0.4615,0.6667,0.8889,1.0
ABS_SHOCK,>20%,1042,0.75,0.9474,1.0,1.0,1.0
SIGMA_SHOCK,2-3σ,2432,0.4615,0.75,0.9474,1.0,1.0
SIGMA_SHOCK,3-4σ,625,0.4615,0.75,0.9474,1.0,1.0
SIGMA_SHOCK,4σ+,590,0.4615,0.75,0.9474,1.0,1.0
RANK_MIGRATION,RV1,730,0.75,0.8889,1.0,1.0,1.0
RANK_MIGRATION,RV2,729,0.4615,0.75,0.9474,1.0,1.0
RANK_MIGRATION,RV3,729,0.3333,0.5714,0.8235,1.0,1.0
RANK_MIGRATION,RV4,729,0.3333,0.6667,0.8889,1.0,1.0
RANK_MIGRATION,RV5,730,0.75,0.8889,1.0,1.0,1.0
FIELD_STATE,HH,1143,0.4615,0.8235,0.9474,1.0,1.0
FIELD_STATE,HL,564,0.4615,0.6667,0.9474,1.0,1.0
FIELD_STATE,LH,501,0.4615,0.75,0.9474,1.0,1.0
FIELD_STATE,LL,1439,0.4615,0.75,0.9474,1.0,1.0
