peer_dir,rel_state,n
PEER_DOWN,CONTAGIOUS,2
PEER_DOWN,DECOUPLED,152
PEER_DOWN,FALSE_ISOLATED,4
PEER_DOWN,LOCALLY_CONFORMING,33
PEER_DOWN,PEER_STRESSED,6
PEER_DOWN,REHABILITATING,8
PEER_DOWN,REORGANIZING,172
PEER_DOWN,TRUE_ISOLATED,20
PEER_FLAT,LOCALLY_CONFORMING,1
PEER_FLAT,REJOINING,1
PEER_FLAT,REORGANIZING,2
PEER_UP,CONTAGIOUS,3
PEER_UP,DECOUPLED,80
PEER_UP,FALSE_ISOLATED,1
PEER_UP,LOCALLY_CONFORMING,22
PEER_UP,PEER_STRESSED,3
PEER_UP,REHABILITATING,5
PEER_UP,REJOINING,2
PEER_UP,REORGANIZING,72
PEER_UP,TRUE_ISOLATED,9
