flag_x,flag_y,n_both,p_x_before_y
VOL_EXPANSION,ABS_SHOCK,798,0.1504
VOL_EXPANSION,RANK_MIGRATION,361,0.4709
VOL_EXPANSION,MEMBERSHIP_TURNOVER,798,0.7093
VOL_EXPANSION,RELATIONAL_STATE_CHANGE,127,0.6929
VOL_EXPANSION,DECOUPLING,31,0.7097
ABS_SHOCK,VOL_EXPANSION,798,0.3446
ABS_SHOCK,RANK_MIGRATION,460,0.6413
ABS_SHOCK,MEMBERSHIP_TURNOVER,1482,0.9028
ABS_SHOCK,RELATIONAL_STATE_CHANGE,226,0.9425
ABS_SHOCK,DECOUPLING,51,0.9216
RANK_MIGRATION,VOL_EXPANSION,361,0.2299
RANK_MIGRATION,ABS_SHOCK,460,0.0609
RANK_MIGRATION,MEMBERSHIP_TURNOVER,463,0.5378
RANK_MIGRATION,RELATIONAL_STATE_CHANGE,73,0.5616
MEMBERSHIP_TURNOVER,VOL_EXPANSION,798,0.1917
MEMBERSHIP_TURNOVER,ABS_SHOCK,1482,0.0034
MEMBERSHIP_TURNOVER,RANK_MIGRATION,463,0.1901
MEMBERSHIP_TURNOVER,RELATIONAL_STATE_CHANGE,234,0.1923
MEMBERSHIP_TURNOVER,DECOUPLING,51,0.902
RELATIONAL_STATE_CHANGE,VOL_EXPANSION,127,0.1496
RELATIONAL_STATE_CHANGE,ABS_SHOCK,226,0.0
RELATIONAL_STATE_CHANGE,RANK_MIGRATION,73,0.1644
RELATIONAL_STATE_CHANGE,MEMBERSHIP_TURNOVER,234,0.0085
RELATIONAL_STATE_CHANGE,DECOUPLING,51,0.2157
DECOUPLING,VOL_EXPANSION,31,0.1613
DECOUPLING,ABS_SHOCK,51,0.0
DECOUPLING,MEMBERSHIP_TURNOVER,51,0.098
DECOUPLING,RELATIONAL_STATE_CHANGE,51,0.0588
