loner,relational_state,abs_class,sigma_class,n,p_rejoin,p_contagion,p_decoupling,p_relapse,p_rank_repair,p_price_repair
FALSE_LONER,LOCALLY_CONFORMING,<2%,2-3σ,140,0.1786,0.3571,0.2714,0.6071,0.4643,0.05
NOT_LONER,DECOUPLED,10-20%,2-3σ,172,0.1337,0.1279,0.5349,0.686,0.6802,0.1105
NOT_LONER,DECOUPLED,10-20%,3-4σ,64,0.25,0.1406,0.4844,0.625,0.5781,0.1562
NOT_LONER,DECOUPLED,5-10%,2-3σ,79,0.2405,0.1392,0.4177,0.5949,0.5443,0.1519
NOT_LONER,DECOUPLED,>20%,4σ+,72,0.1528,0.0972,0.6389,0.6944,0.7361,0.1528
NOT_LONER,LOCALLY_CONFORMING,<2%,2-3σ,51,0.1176,0.3333,0.451,0.7647,0.5294,0.0392
NOT_LONER,REORGANIZING,10-20%,2-3σ,125,0.168,0.16,0.512,0.688,0.616,0.112
NOT_LONER,REORGANIZING,>20%,2-3σ,79,0.1899,0.038,0.6203,0.6709,0.7215,0.0633
NOT_LONER,REORGANIZING,>20%,3-4σ,55,0.1636,0.0545,0.6364,0.6909,0.7818,0.0909
NOT_LONER,REORGANIZING,>20%,4σ+,114,0.193,0.0965,0.6404,0.7281,0.6754,0.0877
TRUE_LONER,DECOUPLED,10-20%,2-3σ,246,0.1179,0.313,0.1423,0.378,0.6179,0.1504
TRUE_LONER,DECOUPLED,10-20%,3-4σ,65,0.1231,0.4308,0.1538,0.3846,0.6154,0.2308
TRUE_LONER,DECOUPLED,5-10%,2-3σ,164,0.1098,0.2683,0.1585,0.4512,0.5366,0.2256
TRUE_LONER,DECOUPLED,>20%,2-3σ,97,0.1134,0.3608,0.1031,0.3402,0.5979,0.0928
TRUE_LONER,DECOUPLED,>20%,4σ+,78,0.0256,0.4359,0.0897,0.4487,0.5641,0.1923
TRUE_LONER,REORGANIZING,10-20%,2-3σ,312,0.1154,0.3397,0.1218,0.3494,0.6378,0.1474
TRUE_LONER,REORGANIZING,10-20%,3-4σ,57,0.2105,0.2632,0.0877,0.2632,0.5789,0.2105
TRUE_LONER,REORGANIZING,5-10%,2-3σ,140,0.1429,0.3071,0.1571,0.3643,0.6357,0.2929
TRUE_LONER,REORGANIZING,>20%,2-3σ,232,0.0905,0.3966,0.1121,0.4009,0.569,0.0733
TRUE_LONER,REORGANIZING,>20%,3-4σ,61,0.082,0.3607,0.0328,0.4426,0.4262,0.082
TRUE_LONER,REORGANIZING,>20%,4σ+,65,0.0308,0.2615,0.1077,0.3846,0.6615,0.2923
