loner,relational_state,shock_coarse,n,p_rejoin,p_contagion,p_decoupling,p_relapse,p_rank_repair,p_price_repair
FALSE_LONER,LOCALLY_CONFORMING,HIGH_SIG_LOW_ABS,62,0.1129,0.4032,0.3065,0.7419,0.4194,0.0323
FALSE_LONER,LOCALLY_CONFORMING,LOW_SIG_LOW_ABS,151,0.1656,0.3576,0.2781,0.6026,0.4901,0.0596
FALSE_LONER,REORGANIZING,LOW_SIG_LOW_ABS,59,0.2203,0.3559,0.2542,0.6102,0.3898,0.1525
NOT_LONER,DECOUPLED,HIGH_SIG_HIGH_ABS,204,0.2304,0.1225,0.5392,0.6275,0.6471,0.1471
NOT_LONER,DECOUPLED,LOW_SIG_HIGH_ABS,299,0.1639,0.1204,0.5217,0.6622,0.6622,0.1137
NOT_LONER,LOCALLY_CONFORMING,LOW_SIG_LOW_ABS,52,0.1346,0.3269,0.4423,0.75,0.5192,0.0385
NOT_LONER,REORGANIZING,HIGH_SIG_HIGH_ABS,210,0.1714,0.1,0.6143,0.7,0.7143,0.0952
NOT_LONER,REORGANIZING,LOW_SIG_HIGH_ABS,231,0.1775,0.1169,0.5238,0.6753,0.6277,0.1126
TRUE_LONER,DECOUPLED,HIGH_SIG_HIGH_ABS,209,0.067,0.4545,0.1292,0.4354,0.5981,0.1914
TRUE_LONER,DECOUPLED,HIGH_SIG_LOW_ABS,50,0.18,0.3,0.2,0.46,0.46,0.28
TRUE_LONER,DECOUPLED,LOW_SIG_HIGH_ABS,507,0.1144,0.3077,0.14,0.3945,0.5878,0.1637
TRUE_LONER,REORGANIZING,HIGH_SIG_HIGH_ABS,207,0.1063,0.3237,0.0821,0.3768,0.5507,0.2077
TRUE_LONER,REORGANIZING,LOW_SIG_HIGH_ABS,684,0.1126,0.3523,0.1257,0.3699,0.614,0.152
