membership_stability,relational_state,n,median_abs_shock,median_sigma_shock,median_rank,median_state_age_d,p_recovery_30d,p_contagion_7d,p_decoupling_30d,p_rejoin_30d
DYNAMIC_MEMBERS,DECOUPLED,633,0.1664,2.6169,321.0,0.0,0.158,0.2717,0.2812,0.1343
DYNAMIC_MEMBERS,LOCALLY_CONFORMING,55,0.002,2.507,213.0,0.0,0.0545,0.5273,0.2182,0.1273
DYNAMIC_MEMBERS,REORGANIZING,340,0.1905,2.5304,501.0,0.0,0.1029,0.2824,0.2559,0.1176
DYNAMIC_MEMBERS,TRUE_ISOLATED,61,0.1363,2.861,405.0,0.0,0.2131,0.1639,0.2951,0.1639
ROTATING_MEMBERS,REORGANIZING,1216,0.1603,2.5316,452.0,0.0,0.1686,0.2747,0.2623,0.1373
STABLE_MEMBERS,DECOUPLED,747,0.122,2.5774,105.0,28.0,0.174,0.2463,0.2972,0.1379
STABLE_MEMBERS,LOCALLY_CONFORMING,259,0.0033,2.5969,94.0,114.0,0.0502,0.332,0.3282,0.1699
STABLE_MEMBERS,REHABILITATING,56,0.0172,2.295,114.0,0.0,0.1429,0.4286,0.3393,0.1607
STABLE_MEMBERS,TRUE_ISOLATED,63,0.0722,2.7917,113.0,0.0,0.2222,0.2857,0.3175,0.254
