outcome,feature_family,purged_auc,n
recovery,exact_peer_ids,0.5626,3647
recovery,peer_family_label,0.5278,3647
recovery,rank_band,0.4762,3647
recovery,simple_correlation,0.509,3647
recovery,relational_state,0.5081,3647
recovery,membership_stability,0.5218,3647
contagion,exact_peer_ids,0.5447,3647
contagion,peer_family_label,0.5091,3647
contagion,rank_band,0.4793,3647
contagion,simple_correlation,0.524,3647
contagion,relational_state,0.4981,3647
contagion,membership_stability,0.4976,3647
decoupling,exact_peer_ids,0.5734,3647
decoupling,peer_family_label,0.6,3647
decoupling,rank_band,0.5201,3647
decoupling,simple_correlation,0.5462,3647
decoupling,relational_state,0.5131,3647
decoupling,membership_stability,0.5386,3647
