peer_family,relational_state,horizon_d,n,n_with_future,relational_state_persistence_cond,exact_membership_jaccard_cond,rel_vs_member_ratio,relational_state_persistence_uncond
BEHAVIORAL_10,REORGANIZING,1,2041,108,0.1019,0.2269,0.4488,0.0044
BEHAVIORAL_10,DECOUPLED,1,868,67,0.8507,0.3029,2.809,0.0348
BEHAVIORAL_10,TRUE_ISOLATED,1,151,13,0.0,0.3869,,0.0041
BEHAVIORAL_10,FALSE_ISOLATED,1,51,7,0.0,0.614,,0.0014
BEHAVIORAL_10,PEER_STRESSED,1,83,7,0.4286,0.405,1.0583,0.006
BEHAVIORAL_10,REJOINING,1,44,4,0.0,0.3978,,0.0008
BEHAVIORAL_10,REHABILITATING,1,68,7,0.0,0.529,,0.0025
BEHAVIORAL_10,CONTAGIOUS,1,58,3,0.0,0.2778,,0.003
BEHAVIORAL_10,LOCALLY_CONFORMING,1,283,43,0.8372,0.5616,1.4907,0.014
BEHAVIORAL_10,REORGANIZING,3,2041,137,0.1387,0.2138,0.6488,0.0066
BEHAVIORAL_10,DECOUPLED,3,868,85,0.8588,0.2901,2.9604,0.043
BEHAVIORAL_10,TRUE_ISOLATED,3,151,14,0.0,0.3831,,0.0071
BEHAVIORAL_10,FALSE_ISOLATED,3,51,10,0.0,0.6041,,0.0019
BEHAVIORAL_10,PEER_STRESSED,3,83,10,0.3,0.3364,0.8918,0.0066
BEHAVIORAL_10,REJOINING,3,44,6,0.0,0.4735,,0.0014
BEHAVIORAL_10,REHABILITATING,3,68,8,0.0,0.4941,,0.0027
BEHAVIORAL_10,CONTAGIOUS,3,58,4,0.0,0.2917,,0.0036
BEHAVIORAL_10,LOCALLY_CONFORMING,3,283,55,0.7818,0.5576,1.4021,0.0173
BEHAVIORAL_10,REORGANIZING,7,2041,104,0.2115,0.1557,1.3586,0.008
BEHAVIORAL_10,DECOUPLED,7,868,53,0.6981,0.2238,3.1197,0.0263
BEHAVIORAL_10,TRUE_ISOLATED,7,151,13,0.0,0.2213,,0.0058
BEHAVIORAL_10,FALSE_ISOLATED,7,51,8,0.0,0.5501,,0.0008
