stage,n_episodes,n_terminated,median_duration_d,mean_duration_d,p25_duration_d,p75_duration_d
DECOUPLING,169,130,49.5,133.9846,9.25,172.25
FORMATION,1721,1017,94.0,188.5339,21.0,257.0
MEMBERSHIP_ROTATION,665,339,118.0,222.882,38.5,301.5
REJOIN,63,50,55.5,106.64,20.75,127.0
STABLE_LOCAL_ROLE,202,181,30.0,75.4641,7.0,104.0
STRESS,764,461,94.0,200.7809,22.0,229.0
TRANSITION,63,48,60.0,131.25,12.0,182.75
