outcome,static_short7d_auc,static_short7d_ci,static_mid10_30d_auc,static_mid_ci,n_subperiods,subperiods_sign_short,subperiods_sign_mid,note
absorbed,0.5996,"[0.5733,0.6261]",0.5744,"[0.5498,0.6037]",5,5/5,5/5,
propagated,0.5002,"[0.4897,0.5097]",0.5082,"[0.4982,0.5177]",5,5/5,5/5,
stg_reactivation,0.4989,"[0.4884,0.5089]",0.5033,"[0.4941,0.5126]",5,5/5,5/5,
stg_decoupling,0.4968,"[0.4872,0.5085]",0.5007,"[0.4899,0.514]",5,5/5,5/5,
stg_rejoin,0.5029,"[0.49,0.5154]",0.5012,"[0.4881,0.5133]",5,5/5,5/5,
ROLLING_AUC_CHECK,0.4982,,0.5039,,,,,
VERDICT,TWO_TIMESCALE_LOCAL_MEMORY,,,,,,,short (3-7d) window best discriminates forward outcomes while 10-30d window carries more subperiod-stable residue signal — interpreted as fast local memory + slower residue envelope
