strategy_id,control_id,strategy_net_PF,control_net_PF,pf_condition_correct,ci_overlap_zero,bootstrap_observed_difference,bootstrap_CI_low,bootstrap_CI_high,bootstrap_p_value,F8_reading1_conjunction,F8_reading2_pf_only,reading1_trigger,reading2_trigger,canonical_status
ALPHA1_S001,ALPHA1_C006,0.8023,0.7614,False,True,-0.076417,-0.225611,0.076251,0.166100,False,False,AMBIGUOUS_NON_DECISIVE,AMBIGUOUS_NON_DECISIVE,AMBIGUOUS_NON_DECISIVE
ALPHA1_S002,ALPHA1_C001,1.0163,0.7986,False,True,-0.036082,-0.408380,0.345503,0.430000,False,False,AMBIGUOUS_NON_DECISIVE,AMBIGUOUS_NON_DECISIVE,AMBIGUOUS_NON_DECISIVE
ALPHA1_S003,ALPHA1_C001,1.0093,0.7986,False,True,-0.087343,-0.315449,0.141791,0.226400,False,False,AMBIGUOUS_NON_DECISIVE,AMBIGUOUS_NON_DECISIVE,AMBIGUOUS_NON_DECISIVE
ALPHA1_S004,ALPHA1_C002,0.8777,0.7986,False,True,-0.018232,-0.234528,0.193308,0.417400,False,False,AMBIGUOUS_NON_DECISIVE,AMBIGUOUS_NON_DECISIVE,AMBIGUOUS_NON_DECISIVE
ALPHA1_S005,ALPHA1_C002,0.7702,0.7986,True,True,0.081720,-0.321080,0.487709,0.651600,True,True,STATE_ADDS_NO_VALUE,STATE_ADDS_NO_VALUE,AMBIGUOUS_NON_DECISIVE
ALPHA1_S006,ALPHA1_C002,0.5908,0.7986,True,True,-0.210700,-0.655903,0.204080,0.172300,True,True,STATE_ADDS_NO_VALUE,STATE_ADDS_NO_VALUE,AMBIGUOUS_NON_DECISIVE
ALPHA1_S007,ALPHA1_C003,0.9558,0.7519,False,True,-0.149454,-0.489876,0.195497,0.200000,False,False,AMBIGUOUS_NON_DECISIVE,AMBIGUOUS_NON_DECISIVE,AMBIGUOUS_NON_DECISIVE
ALPHA1_S008,ALPHA1_C003,0.6220,0.7519,True,True,-0.166958,-0.794667,0.460780,0.294200,True,True,STATE_ADDS_NO_VALUE,STATE_ADDS_NO_VALUE,AMBIGUOUS_NON_DECISIVE
ALPHA1_S009,ALPHA1_C004,0.7133,0.7433,True,True,-0.191237,-0.774918,0.384857,0.251300,True,True,STATE_ADDS_NO_VALUE,STATE_ADDS_NO_VALUE,AMBIGUOUS_NON_DECISIVE
ALPHA1_S010,ALPHA1_C004,0.7292,0.7433,True,True,-0.231690,-0.805530,0.337304,0.210400,True,True,STATE_ADDS_NO_VALUE,STATE_ADDS_NO_VALUE,AMBIGUOUS_NON_DECISIVE
ALPHA1_S011,ALPHA1_C005,0.9922,1.2311,True,False,0.293916,0.007748,0.599829,0.978400,True,False,STATE_ADDS_NO_VALUE,STATE_ADDS_NO_VALUE,AMBIGUOUS_NON_DECISIVE
ALPHA1_S012,ALPHA1_C005,0.8800,1.2311,True,False,0.363782,0.144966,0.597414,0.999500,True,False,STATE_ADDS_NO_VALUE,STATE_ADDS_NO_VALUE,AMBIGUOUS_NON_DECISIVE
ALPHA1_S013,ALPHA1_C006,0.9633,0.7614,False,True,-0.107769,-0.267826,0.051445,0.090500,False,False,AMBIGUOUS_NON_DECISIVE,AMBIGUOUS_NON_DECISIVE,AMBIGUOUS_NON_DECISIVE
