triangle,events,gross_ev_bps,net_ev_bps,pf_gross,pf_net,win_rate,median_net_bps,max_dd_bps,worst_bps,p5_bps,avg_hold_min,median_hold_min,p90_hold_min,z6_stop_rate,hard_exit_rate,gross_basket_edge_bps,basket_cost_bps,edge_cost_ratio,break_even_multiple
AUD_GBP_NZD,270,15.6561,9.1251,35.0781,7.6463,80.3704,8.8082,39.7388,-39.1741,-9.6095,199.7037,197.5,330.0,0.0,30.7407,15.6561,6.5311,2.3972,2.3972
EUR_GBP_JPY,414,2.4332,-4.5684,22.7077,0.0708,5.7971,-5.6418,1885.4844,-27.959,-6.587,16.9444,10.0,35.0,2.1739,1.2077,2.4332,7.0016,0.3475,0.3475
CHF_GBP_JPY,384,4.3596,-1.7695,38.0066,0.4961,26.3021,-4.9911,762.7101,-20.342,-5.7781,12.513,5.0,25.0,4.4271,1.5625,4.3596,6.129,0.7113,0.7113
EUR_GBP_USD,665,20.0592,11.6998,11.8277,4.5835,79.8496,11.3782,88.8842,-64.8647,-20.1105,171.5489,165.0,310.0,5.7143,24.2105,20.0592,8.3594,2.3996,2.3996
GBP_NZD_USD,378,24.4642,15.5284,14.9685,6.4984,83.3333,14.882,193.0957,-193.0957,-17.0717,186.0979,185.0,305.0,1.3228,29.3651,24.4642,8.9358,2.7378,2.7378
