triangle,m5_window_start,m5_window_end,m5_bars,weeks,z25_events,z30_events
AUD_GBP_NZD,2022-09-13 00:00:00,2024-12-31 18:55:00,164913,120.0,270,125
EUR_GBP_JPY,2021-10-21 00:00:00,2024-12-31 18:55:00,238275,166.7,414,256
CHF_GBP_JPY,2021-10-21 00:00:00,2024-12-31 18:55:00,238141,166.7,384,232
EUR_GBP_USD,2022-09-28 00:00:00,2024-12-31 18:55:00,162186,117.9,665,435
GBP_NZD_USD,2022-09-12 00:00:00,2024-12-31 18:55:00,165234,120.1,378,210
