triangle,delta_EV,delta_PF,delta_p5,delta_edge_cost_ratio,classification
AUD_GBP_NZD,3.6012,3.3042,1.3474,0.5514,MONOTONIC_STRONG
EUR_GBP_JPY,1.0075,0.0687,0.004,0.1439,MONOTONIC_STRONG
CHF_GBP_JPY,2.1804,0.665,-1.169,0.3558,MONOTONIC_STRONG
EUR_GBP_USD,4.0396,0.8317,-2.8112,0.4832,MONOTONIC_STRONG
GBP_NZD_USD,7.309,1.52,-0.1435,0.8179,MONOTONIC_STRONG
