triangle,year,events,net_pnl_bps,pf,net_positive
AUD_GBP_NZD,2022,26,472.93,7.8919,True
AUD_GBP_NZD,2023,56,693.49,11.3539,True
AUD_GBP_NZD,2024,43,424.37,18.4843,True
EUR_GBP_JPY,2021,25,-143.6,0.0,False
EUR_GBP_JPY,2022,70,-205.91,0.3509,False
EUR_GBP_JPY,2023,60,-198.03,0.0823,False
EUR_GBP_JPY,2024,101,-364.04,0.0488,False
CHF_GBP_JPY,2021,28,-145.08,0.0,False
CHF_GBP_JPY,2022,52,-63.65,0.6663,False
CHF_GBP_JPY,2023,72,110.98,1.8698,True
CHF_GBP_JPY,2024,80,193.1,2.5019,True
EUR_GBP_USD,2022,41,1367.8,8.4674,True
EUR_GBP_USD,2023,198,3201.63,6.4674,True
EUR_GBP_USD,2024,196,2277.19,3.9122,True
GBP_NZD_USD,2022,50,1695.48,5.569,True
GBP_NZD_USD,2023,87,2065.35,14.8147,True
GBP_NZD_USD,2024,73,1035.01,7.36,True
