triangle,events,gross_ev_bps,net_ev_bps,pf_gross,pf_net,win_rate,median_net_bps,max_dd_bps,worst_bps,p5_bps,avg_hold_min,median_hold_min,p90_hold_min,z6_stop_rate,hard_exit_rate,gross_basket_edge_bps,basket_cost_bps,edge_cost_ratio,break_even_multiple
AUD_GBP_NZD,125,19.2573,12.7262,38.1357,10.9505,81.6,11.5027,55.9639,-39.1741,-8.2621,215.44,220.0,365.0,0.0,41.6,19.2573,6.5311,2.9486,2.9486
EUR_GBP_JPY,256,3.4407,-3.5608,19.6583,0.1395,9.375,-4.443,905.3241,-27.959,-6.583,23.1836,10.0,50.0,3.9062,1.5625,3.4407,7.0016,0.4914,0.4914
CHF_GBP_JPY,232,6.54,0.411,49.9065,1.1611,42.6724,-1.113,301.3931,-11.3989,-6.9471,17.8233,10.0,35.0,6.8966,2.1552,6.54,6.129,1.0671,1.0671
EUR_GBP_USD,435,24.0988,15.7393,13.0586,5.4152,78.1609,15.6574,96.2586,-61.7235,-22.9217,185.8391,190.0,325.0,8.5057,30.1149,24.0988,8.3594,2.8828,2.8828
GBP_NZD_USD,210,31.7732,22.8374,15.3708,8.0184,84.2857,21.9075,183.2856,-183.2856,-17.2152,209.4524,210.0,325.0,2.381,37.1429,31.7732,8.9358,3.5557,3.5557
