sigma_class,n,p_reversal_7d,p_contagion_approximation,p_rank_repair_30d,p_price_repair_30d,median_abs_move
2-3σ,123,0.6667,0.6667,0.4634,0.0813,0.00255
3-4σ,29,0.7241,0.7241,0.5862,0.069,0.00284
26-100,51,0.6667,0.6667,0.4902,0.0196,0.00237
101-250,46,0.6304,0.6304,0.413,0.0435,0.00255
251-500,33,0.6364,0.6364,0.5152,0.0606,0.00346
501-750,20,0.55,0.55,0.55,0.25,0.00164
