family,BEHAVIORAL,CORR_60,CORR_120,STATE,HYBRID,effective_views_estimate
BEHAVIORAL,1.0,0.0078,0.0077,0.0241,0.1023,1.0174143640000002
CORR_60,0.0078,1.0,0.1738,0.0099,0.0097,1.0174143640000002
CORR_120,0.0077,0.1738,1.0,0.01,0.0115,1.0174143640000002
STATE,0.0241,0.0099,0.01,1.0,0.0417,1.0174143640000002
HYBRID,0.1023,0.0097,0.0115,0.0417,1.0,1.0174143640000002
