peer_family,pit_construction,current_state_similarity,jaccard_persistence,membership_turnover,future_similarity_oos,future_corr_stability,event_coverage,lf5_pre_event_similarity,lf5_basket_correlation,reclassification
BEHAVIORAL_10,VALID,,0.1484,0.8516,0.1484,-0.0436,1.0,0.039,NOT_ESTIMATED,TRANSIENT_LOCAL
CORR_60_10,VALID,,0.0816,0.9184,0.0816,-0.049,0.9764,,NOT_ESTIMATED,TRANSIENT_LOCAL
CORR_120_10,VALID,,0.1544,0.8456,0.1544,-0.0455,0.931,,NOT_ESTIMATED,TRANSIENT_LOCAL
STATE,VALID,,0.07,0.93,0.07,-0.0187,0.9314,0.0297,NOT_ESTIMATED,TRANSIENT_LOCAL
HYBRID_10,VALID,,0.2224,0.7776,0.2224,-0.0296,1.0,0.0347,NOT_ESTIMATED,PIT_VALID_DYNAMIC
