group,rank_patch,n,p_rejoin,p_contagion,p_decoupling,p_full_repair_30d,p_rank_repair_30d,p_relapse
RANK_PATCH,26-100,238,0.5378,0.4244,0.4244,0.2269,0.6092,0.3025
RANK_PATCH,101-250,416,0.5048,0.4375,0.4375,0.2067,0.613,0.3125
RANK_PATCH,251-500,439,0.5581,0.426,0.426,0.2073,0.5786,0.3007
RANK_PATCH,501-750,399,0.5238,0.4912,0.4912,0.1754,0.604,0.3383
RANK_PATCH,751-1000,362,0.5801,0.4917,0.4917,0.1685,0.5691,0.3481
RANK_PATCH,1001-1500,74,0.3919,0.527,0.527,0.0811,0.5811,0.4189
RANK_PATCH,1501-2000,29,0.4138,0.5862,0.5862,0.0,0.3448,0.4828
SIGMA,2-3σ,1392,0.5424,0.4504,0.4504,0.1717,0.6078,
SIGMA,3-4σ,314,0.5032,0.4713,0.4713,0.1911,0.5318,
SIGMA,4σ+,251,0.5179,0.498,0.498,0.2749,0.5618,
CELL,HH,682,0.588,0.4633,0.4633,0.1818,0.629,
CELL,HL,302,0.5066,0.4503,0.4503,0.1821,0.5464,
CELL,LH,259,0.5058,0.4208,0.4208,0.2355,0.6216,
CELL,LL,714,0.5014,0.4748,0.4748,0.1793,0.5588,
