,BEHAVIORAL,CORR_60,CORR_120,STATE,HYBRID
BEHAVIORAL,1.0,0.7366,0.7786,0.8846,0.9114
CORR_60,0.7366,1.0,0.8514,0.7676,0.77
CORR_120,0.7786,0.8514,1.0,0.809,0.7997
STATE,0.8846,0.7676,0.809,1.0,0.9049
HYBRID,0.9114,0.77,0.7997,0.9049,1.0
