sequence,n_total,n_1s,n_2s,n_rank_repair,pct_full,n_no_1s,n_contagion,n_norm,n_persist
TRUE_DOWN_LONER->EARLY_1SIGMA->PEER_REJOIN->RANK_REPAIR,1957,390.0,506.0,1154.0,0.5897,,,,
TRUE_DOWN_LONER->NO_RECOVERY->CONTAGION,1957,,,,0.4599,1571.0,900.0,,
FALSE_LONER->PEER_NORMALIZATION->ASSET_NORMALIZATION,163,,,,0.6564,,,107.0,
TRUE_UP_LONER->PEER_CATCHUP->PERSISTENT_OUTPERFORMANCE,1042,,,,0.3186,,,,332.0
