final_class,path,n,pct
TRUE_UP_LONER,PERSISTENT_UP_DECOUPLING,670,0.643
TRUE_UP_LONER,LOCAL_UP_CONTAGION,132,0.1267
TRUE_UP_LONER,AMBIGUOUS,120,0.1152
TRUE_UP_LONER,ASSET_REJOINS_PEERS,120,0.1152
FALSE_UP_LONER,PERSISTENT_UP_DECOUPLING,33,0.7174
FALSE_UP_LONER,LOCAL_UP_CONTAGION,5,0.1087
FALSE_UP_LONER,ASSET_REJOINS_PEERS,5,0.1087
FALSE_UP_LONER,AMBIGUOUS,3,0.0652
