event_index,ret_1d,rank_band,BEHAVIORAL_10_label,CORR_60_10_label,CORR_120_10_label,STATE_label,HYBRID_10_label,n_families_true,consensus,final_class
207017,0.09855225,501-750,FALSE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,2,AMBIGUOUS,AMBIGUOUS
207478,0.22273715,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,NO_PEERS,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
207706,0.3913905,501-750,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
208163,0.22267364,251-500,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
208707,600.7302,101-250,TRUE_UP_LONER,NO_PEERS,TRUE_UP_LONER,NO_PEERS,TRUE_UP_LONER,3,TRUE_UP_LONER,TRUE_UP_LONER
209185,0.014198866,501-750,TRUE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,NO_PEERS,FALSE_UP_LONER,2,AMBIGUOUS,AMBIGUOUS
210326,0.12154664,751-1000,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
210443,0.13816994,1501-2000,TRUE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
210551,0.0061032916,26-100,FALSE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,2,AMBIGUOUS,AMBIGUOUS
210555,0.0015247684,26-100,FALSE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,NO_PEERS,FALSE_UP_LONER,1,AMBIGUOUS,AMBIGUOUS
210560,0.0023284815,26-100,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,0,AMBIGUOUS,FALSE_UP_LONER
210564,0.003318411,26-100,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,0,AMBIGUOUS,FALSE_UP_LONER
210572,0.007865743,26-100,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,0,AMBIGUOUS,FALSE_UP_LONER
211203,0.15827021,501-750,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
211205,0.11584126,501-750,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
211338,0.16583385,26-100,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
