group,subperiod,n,p_peer_deterioration
LONER,2020-2021,649,0.5054
RANDOM_SAME_BAND,2020-2021,649,0.5408
LONER,2022,379,0.5356
RANDOM_SAME_BAND,2022,379,0.5488
LONER,2023,331,0.5015
RANDOM_SAME_BAND,2023,331,0.5257
LONER,2024,441,0.5147
RANDOM_SAME_BAND,2024,441,0.5306
LONER,2025-2026,662,0.5861
RANDOM_SAME_BAND,2025-2026,662,0.5211
