entry_time,exit_time,direction,entry,exit,pnl_pips,result,exit_reason
2023-07-03 05:05:00-04:00,2023-07-03 06:00:00-04:00,LONG,1.0887300000000002,1.0885700000000003,-1.6,LOSS,SL
2023-07-04 06:10:00-04:00,2023-07-04 06:15:00-04:00,LONG,1.0897299999999999,1.09089,11.6,WIN,TP
2023-07-05 04:10:00-04:00,2023-07-05 04:20:00-04:00,LONG,1.0859999999999999,1.08704,10.4,WIN,TP
2023-07-06 03:10:00-04:00,2023-07-06 03:15:00-04:00,LONG,1.0826,1.08354,9.4,WIN,TP
2023-07-07 05:05:00-04:00,2023-07-07 05:10:00-04:00,LONG,1.0877399999999997,1.08872,9.8,WIN,TP
2023-07-10 05:05:00-04:00,2023-07-10 05:10:00-04:00,LONG,1.09305,1.09461,15.6,WIN,TP
2023-07-11 05:05:00-04:00,2023-07-11 05:10:00-04:00,LONG,1.0991699999999998,1.10069,15.2,WIN,TP
2023-07-12 06:45:00-04:00,2023-07-12 06:50:00-04:00,LONG,1.1011399999999996,1.10228,11.4,WIN,TP
2023-07-13 04:05:00-04:00,2023-07-13 04:10:00-04:00,LONG,1.11307,1.11409,10.2,WIN,TP
2023-07-14 03:10:00-04:00,2023-07-14 03:40:00-04:00,LONG,1.12286,1.12368,8.2,WIN,TP
2023-07-17 05:05:00-04:00,2023-07-17 05:10:00-04:00,SHORT,1.1244399999999999,1.12324,12.0,WIN,TP
2023-07-18 05:00:00-04:00,2023-07-18 05:15:00-04:00,LONG,1.1242999999999999,1.1241839999999999,-1.2,LOSS,SL
2023-07-19 05:05:00-04:00,2023-07-19 05:10:00-04:00,SHORT,1.1246700000000003,1.12349,11.8,WIN,TP
2023-07-20 02:10:00-04:00,2023-07-20 02:15:00-04:00,LONG,1.12091,1.12199,10.8,WIN,TP
2023-07-21 05:05:00-04:00,2023-07-21 05:10:00-04:00,SHORT,1.1152699999999995,1.11431,9.6,WIN,TP
2023-07-24 05:05:00-04:00,2023-07-24 05:10:00-04:00,SHORT,1.11473,1.11317,15.6,WIN,TP
2023-07-25 05:15:00-04:00,2023-07-25 06:00:00-04:00,SHORT,1.1087599999999995,1.1078,9.6,WIN,TP
2023-07-26 06:25:00-04:00,2023-07-26 06:30:00-04:00,LONG,1.1048400000000003,1.10582,9.8,WIN,TP
2023-07-27 04:05:00-04:00,2023-07-27 04:10:00-04:00,LONG,1.1073999999999997,1.1096,22.0,WIN,TP
2023-07-28 02:55:00-04:00,2023-07-28 03:00:00-04:00,LONG,1.09623,1.09751,12.8,WIN,TP
2023-07-31 05:05:00-04:00,2023-07-31 05:10:00-04:00,SHORT,1.10238,1.10144,9.4,WIN,TP
2023-08-01 05:05:00-04:00,2023-08-01 05:10:00-04:00,SHORT,1.1013399999999998,1.09988,14.6,WIN,TP
2023-08-02 04:05:00-04:00,2023-08-02 05:05:00-04:00,SHORT,1.1000399999999997,1.09892,11.2,WIN,TP
2023-08-03 03:50:00-04:00,2023-08-03 03:55:00-04:00,LONG,1.0911,1.09232,12.2,WIN,TP
2023-08-04 05:05:00-04:00,2023-08-04 05:10:00-04:00,LONG,1.0941300000000003,1.09519,10.6,WIN,TP
2023-08-07 04:45:00-04:00,2023-08-07 04:50:00-04:00,LONG,1.09746,1.09868,12.2,WIN,TP
2023-08-08 05:05:00-04:00,2023-08-08 05:10:00-04:00,SHORT,1.1010100000000003,1.09989,11.2,WIN,TP
2023-08-09 04:15:00-04:00,2023-08-09 04:20:00-04:00,SHORT,1.0993599999999997,1.09784,15.2,WIN,TP
2023-08-10 06:10:00-04:00,2023-08-10 11:30:00-04:00,SHORT,1.10277,1.102994,-2.2,LOSS,SL
2023-08-11 07:50:00-04:00,2023-08-11 07:55:00-04:00,SHORT,1.1016600000000003,1.1002,14.6,WIN,TP
2023-08-14 05:10:00-04:00,2023-08-14 05:15:00-04:00,LONG,1.0914300000000003,1.09295,15.2,WIN,TP
2023-08-15 05:55:00-04:00,2023-08-15 06:00:00-04:00,SHORT,1.09351,1.09237,11.4,WIN,TP
2023-08-16 05:35:00-04:00,2023-08-16 05:40:00-04:00,SHORT,1.09419,1.09271,14.8,WIN,TP
