date,direction,variant,entry,sl,tp,activation,body_pips,pnl,result
2023-07-03,LONG,INITIAL,1.08874,1.08857,1.09033,1.09033,8.0,-1.7,SL
2023-07-04,LONG,INITIAL,1.09009,1.08961,1.09089,1.09089,5.8,-4.8,SL
2023-07-05,LONG,INITIAL,1.08726,1.08712,1.08888,1.08888,8.0,16.2,TP
2023-07-06,LONG,INITIAL,1.08585,1.08569,1.08677,1.08677,4.9,-1.6,SL
2023-07-07,LONG,INITIAL,1.08808,1.08764,1.08872,1.08872,4.9,6.4,TP
2023-07-07,SHORT,CASCADE,1.08846,1.08853,1.08772,1.08772,4.8,-0.7,SL
2023-07-13,LONG,INITIAL,1.11309,1.11297,1.11409,1.11409,5.1,10.0,TP
2023-07-14,LONG,INITIAL,1.12101,1.12055,1.12191,1.12191,6.2,-4.6,SL
2023-07-14,LONG,INITIAL,1.12134,1.12092,1.12242,1.12242,6.8,10.8,TP
2023-07-17,SHORT,INITIAL,1.12447,1.12456,1.12324,1.12324,6.0,-0.9,SL
2023-07-18,SHORT,INITIAL,1.12663,1.12691,1.12504,1.12504,8.5,-2.8,SL
2023-07-19,LONG,INITIAL,1.11989,1.11933,1.12221,1.12221,13.1,23.2,TP
2023-07-20,LONG,INITIAL,1.11856,1.11846,1.12037,1.12037,8.7,-1.0,SL
2023-07-21,LONG,INITIAL,1.11181,1.11171,1.11303,1.11303,6.0,12.2,TP
2023-07-24,SHORT,INITIAL,1.10968,1.11026,1.10885,1.10885,6.4,-5.8,SL
2023-07-25,LONG,INITIAL,1.10447,1.10436,1.10546,1.10546,5.0,-1.1,SL
2023-07-26,SHORT,INITIAL,1.10658,1.10714,1.10622,1.10622,4.2,3.6,TP
2023-07-26,SHORT,CASCADE,1.10735,1.1075,1.10664,1.10664,5.1,-1.5,SL
2023-07-26,LONG,INITIAL,1.1064,1.10626,1.10769,1.10769,6.5,-1.4,SL
2023-07-27,LONG,INITIAL,1.10786,1.10718,1.1096,1.1096,11.0,-6.8,SL
2023-07-28,SHORT,INITIAL,1.10181,1.10218,1.10079,1.10079,6.3,10.2,TP
2023-07-31,SHORT,INITIAL,1.10239,1.10247,1.10144,1.10144,4.7,-0.8,SL
2023-08-01,LONG,INITIAL,1.09613,1.09587,1.09833,1.09833,11.2,-2.6,SL
2023-08-02,SHORT,INITIAL,1.09989,1.10015,1.09892,1.09892,5.6,9.7,TP
2023-08-02,LONG,INITIAL,1.09591,1.09576,1.09752,1.09752,8.0,-1.5,SL
2023-08-03,SHORT,INITIAL,1.09521,1.09537,1.09394,1.09394,6.5,12.7,TP
2023-08-04,LONG,INITIAL,1.09428,1.09402,1.09519,1.09519,5.3,-2.6,SL
2023-08-04,SHORT,INITIAL,1.09939,1.09987,1.09637,1.09637,15.9,5.0,EOD
2023-08-07,SHORT,INITIAL,1.09904,1.09926,1.09794,1.09794,6.0,-2.2,SL
2023-08-07,LONG,CASCADE,1.09795,1.09789,1.09875,1.09875,5.1,-0.6,SL
2023-08-08,SHORT,INITIAL,1.10081,1.10112,1.09989,1.09989,5.6,9.2,TP
2023-08-08,LONG,INITIAL,1.09633,1.09622,1.09767,1.09767,6.6,-1.1,SL
2023-08-09,LONG,INITIAL,1.09727,1.0967,1.09789,1.09789,5.4,-5.7,SL
2023-08-10,SHORT,INITIAL,1.1027,1.10299,1.10053,1.10053,11.2,-2.9,SL
2023-08-14,LONG,INITIAL,1.0918,1.09128,1.09295,1.09295,7.6,-5.2,SL
2023-08-22,LONG,INITIAL,1.08993,1.08988,1.09085,1.09085,4.4,-0.5,SL
2023-08-23,LONG,INITIAL,1.08174,1.08097,1.08198,1.08198,4.6,2.4,TP
2023-08-25,SHORT,INITIAL,1.08026,1.08034,1.07893,1.07893,6.4,-0.8,SL
2023-08-29,LONG,INITIAL,1.07906,1.0789,1.0804,1.0804,6.8,-1.6,SL
2023-08-30,SHORT,INITIAL,1.08918,1.08935,1.08678,1.08678,11.7,-1.7,SL
2023-08-31,LONG,INITIAL,1.08811,1.08794,1.08933,1.08933,6.3,-1.7,SL
2023-09-04,SHORT,INITIAL,1.08028,1.08042,1.07939,1.07939,4.7,-1.4,SL
2023-09-05,LONG,INITIAL,1.07553,1.07546,1.07676,1.07676,5.9,-0.7,SL
2023-09-06,SHORT,INITIAL,1.07478,1.0749,1.07376,1.07376,5.2,10.2,TP
2023-09-07,LONG,INITIAL,1.07049,1.07022,1.07163,1.07163,6.4,-2.7,SL
