date,direction,entry_price,exit_price,pnl_pips,exit_reason,signal_type,tier,year
2024-01-08,-1,1.09284,1.0922800000000001,5.099999999998939,tp1_ar25,signal1,T2,2024
2024-01-08,-1,1.09284,1.09613,-33.40000000000015,hard_exit_12pm,signal2,T2,2024
2024-01-09,-1,1.09427,1.094798,-5.779999999998619,sl_signal1,signal1,T1,2024
2024-01-09,-1,1.09427,1.0937925000000002,4.2749999999990855,tp1_ar25,signal2,T1,2024
2024-01-09,-1,1.09384,1.09461,-8.200000000001594,opposite_p90_exit_tp1done,cascade_1,T1,2024
2024-01-09,-1,1.09332,1.093824,-5.539999999998379,sl_signal1,signal1,T1,2024
2024-01-09,-1,1.09332,1.094265,-9.949999999999736,sl_signal2,signal2,T1,2024
2024-01-09,-1,1.09354,1.094084,-5.940000000001,sl_signal1,signal1,T1,2024
2024-01-09,-1,1.09354,1.09456,-10.700000000000209,sl_signal2,signal2,T1,2024
2024-01-10,1,1.09451,1.0940940000000001,-4.6599999999997195,sl_signal1,signal1,T1,2024
2024-01-10,1,1.09451,1.0937299999999999,-8.30000000000225,sl_signal2,signal2,T1,2024
2024-01-10,1,1.09386,1.0942275000000001,3.175000000000761,tp1_ar25,signal1,T1,2024
2024-01-10,1,1.09386,1.094595,6.8499999999993015,tp2_ar50,signal2,T1,2024
2024-01-11,-1,1.09619,1.09823,-20.900000000000418,sl_signal1,signal1,T1,2024
2024-01-11,-1,1.09619,1.095725,4.149999999999377,tp1_ar25,signal2,T1,2024
2024-01-15,-1,1.09404,1.0933674999999998,6.225000000000758,tp1_ar25,signal1,T2,2024
2024-01-15,-1,1.09404,1.09436,-3.70000000000098,hard_exit_12pm,signal2,T2,2024
2024-01-18,-1,1.08595,1.0853525,5.475000000000286,tp1_ar25,signal1,T2,2024
2024-01-18,-1,1.08595,1.08538,5.199999999999594,hard_exit_12pm,signal2,T2,2024
2024-01-22,-1,1.08802,1.08866,-6.899999999999739,sl_signal1,signal1,T2,2024
2024-01-22,-1,1.08802,1.0892199999999999,-12.499999999998678,sl_signal2,signal2,T2,2024
2024-01-25,1,1.08902,1.088644,-4.26000000000154,sl_signal1,signal1,T1,2024
2024-01-25,1,1.08902,1.0883149999999997,-7.5500000000039975,sl_signal2,signal2,T1,2024
2024-01-25,-1,1.08687,1.086465,3.549999999999887,tp1_ar25,signal1,T1,2024
2024-01-25,-1,1.08687,1.08606,7.599999999999774,tp2_ar50,signal2,T1,2024
2024-01-26,-1,1.08339,1.083085,2.549999999999997,tp1_ar25,signal1,T1,2024
2024-01-26,-1,1.08339,1.08278,5.599999999999994,tp2_ar50,signal2,T1,2024
2024-01-26,-1,1.08153,1.08206,-5.799999999999194,opposite_p90_trim50,signal1,T1,2024
2024-01-26,-1,1.08153,1.0813300000000001,1.4999999999997797,sl_signal2,signal2,T1,2024
2024-01-26,-1,1.08251,1.0829900000000001,-5.3000000000003595,sl_signal1,signal1,T1,2024
2024-01-26,-1,1.08251,1.0834100000000002,-9.50000000000123,sl_signal2,signal2,T1,2024
2024-01-26,-1,1.08343,1.0838139999999998,-4.3399999999993994,sl_signal1,signal1,T1,2024
2024-01-26,-1,1.08343,1.08415,-7.700000000000539,sl_signal2,signal2,T1,2024
2024-01-26,1,1.0853,1.085605,2.549999999999997,tp1_ar25,signal1,T1,2024
2024-01-26,1,1.0853,1.08591,5.599999999999994,tp2_ar50,signal2,T1,2024
2024-01-26,1,1.08754,1.087012,-5.779999999998619,sl_signal1,signal1,T1,2024
2024-01-26,1,1.08754,1.0865500000000001,-10.399999999998244,sl_signal2,signal2,T1,2024
2024-01-26,1,1.08636,1.086665,2.549999999999997,tp1_ar25,signal1,T1,2024
2024-01-26,1,1.08636,1.08697,5.599999999999994,tp2_ar50,signal2,T1,2024
2024-01-26,1,1.088,1.08724,-8.10000000000094,sl_signal1,signal1,T1,2024
2024-01-26,1,1.088,1.086575,-14.750000000000096,sl_signal2,signal2,T1,2024
2024-01-29,-1,1.08379,1.083495,2.449999999999342,tp1_ar25,signal1,T1,2024
2024-01-29,-1,1.08379,1.0832000000000002,5.399999999998684,tp2_ar50,signal2,T1,2024
2024-01-30,1,1.08473,1.084162,-6.179999999999019,sl_signal1,signal1,T2,2024
2024-01-30,1,1.08473,1.0836649999999999,-11.150000000000936,sl_signal2,signal2,T2,2024
2024-01-31,-1,1.08083,1.081598,-8.18000000000102,sl_signal1,signal1,T3,2024
2024-01-31,-1,1.08083,1.08227,-14.900000000001079,sl_signal2,signal2,T3,2024
2024-01-31,1,1.08522,1.084684,-5.86000000000092,sl_signal1,signal1,T3,2024
2024-01-31,1,1.08522,1.0860225000000001,7.525000000000393,tp1_ar25,signal2,T3,2024
2024-02-01,-1,1.07959,1.0790925,4.475000000000396,tp1_ar25,signal1,T1,2024
2024-02-01,-1,1.07959,1.078595,9.450000000000792,tp2_ar50,signal2,T1,2024
2024-02-01,-1,1.0786,1.0781025,4.475000000000396,tp1_ar25,signal1,T1,2024
2024-02-01,-1,1.0786,1.07916,-6.099999999998939,opposite_p90_exit_tp1done,signal2,T1,2024
