date,direction,entry_price,exit_price,pnl_pips,exit_reason,signal_type,tier
2024-01-09,-1,1.09427,1.09493,-7.099999999998829,sl_signal1,signal1,T1
2024-01-09,-1,1.09427,1.0937925000000002,4.2749999999990855,tp1,signal2,T1
2024-01-10,1,1.09451,1.09399,-5.70000000000076,sl_signal1,signal1,T1
2024-01-10,1,1.09451,1.0937299999999999,-8.30000000000225,sl_signal2,signal2,T1
2024-01-10,1,1.09386,1.0942275000000001,3.175000000000761,tp1,signal1,T1
2024-01-10,1,1.09386,1.094595,6.8499999999993015,tp2,signal2,T1
2024-01-25,1,1.08902,1.08855,-5.200000000001925,sl_signal1,signal1,T1
2024-01-25,1,1.08902,1.0883149999999997,-7.5500000000039975,sl_signal2,signal2,T1
2024-01-26,-1,1.08339,1.083085,2.549999999999997,tp1,signal1,T1
2024-01-26,-1,1.08339,1.08278,5.599999999999994,tp2,signal2,T1
2024-01-26,-1,1.08153,1.08206,-5.799999999999194,opposite_p90_trim,signal1,T1
2024-01-26,-1,1.08153,1.0813300000000001,1.4999999999997797,sl_signal2,signal2,T1
2024-01-26,-1,1.08251,1.0831100000000002,-6.50000000000156,sl_signal1,signal1,T1
2024-01-26,-1,1.08251,1.0834100000000002,-9.50000000000123,sl_signal2,signal2,T1
2024-01-26,-1,1.08343,1.08391,-5.3000000000003595,sl_signal1,signal1,T1
2024-01-26,-1,1.08343,1.08415,-7.700000000000539,sl_signal2,signal2,T1
2024-01-29,-1,1.08379,1.083495,2.449999999999342,tp1,signal1,T1
2024-01-29,-1,1.08379,1.0832000000000002,5.399999999998684,tp2,signal2,T1
2024-02-01,-1,1.07959,1.0790925,4.475000000000396,tp1,signal1,T1
2024-02-01,-1,1.07959,1.078595,9.450000000000792,tp2,signal2,T1
2024-02-01,-1,1.0786,1.0781025,4.475000000000396,tp1,signal1,T1
2024-02-01,-1,1.0786,1.07916,-6.099999999998939,opposite_p90_exit,signal2,T1
2024-02-01,-1,1.07922,1.0797400000000001,-5.70000000000076,sl_signal1,signal1,T1
2024-02-01,-1,1.07922,1.08,-8.30000000000003,sl_signal2,signal2,T1
2024-02-02,1,1.08834,1.08782,-5.70000000000076,sl_signal1,signal1,T1
2024-02-02,1,1.08834,1.0888025000000001,4.125000000000323,tp1,signal2,T1
2024-02-05,-1,1.0753,1.0748275,4.224999999998758,tp1,signal1,T1
2024-02-05,-1,1.0753,1.074355,8.949999999999736,tp2,signal2,T1
2024-02-06,1,1.07564,1.0760524999999999,3.624999999999268,tp1,signal1,T1
2024-02-06,1,1.07564,1.0739,-17.899999999998528,hard_exit_12pm,signal2,T1
2024-02-07,1,1.07689,1.07634,-5.999999999998284,sl_signal1,signal1,T1
2024-02-07,1,1.07689,1.07734,4.000000000000615,tp1,signal2,T1
2024-02-09,-1,1.07687,1.0766375,1.8250000000007987,tp1,signal1,T1
2024-02-09,-1,1.07687,1.0764049999999998,4.150000000001597,tp2,signal2,T1
2024-02-14,-1,1.07028,1.06999,2.3999999999990145,tp1,signal1,T1
2024-02-14,-1,1.07028,1.0697,5.299999999998029,tp2,signal2,T1
2024-02-20,1,1.07869,1.0791624999999998,4.224999999998758,tp1,signal1,T1
2024-02-20,1,1.07869,1.079635,8.949999999999736,tp2,signal2,T1
2024-02-21,-1,1.07934,1.07987,-5.800000000001415,sl_signal1,signal1,T1
2024-02-21,-1,1.07934,1.0801350000000003,-8.450000000003232,sl_signal2,signal2,T1
2024-02-27,1,1.08584,1.0853499999999998,-5.400000000001015,sl_signal1,signal1,T1
2024-02-27,1,1.08584,1.0851049999999998,-7.850000000001522,sl_signal2,signal2,T1
2024-02-29,1,1.08465,1.08407,-6.299999999998029,sl_signal1,signal1,T1
2024-02-29,1,1.08465,1.0837800000000002,-9.199999999997043,sl_signal2,signal2,T1
2024-02-29,1,1.08458,1.0849250000000001,2.950000000000397,tp1,signal1,T1
2024-02-29,1,1.08458,1.08527,6.399999999998574,tp2,signal2,T1
2024-03-08,-1,1.09345,1.0931175,2.8250000000006885,tp1,signal1,T1
2024-03-08,-1,1.09345,1.0927850000000001,6.149999999999157,tp2,signal2,T1
2024-04-01,-1,1.07835,1.07882,-5.199999999999704,sl_signal1,signal1,T1
2024-04-01,-1,1.07835,1.0790549999999999,-7.549999999999557,sl_signal2,signal2,T1
2024-04-11,-1,1.07372,1.07441,-7.400000000000794,sl_signal1,signal1,T1
2024-04-11,-1,1.07372,1.07346,2.0999999999992696,tp1,signal2,T1
2024-04-12,-1,1.06909,1.0686250000000002,4.149999999999377,tp1,signal1,T1
2024-04-12,-1,1.06909,1.0681600000000002,8.799999999998754,tp2,signal2,T1
2024-04-12,-1,1.06806,1.067595,4.149999999999377,tp1,signal1,T1
2024-04-12,-1,1.06806,1.06816,-1.4999999999998899,opposite_p90_exit,signal2,T1
2024-04-12,-1,1.06708,1.066615,4.149999999999377,tp1,signal1,T1
2024-04-12,-1,1.06708,1.06615,8.800000000000974,tp2,signal2,T1
2024-04-23,1,1.06651,1.0679488000000001,13.888000000000734,kill_switch_132,signal1,T1
2024-04-23,1,1.06651,1.0679488000000001,13.888000000000734,kill_switch_132,signal2,T1
2024-04-23,1,1.06738,1.0676525,2.2249999999989782,tp1,signal1,T1
2024-04-23,1,1.06738,1.067925,4.950000000000177,tp2,signal2,T1
2024-04-23,1,1.06733,1.0676025,2.2250000000011987,tp1,signal1,T1
2024-04-23,1,1.06733,1.06641,-9.699999999998099,opposite_p90_exit,signal2,T1
2024-04-24,-1,1.06962,1.0692525,3.175000000000761,tp1,signal1,T1
