date,direction,entry_price,exit_price,pnl_pips,exit_reason,signal_type,tier,year
2023-07-03,-1,1.08713,1.0877268,-6.4680000000006395,kill_switch_132,signal1,T1,2023
2023-07-03,-1,1.08713,1.0877268,-6.4680000000006395,kill_switch_132,signal2,T1,2023
2023-07-03,-1,1.08827,1.0889579999999999,-7.379999999997999,sl_body80,signal1,T1,2023
2023-07-03,-1,1.08827,1.0895599999999999,-13.399999999997913,sl_body150,signal2,T1,2023
2023-07-04,-1,1.08973,1.090202,-5.219999999998059,sl_body80,signal1,T1,2023
2023-07-04,-1,1.08973,1.0893325,3.475000000000506,tp1_ar25,signal2,T1,2023
2023-07-05,-1,1.08704,1.087456,-4.6599999999997195,sl_body80,signal1,T1,2023
2023-07-05,-1,1.08704,1.0878200000000002,-8.30000000000225,sl_body150,signal2,T1,2023
2023-07-05,1,1.09018,1.0905775,3.475000000000506,tp1_ar25,signal1,T1,2023
2023-07-05,1,1.09018,1.08726,-29.700000000000337,opposite_p90_exit,signal2,T1,2023
2023-07-05,1,1.08924,1.08868,-6.099999999998939,sl_body80,signal1,T1,2023
2023-07-05,1,1.08924,1.08819,-10.999999999999954,sl_body150,signal2,T1,2023
2023-07-06,1,1.08604,1.0866224999999998,5.324999999999303,tp1_ar25,signal1,T2,2023
2023-07-06,1,1.08604,1.087205,11.150000000000826,tp2_ar50,signal2,T2,2023
2023-07-06,1,1.08592,1.0865025,5.324999999999303,tp1_ar25,signal1,T2,2023
2023-07-06,1,1.08592,1.087085,11.150000000000826,tp2_ar50,signal2,T2,2023
2023-07-06,1,1.08868,1.087085,-16.45000000000013,tp2_ar50,cascade_1,T2,2023
2023-07-06,1,1.08794,1.08695,-10.399999999998244,opposite_p90_exit,signal1,T2,2023
2023-07-06,1,1.08794,1.08695,-10.399999999998244,opposite_p90_exit,signal2,T2,2023
2023-07-07,1,1.08975,1.089182,-6.179999999999019,sl_body80,signal1,T1,2023
2023-07-07,1,1.08975,1.088685,-11.150000000000936,sl_body150,signal2,T1,2023
2023-07-07,-1,1.08704,1.0867175,2.7250000000000334,tp1_ar25,signal1,T1,2023
2023-07-07,-1,1.08704,1.08772,-7.300000000000139,opposite_p90_exit,signal2,T1,2023
2023-07-07,-1,1.08756,1.0882,-6.899999999999739,opposite_p90_exit,signal1,T1,2023
2023-07-07,-1,1.08756,1.0882,-6.899999999999739,opposite_p90_exit,signal2,T1,2023
2023-07-07,1,1.09245,1.09157,-9.299999999999919,opposite_p90_exit,signal1,T1,2023
2023-07-07,1,1.09245,1.09157,-9.299999999999919,opposite_p90_exit,signal2,T1,2023
2023-07-07,1,1.09119,1.0905820000000002,-6.579999999999419,sl_body80,signal1,T1,2023
2023-07-07,1,1.09119,1.0900500000000002,-11.899999999999189,sl_body150,signal2,T1,2023
2023-07-10,-1,1.09461,1.095234,-6.739999999999579,sl_body80,signal1,T1,2023
2023-07-10,-1,1.09461,1.09578,-12.199999999998933,sl_body150,signal2,T1,2023
2023-07-11,1,1.10206,1.10271,6.000000000000394,tp1_ar25,signal1,T2,2023
2023-07-11,1,1.10206,1.09839,-37.20000000000062,hard_exit_12pm,signal2,T2,2023
2023-07-12,1,1.10535,1.1062425,8.424999999999628,tp1_ar25,signal1,T3,2023
2023-07-12,1,1.10535,1.107135,17.349999999999255,tp2_ar50,signal2,T3,2023
2023-07-12,1,1.10581,1.1067025,8.424999999999628,tp1_ar25,signal1,T3,2023
2023-07-12,1,1.10581,1.1075949999999999,17.349999999999255,tp2_ar50,signal2,T3,2023
2023-07-13,1,1.11508,1.1146400000000003,-4.899999999997739,sl_body80,signal1,T2,2023
2023-07-13,1,1.11508,1.1142550000000004,-8.749999999996316,sl_body150,signal2,T2,2023
2023-07-13,1,1.11504,1.11562,5.300000000000249,tp1_ar25,cascade_1,T2,2023
2023-07-13,1,1.11552,1.11527,-3.000000000000835,opposite_p90_exit,cascade_2,T2,2023
2023-07-13,1,1.11631,1.11685,4.899999999999849,tp1_ar25,signal1,T2,2023
2023-07-13,1,1.11631,1.1173899999999999,10.299999999999699,tp2_ar50,signal2,T2,2023
2023-07-13,1,1.11635,1.11689,4.899999999999849,tp1_ar25,signal1,T2,2023
2023-07-13,1,1.11635,1.11743,10.299999999999699,tp2_ar50,signal2,T2,2023
2023-07-14,-1,1.12056,1.12104,-5.3000000000003595,sl_body80,signal1,T3,2023
2023-07-14,-1,1.12056,1.12146,-9.499999999999009,sl_body150,signal2,T3,2023
2023-07-17,1,1.12395,1.123502,-4.9800000000000395,sl_body80,signal1,T1,2023
2023-07-17,1,1.12395,1.12311,-8.899999999999519,sl_body150,signal2,T1,2023
2023-07-17,1,1.12431,1.1244275,0.6749999999999261,tp1_ar25,cascade_1,T1,2023
2023-07-17,1,1.12441,1.12256,-18.999999999999073,hard_exit_12pm,cascade_2,T1,2023
2023-07-18,1,1.1261,1.1266975000000001,5.475000000000286,tp1_ar25,signal1,T2,2023
2023-07-18,1,1.1261,1.1272950000000002,11.450000000000571,tp2_ar50,signal2,T2,2023
2023-07-18,-1,1.12315,1.1235899999999999,-4.899999999997739,sl_body80,signal1,T2,2023
2023-07-18,-1,1.12315,1.1239749999999997,-8.749999999996316,sl_body150,signal2,T2,2023
2023-07-19,1,1.12349,1.123018,-5.2200000000002795,sl_body80,signal1,T1,2023
2023-07-19,1,1.12349,1.122605,-9.350000000000247,sl_body150,signal2,T1,2023
2023-07-19,-1,1.11989,1.12084,-10.000000000000064,opposite_p90_exit,signal1,T1,2023
2023-07-19,-1,1.11989,1.12084,-10.000000000000064,opposite_p90_exit,signal2,T1,2023
2023-07-19,-1,1.12101,1.121586,-6.259999999999099,sl_body80,signal1,T1,2023
2023-07-19,-1,1.12101,1.1220899999999998,-11.299999999997478,sl_body150,signal2,T1,2023
2023-07-19,-1,1.12144,1.12125,1.3999999999991246,hard_exit_12pm,cascade_1,T1,2023
2023-07-20,-1,1.11856,1.1176949999999999,8.150000000001157,tp1_ar25,signal1,T3,2023
2023-07-20,-1,1.11856,1.11831,2.000000000000835,hard_exit_12pm,signal2,T3,2023
2023-07-21,1,1.11431,1.113926,-4.3399999999993994,sl_body80,signal1,T1,2023
2023-07-21,1,1.11431,1.1135900000000003,-7.699999999996098,sl_body150,signal2,T1,2023
2023-07-24,1,1.11415,1.11455,3.4999999999995595,tp1_ar25,signal1,T1,2023
2023-07-24,1,1.11415,1.10814,-60.600000000000705,opposite_p90_exit,signal2,T1,2023
2023-07-24,-1,1.10694,1.1095579999999998,-26.67999999999787,kill_switch_132,signal1,T1,2023
2023-07-24,-1,1.10694,1.1095579999999998,-26.67999999999787,kill_switch_132,signal2,T1,2023
2023-07-24,-1,1.10817,1.1095579999999998,-14.379999999997228,kill_switch_132,signal1,T1,2023
2023-07-24,-1,1.10817,1.1095579999999998,-14.379999999997228,kill_switch_132,signal2,T1,2023
2023-07-24,-1,1.10817,1.1095579999999998,-14.379999999997228,kill_switch_132,cascade_1,T1,2023
2023-07-24,-1,1.11081,1.1104100000000001,3.4999999999995595,tp1_ar25,signal1,T1,2023
2023-07-24,-1,1.11081,1.11001,7.500000000001339,tp2_ar50,signal2,T1,2023
2023-07-24,-1,1.10848,1.1095579999999998,-11.279999999999124,kill_switch_132,cascade_1,T1,2023
2023-07-25,-1,1.10546,1.10586,-4.4999999999995595,sl_body80,signal1,T2,2023
2023-07-25,-1,1.10546,1.10621,-7.999999999998064,sl_body150,signal2,T2,2023
2023-07-26,1,1.10622,1.1058839999999999,-3.86000000000114,sl_body80,signal1,T1,2023
2023-07-26,1,1.10622,1.106715,4.449999999999122,tp1_ar25,signal2,T1,2023
2023-07-26,1,1.10664,1.107135,4.449999999999122,tp1_ar25,signal1,T1,2023
2023-07-26,1,1.10664,1.1076300000000001,9.400000000000464,tp2_ar50,signal2,T1,2023
2023-07-27,1,1.11291,1.1139325000000002,9.725000000001483,tp1_ar25,signal1,T3,2023
2023-07-27,1,1.11291,1.11331,3.4999999999995595,opposite_p90_exit,signal2,T3,2023
2023-07-27,1,1.11394,1.11334,-6.499999999999339,sl_body80,signal1,T3,2023
2023-07-27,1,1.11394,1.11306,-9.299999999999919,opposite_p90_exit,signal2,T3,2023
2023-07-27,1,1.11245,1.1119539999999999,-5.4600000000005195,sl_body80,signal1,T3,2023
2023-07-27,1,1.11245,1.1115199999999998,-9.800000000000974,sl_body150,signal2,T3,2023
2023-07-27,-1,1.10533,1.1043075,9.724999999999262,tp1_ar25,signal1,T3,2023
2023-07-27,-1,1.10533,1.1032849999999998,19.950000000000745,tp2_ar50,signal2,T3,2023
2023-07-28,-1,1.09499,1.096542,-16.01999999999998,sl_body80,signal1,T2,2023
2023-07-28,-1,1.09499,1.0979,-29.600000000001902,sl_body150,signal2,T2,2023
2023-07-28,1,1.10152,1.102245,6.749999999998646,tp1_ar25,signal1,T2,2023
2023-07-28,1,1.10152,1.10297,13.999999999999513,tp2_ar50,signal2,T2,2023
2023-07-31,1,1.10283,1.1033925,5.125000000000213,tp1_ar25,signal1,T2,2023
2023-07-31,1,1.10283,1.103955,10.750000000000426,tp2_ar50,signal2,T2,2023
2023-08-01,-1,1.09725,1.098122,-9.219999999999839,sl_body80,signal1,T2,2023
2023-08-01,-1,1.09744,1.0984479999999999,-10.579999999998979,sl_body150,cascade_1,T2,2023
2023-08-01,-1,1.09725,1.09759,-3.9000000000000696,opposite_p90_exit,signal2,T2,2023
2023-08-01,-1,1.09723,1.09759,-4.10000000000138,opposite_p90_exit,cascade_2,T2,2023
2023-08-01,-1,1.09696,1.096395,5.149999999999267,tp1_ar25,signal1,T2,2023
2023-08-01,-1,1.09696,1.0958299999999999,10.800000000000754,tp2_ar50,signal2,T2,2023
2023-08-02,-1,1.09781,1.098434,-6.739999999999579,sl_body80,signal1,T3,2023
2023-08-02,-1,1.09781,1.09898,-12.200000000001154,sl_body150,signal2,T3,2023
2023-08-03,-1,1.0915,1.09203,-5.800000000001415,opposite_p90_exit,signal1,T2,2023
2023-08-03,-1,1.0915,1.09203,-5.800000000001415,opposite_p90_exit,signal2,T2,2023
2023-08-03,1,1.09521,1.094258,-10.020000000000639,sl_body80,signal1,T2,2023
2023-08-03,1,1.09521,1.093425,-18.349999999999255,sl_body150,signal2,T2,2023
2023-08-04,1,1.09637,1.0969075,4.874999999998575,tp1_ar25,signal1,T2,2023
2023-08-04,1,1.09637,1.097445,10.249999999999371,tp2_ar50,signal2,T2,2023
2023-08-07,-1,1.09868,1.098095,5.350000000000577,tp1_ar25,signal1,T2,2023
