rank_band,participation,sign,n,p_reversal_7d,p_recover1s_7d,p_giveback50_7d,median_signed_fwd7,interaction_status
1001-1500,BAND_BROAD,DOWN,10967,0.5542080787817999,0.16558767210723077,0.3703838789094556,-0.14535560493214147,DESCRIPTIVE_NO_MODEL
1001-1500,BAND_BROAD,UP,18269,0.5995402047183754,0.1665115769883409,0.34227379714270073,0.11121418827615227,DESCRIPTIVE_NO_MODEL
1001-1500,ISOLATED,DOWN,83,0.6144578313253012,0.10843373493975904,0.5060240963855421,-0.23655137716523694,DESCRIPTIVE_NO_MODEL
1001-1500,ISOLATED,UP,4,0.0,0.5,0.0,1.3006477821008144,DESCRIPTIVE_NO_MODEL
1001-1500,LOCAL_CLUSTER,DOWN,2755,0.5800362976406533,0.1484573502722323,0.39782214156079854,-0.13056252656342512,DESCRIPTIVE_NO_MODEL
1001-1500,LOCAL_CLUSTER,UP,531,0.615819209039548,0.1431261770244821,0.3446327683615819,-0.23411817089634337,DESCRIPTIVE_NO_MODEL
1001-1500,MULTI_BAND,DOWN,9384,0.5171568627450981,0.17135549872122763,0.30221653878942883,295.7871878582243,DESCRIPTIVE_NO_MODEL
1001-1500,MULTI_BAND,UP,18649,0.5293581425277495,0.2187248646040002,0.29052496112392084,-297.857731874257,DESCRIPTIVE_NO_MODEL
1501-2000,BAND_BROAD,DOWN,14954,0.5954928447238197,0.1442423431857697,0.42222816637688915,-0.3135046344245575,DESCRIPTIVE_NO_MODEL
1501-2000,BAND_BROAD,UP,19538,0.5723206059985669,0.172177295526666,0.31932644078206573,-0.02051936660317036,DESCRIPTIVE_NO_MODEL
1501-2000,ISOLATED,DOWN,29,0.7241379310344828,0.06896551724137931,0.5517241379310345,-0.6106896493397059,DESCRIPTIVE_NO_MODEL
1501-2000,ISOLATED,UP,7,0.8571428571428571,0.0,0.42857142857142855,-0.1885348021138218,DESCRIPTIVE_NO_MODEL
1501-2000,LOCAL_CLUSTER,DOWN,1711,0.6353009935710111,0.12331969608416131,0.4605493863237873,-0.38445683871805,DESCRIPTIVE_NO_MODEL
1501-2000,LOCAL_CLUSTER,UP,697,0.5738880918220947,0.17073170731707318,0.35437589670014347,-0.14912427187158148,DESCRIPTIVE_NO_MODEL
1501-2000,MULTI_BAND,DOWN,9906,0.5437108822935595,0.16424389259034927,0.3291944276196245,-0.2063036671965961,DESCRIPTIVE_NO_MODEL
1501-2000,MULTI_BAND,UP,12595,0.5147280666931322,0.2187375942834458,0.28971814211988883,0.2296815571108065,DESCRIPTIVE_NO_MODEL
501-750,BAND_BROAD,DOWN,2088,0.48946360153256707,0.18726053639846743,0.31992337164750956,-0.023795900821261564,DESCRIPTIVE_NO_MODEL
501-750,BAND_BROAD,UP,11055,0.6063319764812302,0.16074174581637268,0.3441881501582994,0.22796064570643138,DESCRIPTIVE_NO_MODEL
501-750,ISOLATED,DOWN,508,0.5177165354330708,0.16535433070866143,0.328740157480315,-0.011928326294038885,DESCRIPTIVE_NO_MODEL
501-750,ISOLATED,UP,102,0.696078431372549,0.08823529411764706,0.4019607843137255,-0.12186470940199344,DESCRIPTIVE_NO_MODEL
501-750,LOCAL_CLUSTER,DOWN,2692,0.5096582466567607,0.17793462109955424,0.336924219910847,-0.017897070527825014,DESCRIPTIVE_NO_MODEL
501-750,LOCAL_CLUSTER,UP,2883,0.6444675685050295,0.13180714533472077,0.37946583420048563,-0.8647420942374904,DESCRIPTIVE_NO_MODEL
501-750,MULTI_BAND,DOWN,4166,0.5314450312049928,0.15122419587133942,0.2926068170907345,-0.015541837128815643,DESCRIPTIVE_NO_MODEL
501-750,MULTI_BAND,UP,4244,0.5315739868049011,0.22926484448633364,0.29476908576814326,0.028310051117867975,DESCRIPTIVE_NO_MODEL
751-1000,BAND_BROAD,DOWN,3192,0.5278822055137845,0.17951127819548873,0.35902255639097747,-0.04800160484957231,DESCRIPTIVE_NO_MODEL
751-1000,BAND_BROAD,UP,12266,0.5675851948475461,0.1869395075819338,0.32447415620414155,0.04766865053665857,DESCRIPTIVE_NO_MODEL
751-1000,ISOLATED,DOWN,403,0.5707196029776674,0.15384615384615385,0.38957816377171217,-0.1444749213401263,DESCRIPTIVE_NO_MODEL
751-1000,ISOLATED,UP,74,0.6621621621621622,0.1891891891891892,0.43243243243243246,0.006870042491200901,DESCRIPTIVE_NO_MODEL
751-1000,LOCAL_CLUSTER,DOWN,3402,0.5097001763668431,0.18400940623162845,0.3377425044091711,-0.21142325621807234,DESCRIPTIVE_NO_MODEL
751-1000,LOCAL_CLUSTER,UP,2654,0.6224566691785983,0.153353428786737,0.38696307460437074,0.049399829218656564,DESCRIPTIVE_NO_MODEL
751-1000,MULTI_BAND,DOWN,4209,0.5039201710620099,0.17248752672843906,0.28130197196483725,-0.022470265858760177,DESCRIPTIVE_NO_MODEL
751-1000,MULTI_BAND,UP,3849,0.5136399064692128,0.22629254351779682,0.29098467134320605,0.014360800367346133,DESCRIPTIVE_NO_MODEL
