basket,rank_band,n,assets,median_return,breadth,dispersion,tail_share,neighbor_isolation,price_recovery_rate,rank_recovery_rate
ISOLATED_DOWN,1001-1500,83,82,-0.22920917974820684,0.0,0.15642056363294785,0.2891566265060241,,0.10843373493975904,
ISOLATED_DOWN,1501-2000,29,28,-0.31831772936129116,0.0,0.1706388167039523,0.1724137931034483,,0.06896551724137931,
ISOLATED_DOWN,501-750,508,366,-0.17840176190066515,0.0,0.13600841628570748,0.32677165354330706,,0.16535433070866143,
ISOLATED_DOWN,751-1000,403,344,-0.17947324336091158,0.0,0.1304899414664394,0.2729528535980149,,0.15384615384615385,
COORDINATED_UP,1001-1500,36918,3976,0.6773016767286422,1.0,6.013989628501924,0.4778969608321144,,0.192886938620727,
COORDINATED_UP,1501-2000,32133,4016,0.6140954366971643,1.0,22.027511297502304,0.46883266423925557,,0.19042728659010985,
COORDINATED_UP,501-750,15299,2316,1.1274062860076957,1.0,41.349894023845195,0.47421400091509247,,0.179750310477809,
COORDINATED_UP,751-1000,16115,2805,0.7187930896345446,1.0,10.023224789913362,0.46292274278622403,,0.1963388147688489,
HIGH_TAIL,1001-1500,25226,3880,0.720332709649579,0.7103385396019979,7.253568330438345,1.0,,0.20244985332593357,
HIGH_TAIL,1501-2000,24608,4060,0.5364953704659582,0.6256501950585176,25.252328875540535,1.0,,0.19891905071521457,
HIGH_TAIL,501-750,11704,2219,2.070920881840634,0.7505126452494874,61.03863382842695,1.0,,0.18233082706766918,
HIGH_TAIL,751-1000,12343,2693,0.8384872282932726,0.7137648869804748,11.54660894246257,1.0,,0.20294903994166735,
SHHM,1001-1500,27698,3753,0.7034293815079442,0.9455195320961802,6.844828905110022,0.5074734637879992,,0.20770452740270057,
SHHM,1501-2000,22686,3615,0.6678041706235989,0.9423432954244909,26.068422773880584,0.5018072820241559,,0.19924182315084193,
SHHM,501-750,14938,2301,1.3079965256238542,0.9474494577587361,45.84660059586344,0.5050876958093453,,0.18416119962511715,
SHHM,751-1000,14433,2707,0.7150027894470661,0.9409686135938474,8.623064854424284,0.49608535993902864,,0.20591699577357445,
SHMC,1001-1500,8232,2796,0.3366554365535968,0.8890913508260447,1.5401333818379779,0.3463313896987366,,0.14188532555879493,
SHMC,1501-2000,8358,3062,0.25815535552451946,0.8744915051447715,0.49689335775185195,0.34637473079684133,,0.15697535295525245,
SHMC,501-750,2915,1252,0.4425473274742948,0.9015437392795883,9.689381561596699,0.31732418524871353,,0.12658662092624356,
SHMC,751-1000,3859,1674,0.23087893556082092,0.8852034205752786,0.8639273857178157,0.31718061674008813,,0.13811868359678672,
