rank_band,timing_class,n,p_full_reversal_7d,p_new_low_proxy_7d,p_giveback50_7d,status
1001-1500,EARLY_1D,9,0.2222222222222222,0.6666666666666666,0.1111111111111111,DESCRIPTIVE_CENSORED
1001-1500,EARLY_2D,12,0.08333333333333333,0.4166666666666667,0.0,DESCRIPTIVE_CENSORED
1001-1500,EARLY_3D,12,0.16666666666666666,0.4166666666666667,0.08333333333333333,DESCRIPTIVE_CENSORED
1001-1500,MID_4_5D,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,DESCRIPTIVE_CENSORED
1001-1500,LATE_6_7D,4,0.0,0.0,0.0,DESCRIPTIVE_CENSORED
1001-1500,NONE_7D,74,0.6891891891891891,1.0,0.5675675675675675,DESCRIPTIVE_CENSORED
1501-2000,EARLY_1D,4,0.25,0.75,0.25,DESCRIPTIVE_CENSORED
1501-2000,EARLY_2D,3,0.0,0.6666666666666666,0.0,DESCRIPTIVE_CENSORED
1501-2000,EARLY_3D,3,0.0,0.3333333333333333,0.0,DESCRIPTIVE_CENSORED
1501-2000,MID_4_5D,0,,,,DESCRIPTIVE_CENSORED
1501-2000,LATE_6_7D,0,,,,DESCRIPTIVE_CENSORED
1501-2000,NONE_7D,27,0.7777777777777778,1.0,0.5925925925925926,DESCRIPTIVE_CENSORED
501-750,EARLY_1D,80,0.2,0.525,0.1,DESCRIPTIVE_CENSORED
501-750,EARLY_2D,71,0.18309859154929578,0.4084507042253521,0.11267605633802817,DESCRIPTIVE_CENSORED
501-750,EARLY_3D,85,0.07058823529411765,0.32941176470588235,0.047058823529411764,DESCRIPTIVE_CENSORED
501-750,MID_4_5D,31,0.0967741935483871,0.41935483870967744,0.06451612903225806,DESCRIPTIVE_CENSORED
501-750,LATE_6_7D,14,0.0,0.0,0.0,DESCRIPTIVE_CENSORED
501-750,NONE_7D,424,0.6202830188679245,1.0,0.3938679245283019,DESCRIPTIVE_CENSORED
751-1000,EARLY_1D,60,0.13333333333333333,0.5833333333333334,0.1,DESCRIPTIVE_CENSORED
751-1000,EARLY_2D,61,0.11475409836065574,0.5409836065573771,0.06557377049180328,DESCRIPTIVE_CENSORED
751-1000,EARLY_3D,77,0.14285714285714285,0.4675324675324675,0.1038961038961039,DESCRIPTIVE_CENSORED
751-1000,MID_4_5D,21,0.09523809523809523,0.3333333333333333,0.09523809523809523,DESCRIPTIVE_CENSORED
751-1000,LATE_6_7D,11,0.0,0.0,0.0,DESCRIPTIVE_CENSORED
751-1000,NONE_7D,341,0.6744868035190615,1.0,0.4604105571847507,DESCRIPTIVE_CENSORED
