time,open,high,low,close,tick_volume,spread,real_volume
2021-02-05,56.55,57.16,56.35,56.91,18633,0,0
2021-02-08,57.02,58.1,56.98,58.05,15334,0,0
2021-02-09,58.03,58.58,57.23,58.4,16384,0,0
2021-02-10,58.38,58.87,58.05,58.33,15584,0,0
2021-02-11,58.37,58.67,57.81,57.87,11905,0,0
2021-02-12,57.88,59.78,57.37,59.68,16465,0,0
2021-02-15,60.1,60.92,59.93,60.04,8059,0,0
2021-02-16,60.16,60.28,59.34,60.05,9525,0,0
2021-02-17,60.22,61.68,59.58,61.58,8052,0,0
2021-02-18,61.63,62.23,59.79,60.13,10448,0,0
2021-02-19,60.1,60.28,58.57,58.97,16374,0,0
2021-02-22,58.89,62.11,58.82,62.03,15028,0,0
2021-02-23,62.02,62.92,60.61,61.03,13435,0,0
2021-02-24,61.19,63.42,60.9,63.28,35141,0,0
2021-02-25,63.36,63.7,62.57,63.25,42321,0,0
2021-02-26,63.26,63.43,61.24,61.41,53513,0,0
2021-03-01,61.75,62.8,59.88,60.0,35969,0,0
2021-03-02,60.17,61.1,59.26,59.26,46362,0,0
2021-03-03,59.43,61.86,59.16,60.85,41652,0,0
2021-03-04,60.97,64.71,60.42,63.78,65165,0,0
2021-03-05,63.93,66.26,63.66,66.21,54604,0,0
2021-03-08,66.62,67.83,64.47,64.48,54324,0,0
2021-03-09,64.66,65.89,63.63,63.68,46561,0,0
2021-03-10,63.82,64.89,63.1,64.53,45428,0,0
2021-03-11,64.63,66.16,64.49,65.76,34612,0,0
2021-03-12,65.93,66.2,65.39,65.49,30594,0,0
2021-03-15,65.62,66.42,64.2,65.2,36169,0,0
2021-03-16,65.2,65.46,63.86,64.89,32564,0,0
2021-03-17,64.88,65.39,63.63,64.33,33017,0,0
2021-03-18,64.43,64.85,58.3,59.46,54590,0,0
2021-03-19,59.61,61.76,58.99,61.32,65093,0,0
2021-03-22,61.57,62.0,60.32,61.16,43442,0,0
2021-03-23,61.24,61.31,57.22,57.28,57433,0,0
2021-03-24,57.38,61.31,57.29,60.72,52706,0,0
2021-03-25,60.79,60.83,57.43,58.22,56859,0,0
2021-03-26,58.41,61.33,58.31,60.73,41831,0,0
2021-03-29,60.82,61.74,59.4,61.47,55306,0,0
2021-03-30,61.82,62.22,59.94,60.27,44524,0,0
2021-03-31,60.43,61.15,58.85,59.33,42019,0,0
2021-04-01,59.44,61.73,58.9,61.16,57410,0,0
2021-04-05,61.37,61.39,57.65,58.68,33289,0,0
2021-04-06,58.81,60.87,58.62,59.12,39164,0,0
2021-04-07,59.3,60.04,58.14,59.46,37184,0,0
2021-04-08,59.55,59.91,58.83,59.67,33201,0,0
2021-04-09,59.78,59.92,59.11,59.34,23318,0,0
2021-04-12,59.33,60.77,58.75,59.65,41472,0,0
2021-04-13,59.69,60.61,59.67,60.37,27847,0,0
2021-04-14,60.48,63.49,60.42,62.69,28713,0,0
2021-04-15,62.9,63.61,62.6,63.26,25585,0,0
2021-04-16,63.37,63.92,62.87,63.08,26048,0,0
2021-04-19,63.05,63.67,62.66,63.4,24589,0,0
2021-04-20,63.49,64.35,61.47,62.27,33213,0,0
2021-04-21,62.39,62.53,60.84,60.94,36810,0,0
2021-04-22,61.1,61.83,60.59,61.51,30691,0,0
2021-04-23,61.61,62.37,61.21,61.98,25408,0,0
2021-04-26,62.09,62.25,60.62,61.81,31340,0,0
2021-04-27,61.9,63.22,61.86,63.0,25459,0,0
2021-04-28,62.99,64.44,62.6,63.47,26817,0,0
2021-04-29,63.63,65.39,63.57,64.68,28035,0,0
