time,open,high,low,close,volume
2015-09-30T20:00:00,120.159,121.502,118.055,120.645,0
2015-10-31T20:00:00,120.422,123.75,120.25,123.204,0
2015-11-30T19:00:00,123.194,123.661,119.996,120.13,0
2015-12-31T19:00:00,120.204,121.681,115.965,121.341,0
2016-01-31T19:00:00,121.375,121.431,110.976,112.404,0
2016-02-29T19:00:00,112.431,114.547,110.659,112.508,0
2016-03-31T20:00:00,112.513,112.517,106.271,106.29,0
2016-04-30T20:00:00,106.244,111.439,105.54,110.629,0
2016-05-31T20:00:00,110.651,110.824,98.959,103.083,0
2016-06-30T20:00:00,103.083,107.484,99.981,102.326,0
2016-07-31T20:00:00,102.33,103.524,99.532,103.308,0
2016-08-31T20:00:00,103.308,104.312,100.074,101.371,0
2016-09-30T20:00:00,101.23,105.524,101.2,104.819,0
2016-10-31T20:00:00,104.826,114.82,101.183,114.678,0
2016-11-30T19:00:00,114.693,118.656,112.862,117.033,0
2016-12-31T19:00:00,116.901,118.598,112.072,112.769,0
2017-01-31T19:00:00,112.765,114.949,111.586,113.088,0
2017-02-28T19:00:00,113.093,115.496,110.102,111.389,0
2017-03-31T20:00:00,111.371,111.77,108.123,111.302,0
2017-04-30T20:00:00,111.298,114.362,110.228,110.79,0
2017-05-31T20:00:00,110.807,112.918,108.808,112.399,0
2017-06-30T20:00:00,112.148,114.486,110.206,110.347,0
2017-07-31T20:00:00,110.363,111.042,108.258,110.123,0
2017-08-31T20:00:00,110.092,113.248,107.31,112.451,0
2017-09-30T20:00:00,112.511,114.443,111.644,113.645,0
2017-10-31T20:00:00,113.638,114.726,110.833,112.577,0
2017-11-30T19:00:00,112.562,113.742,111.397,112.669,0
2017-12-31T19:00:00,112.599,113.378,108.274,109.187,0
2018-01-31T19:00:00,109.183,110.473,105.541,106.628,0
2018-02-28T19:00:00,106.647,107.285,104.623,106.258,0
2018-03-31T20:00:00,106.195,109.528,105.648,109.306,0
2018-04-30T20:00:00,109.31,111.387,108.104,108.771,0
2018-05-31T20:00:00,108.765,110.942,108.724,110.681,0
2018-06-30T20:00:00,110.585,113.177,110.278,111.863,0
2018-07-31T20:00:00,111.772,112.151,109.773,111.098,0
2018-08-31T20:00:00,111.018,113.71,110.38,113.674,0
2018-09-30T20:00:00,113.712,114.549,111.376,112.924,0
2018-10-31T20:00:00,112.927,114.207,112.303,113.524,0
2018-11-30T19:00:00,113.618,113.821,109.527,109.553,0
2018-12-31T19:00:00,109.663,109.997,104.755,108.848,0
2019-01-31T19:00:00,108.845,111.493,108.724,111.374,0
2019-02-28T19:00:00,111.372,112.136,109.706,110.817,0
2019-03-31T20:00:00,111.001,112.399,110.81,111.411,0
2019-04-30T20:00:00,111.407,111.698,108.272,108.274,0
2019-05-31T20:00:00,108.277,108.8,106.778,107.838,0
2019-06-30T20:00:00,108.166,108.997,107.211,108.747,0
2019-07-31T20:00:00,108.747,109.318,104.444,106.271,0
2019-08-31T20:00:00,106.06,108.477,105.737,108.08,0
2019-09-30T20:00:00,108.079,109.285,106.483,108.03,0
2019-10-31T20:00:00,108.029,109.668,107.886,109.457,0
2019-11-30T19:00:00,109.514,109.727,108.427,108.643,0
2019-12-31T19:00:00,108.728,110.29,107.651,108.354,0
2020-01-31T19:00:00,108.391,112.227,107.509,108.061,0
2020-02-29T19:00:00,107.41,111.712,101.181,107.525,0
2020-03-31T20:00:00,107.525,109.381,106.358,107.145,0
2020-04-30T20:00:00,107.124,108.086,105.987,107.789,0
2020-05-31T20:00:00,107.676,109.849,106.072,107.921,0
2020-06-30T20:00:00,107.856,108.163,104.186,105.929,0
2020-07-31T20:00:00,105.77,107.049,105.101,105.9,0
2020-08-31T20:00:00,105.905,106.551,104.0,105.431,0
2020-09-30T20:00:00,105.432,106.107,104.023,104.667,0
2020-10-31T20:00:00,104.493,105.676,103.176,104.288,0
2020-11-30T19:00:00,104.289,104.752,102.873,103.281,0
2020-12-31T19:00:00,103.094,104.939,102.591,104.724,0
2021-01-31T19:00:00,104.767,106.691,104.408,106.547,0
2021-02-28T19:00:00,106.573,110.964,106.366,110.665,0
2021-03-31T20:00:00,110.667,110.845,107.476,109.329,0
2021-04-30T20:00:00,109.276,110.198,108.336,109.572,0
2021-05-31T20:00:00,109.552,111.12,109.186,111.103,0
2021-06-30T20:00:00,111.105,111.658,109.063,109.656,0
2021-07-31T20:00:00,109.607,110.8,108.721,109.991,0
2021-08-31T20:00:00,109.985,112.078,109.111,111.258,0
2021-09-30T20:00:00,111.262,114.698,110.82,113.965,0
2021-10-31T20:00:00,114.04,115.519,112.53,113.148,0
2021-11-30T19:00:00,113.136,115.214,112.557,115.095,0
2021-12-31T19:00:00,115.125,116.353,113.468,115.043,0
2022-01-31T19:00:00,115.038,116.337,114.144,114.972,0
2022-02-28T19:00:00,114.972,125.097,114.649,121.67,0
2022-03-31T20:00:00,121.627,131.253,121.625,129.866,0
