max_notional_multiple,n_surviving,event_frequency,win_rate,mean_ev_pct,median_ev_pct,profit_factor,payoff,cumulative_return_pct,max_drawdown_pct,worst_trade_pct,max_loss_streak,A_return_share,B_return_share
0.5,39,0.047215,0.03632,0.021853,0.0,3.40716,1.022148,18.050837,-4.784459,-1.482553,126,0.118852,0.881148
1.0,178,0.215496,0.163438,0.109777,0.0,4.220683,1.344366,90.676192,-4.630966,-2.368002,50,0.115436,0.884564
2.0,417,0.504843,0.336562,0.20418,0.0,2.73067,1.365335,168.652347,-7.493417,-2.368002,18,0.204818,0.795182
4.0,655,0.792978,0.498789,0.279618,0.0,2.286067,1.348336,230.964742,-7.569116,-2.957098,12,0.411498,0.588502
8.0,786,0.951574,0.596852,0.330513,0.303314,2.181916,1.296757,273.004083,-9.124642,-3.313025,10,0.500862,0.499138
16.0,817,0.989104,0.618644,0.340948,0.35674,2.131029,1.276115,281.623087,-9.471245,-3.655384,10,0.509675,0.490325
32.0,825,0.998789,0.625908,0.359446,0.374292,2.175083,1.295794,296.902369,-7.95016,-3.655384,10,0.531697,0.468303
64.0,826,1.0,0.625908,0.358564,0.374292,2.168831,1.296264,296.174037,-7.95016,-3.655384,10,0.530545,0.469455
