max_notional_multiple,split_group,original_n,surviving_n,blocked_n,coverage_pct,year,quarter
0.5,OOS,263,7,256,2.6616,,
0.5,development,563,32,531,5.6838,,
1.0,OOS,263,33,230,12.5475,,
1.0,development,563,145,418,25.7549,,
2.0,OOS,263,101,162,38.403,,
2.0,development,563,316,247,56.1279,,
4.0,OOS,263,200,63,76.0456,,
4.0,development,563,455,108,80.8171,,
8.0,OOS,263,249,14,94.6768,,
8.0,development,563,537,26,95.3819,,
16.0,OOS,263,259,4,98.4791,,
16.0,development,563,558,5,99.1119,,
32.0,OOS,263,263,0,100.0,,
32.0,development,563,562,1,99.8224,,
64.0,OOS,263,263,0,100.0,,
64.0,development,563,563,0,100.0,,
0.5,,142,3,139,2.1127,2023.0,
0.5,,288,23,265,7.9861,2024.0,
0.5,,285,8,277,2.807,2025.0,
0.5,,111,5,106,4.5045,2026.0,
1.0,,142,29,113,20.4225,2023.0,
1.0,,288,80,208,27.7778,2024.0,
1.0,,285,51,234,17.8947,2025.0,
1.0,,111,18,93,16.2162,2026.0,
2.0,,142,71,71,50.0,2023.0,
2.0,,288,161,127,55.9028,2024.0,
2.0,,285,136,149,47.7193,2025.0,
2.0,,111,49,62,44.1441,2026.0,
4.0,,142,109,33,76.7606,2023.0,
4.0,,288,232,56,80.5556,2024.0,
4.0,,285,230,55,80.7018,2025.0,
4.0,,111,84,27,75.6757,2026.0,
8.0,,142,133,9,93.662,2023.0,
8.0,,288,273,15,94.7917,2024.0,
8.0,,285,276,9,96.8421,2025.0,
8.0,,111,104,7,93.6937,2026.0,
16.0,,142,140,2,98.5915,2023.0,
16.0,,288,286,2,99.3056,2024.0,
16.0,,285,282,3,98.9474,2025.0,
16.0,,111,109,2,98.1982,2026.0,
32.0,,142,141,1,99.2958,2023.0,
32.0,,288,288,0,100.0,2024.0,
32.0,,285,285,0,100.0,2025.0,
32.0,,111,111,0,100.0,2026.0,
64.0,,142,142,0,100.0,2023.0,
64.0,,288,288,0,100.0,2024.0,
64.0,,285,285,0,100.0,2025.0,
64.0,,111,111,0,100.0,2026.0,
0.5,,72,1,71,1.3889,,2023Q3
0.5,,70,2,68,2.8571,,2023Q4
0.5,,73,2,71,2.7397,,2024Q1
0.5,,69,4,65,5.7971,,2024Q2
0.5,,77,12,65,15.5844,,2024Q3
0.5,,69,5,64,7.2464,,2024Q4
0.5,,65,3,62,4.6154,,2025Q1
0.5,,68,3,65,4.4118,,2025Q2
0.5,,72,1,71,1.3889,,2025Q3
0.5,,80,1,79,1.25,,2025Q4
0.5,,74,1,73,1.3514,,2026Q1
0.5,,37,4,33,10.8108,,2026Q2
1.0,,72,15,57,20.8333,,2023Q3
1.0,,70,14,56,20.0,,2023Q4
1.0,,73,11,62,15.0685,,2024Q1
1.0,,69,12,57,17.3913,,2024Q2
1.0,,77,37,40,48.0519,,2024Q3
1.0,,69,20,49,28.9855,,2024Q4
1.0,,65,19,46,29.2308,,2025Q1
1.0,,68,17,51,25.0,,2025Q2
1.0,,72,10,62,13.8889,,2025Q3
1.0,,80,5,75,6.25,,2025Q4
1.0,,74,11,63,14.8649,,2026Q1
1.0,,37,7,30,18.9189,,2026Q2
2.0,,72,43,29,59.7222,,2023Q3
2.0,,70,28,42,40.0,,2023Q4
2.0,,73,31,42,42.4658,,2024Q1
2.0,,69,30,39,43.4783,,2024Q2
2.0,,77,60,17,77.9221,,2024Q3
2.0,,69,40,29,57.971,,2024Q4
2.0,,65,40,25,61.5385,,2025Q1
2.0,,68,44,24,64.7059,,2025Q2
2.0,,72,30,42,41.6667,,2025Q3
2.0,,80,22,58,27.5,,2025Q4
2.0,,74,39,35,52.7027,,2026Q1
2.0,,37,10,27,27.027,,2026Q2
4.0,,72,63,9,87.5,,2023Q3
4.0,,70,46,24,65.7143,,2023Q4
4.0,,73,54,19,73.9726,,2024Q1
4.0,,69,46,23,66.6667,,2024Q2
4.0,,77,72,5,93.5065,,2024Q3
4.0,,69,60,9,86.9565,,2024Q4
4.0,,65,52,13,80.0,,2025Q1
4.0,,68,62,6,91.1765,,2025Q2
4.0,,72,60,12,83.3333,,2025Q3
4.0,,80,56,24,70.0,,2025Q4
4.0,,74,63,11,85.1351,,2026Q1
4.0,,37,21,16,56.7568,,2026Q2
8.0,,72,71,1,98.6111,,2023Q3
8.0,,70,62,8,88.5714,,2023Q4
8.0,,73,70,3,95.8904,,2024Q1
8.0,,69,59,10,85.5072,,2024Q2
8.0,,77,77,0,100.0,,2024Q3
8.0,,69,67,2,97.1014,,2024Q4
8.0,,65,64,1,98.4615,,2025Q1
8.0,,68,67,1,98.5294,,2025Q2
8.0,,72,70,2,97.2222,,2025Q3
8.0,,80,75,5,93.75,,2025Q4
8.0,,74,71,3,95.9459,,2026Q1
8.0,,37,33,4,89.1892,,2026Q2
16.0,,72,72,0,100.0,,2023Q3
16.0,,70,68,2,97.1429,,2023Q4
16.0,,73,73,0,100.0,,2024Q1
16.0,,69,67,2,97.1014,,2024Q2
16.0,,77,77,0,100.0,,2024Q3
16.0,,69,69,0,100.0,,2024Q4
16.0,,65,64,1,98.4615,,2025Q1
16.0,,68,68,0,100.0,,2025Q2
16.0,,72,71,1,98.6111,,2025Q3
16.0,,80,79,1,98.75,,2025Q4
16.0,,74,73,1,98.6486,,2026Q1
16.0,,37,36,1,97.2973,,2026Q2
32.0,,72,72,0,100.0,,2023Q3
32.0,,70,69,1,98.5714,,2023Q4
32.0,,73,73,0,100.0,,2024Q1
32.0,,69,69,0,100.0,,2024Q2
32.0,,77,77,0,100.0,,2024Q3
32.0,,69,69,0,100.0,,2024Q4
32.0,,65,65,0,100.0,,2025Q1
32.0,,68,68,0,100.0,,2025Q2
32.0,,72,72,0,100.0,,2025Q3
32.0,,80,80,0,100.0,,2025Q4
32.0,,74,74,0,100.0,,2026Q1
32.0,,37,37,0,100.0,,2026Q2
64.0,,72,72,0,100.0,,2023Q3
64.0,,70,70,0,100.0,,2023Q4
64.0,,73,73,0,100.0,,2024Q1
64.0,,69,69,0,100.0,,2024Q2
64.0,,77,77,0,100.0,,2024Q3
64.0,,69,69,0,100.0,,2024Q4
64.0,,65,65,0,100.0,,2025Q1
64.0,,68,68,0,100.0,,2025Q2
64.0,,72,72,0,100.0,,2025Q3
64.0,,80,80,0,100.0,,2025Q4
64.0,,74,74,0,100.0,,2026Q1
64.0,,37,37,0,100.0,,2026Q2
