max_notional_multiple,quantile_bin,original_n,surviving_n,blocked_n,coverage_pct
0.5,0-25%,207,39,168,18.8406
0.5,25-50%,206,0,206,0.0
0.5,50-75%,207,0,207,0.0
0.5,75-95%,165,0,165,0.0
0.5,95-99%,33,0,33,0.0
0.5,99-100%,8,0,8,0.0
1.0,0-25%,207,178,29,85.9903
1.0,25-50%,206,0,206,0.0
1.0,50-75%,207,0,207,0.0
1.0,75-95%,165,0,165,0.0
1.0,95-99%,33,0,33,0.0
1.0,99-100%,8,0,8,0.0
2.0,0-25%,207,207,0,100.0
2.0,25-50%,206,206,0,100.0
2.0,50-75%,207,4,203,1.9324
2.0,75-95%,165,0,165,0.0
2.0,95-99%,33,0,33,0.0
2.0,99-100%,8,0,8,0.0
4.0,0-25%,207,207,0,100.0
4.0,25-50%,206,206,0,100.0
4.0,50-75%,207,207,0,100.0
4.0,75-95%,165,35,130,21.2121
4.0,95-99%,33,0,33,0.0
4.0,99-100%,8,0,8,0.0
8.0,0-25%,207,207,0,100.0
8.0,25-50%,206,206,0,100.0
8.0,50-75%,207,207,0,100.0
8.0,75-95%,165,165,0,100.0
8.0,95-99%,33,1,32,3.0303
8.0,99-100%,8,0,8,0.0
16.0,0-25%,207,207,0,100.0
16.0,25-50%,206,206,0,100.0
16.0,50-75%,207,207,0,100.0
16.0,75-95%,165,165,0,100.0
16.0,95-99%,33,32,1,96.9697
16.0,99-100%,8,0,8,0.0
32.0,0-25%,207,207,0,100.0
32.0,25-50%,206,206,0,100.0
32.0,50-75%,207,207,0,100.0
32.0,75-95%,165,165,0,100.0
32.0,95-99%,33,33,0,100.0
32.0,99-100%,8,7,1,87.5
64.0,0-25%,207,207,0,100.0
64.0,25-50%,206,206,0,100.0
64.0,50-75%,207,207,0,100.0
64.0,75-95%,165,165,0,100.0
64.0,95-99%,33,33,0,100.0
64.0,99-100%,8,8,0,100.0
