max_notional_multiple,n_targets,n_surviving,n_blocked,survival_pct,blocked_pct
0.5,826,39,787,4.7215,95.2785
1.0,826,178,648,21.5496,78.4504
2.0,826,417,409,50.4843,49.5157
4.0,826,655,171,79.2978,20.7022
8.0,826,786,40,95.1574,4.8426
16.0,826,817,9,98.9104,1.0896
32.0,826,825,1,99.8789,0.1211
64.0,826,826,0,100.0,0.0
