scenario_id,event_id,translation_id,family,pos_t,target_notional_multiple,max_notional_multiple,truth_class,primary_state,survives,known_time,split,dev_or_oos,year,quarter,session,severity,episode_cluster_id
NS-f87e26206fe323b5d0b1b487c99d1ab3bb20e01c7b4cd7ae17dde48d7f4571c0,EUR_ORIGIN_202307101100,TR-ee16a46a01d716091c3ec56e631bc22f,A,0.442757,1.265284653874,0.5,HYPOTHETICAL_DIAGNOSTIC,NOTIONAL_LIMIT_BLOCKED,False,2023-07-10T13:00:00+00:00,inner_sel,development,2023,2023Q3,London,LOW,0
NS-62219355946ff2bca4d2ae3826eddc0861d87a4399fb5847d6cbeb3523fee77e,EUR_ORIGIN_202307101100,TR-ee16a46a01d716091c3ec56e631bc22f,A,0.442757,1.265284653874,1.0,HYPOTHETICAL_DIAGNOSTIC,NOTIONAL_LIMIT_BLOCKED,False,2023-07-10T13:00:00+00:00,inner_sel,development,2023,2023Q3,London,LOW,0
NS-c07525a9bc97f00d32d3d25fa89a303856b9916fb36ddbd78bead4521d14b076,EUR_ORIGIN_202307101100,TR-ee16a46a01d716091c3ec56e631bc22f,A,0.442757,1.265284653874,2.0,HYPOTHETICAL_DIAGNOSTIC,EXACTLY_REPRESENTABLE_NOTIONAL_ONLY,True,2023-07-10T13:00:00+00:00,inner_sel,development,2023,2023Q3,London,LOW,0
NS-449bb3041ff144c74c9b2576c408618f8b39d70c9c95107fcd39aab0a0748b9a,EUR_ORIGIN_202307101100,TR-ee16a46a01d716091c3ec56e631bc22f,A,0.442757,1.265284653874,4.0,HYPOTHETICAL_DIAGNOSTIC,EXACTLY_REPRESENTABLE_NOTIONAL_ONLY,True,2023-07-10T13:00:00+00:00,inner_sel,development,2023,2023Q3,London,LOW,0
NS-e76061f93a4f009797960bdee4cf3d51e8d17d6717cf161cf2127ff14bfaa423,EUR_ORIGIN_202307101100,TR-ee16a46a01d716091c3ec56e631bc22f,A,0.442757,1.265284653874,8.0,HYPOTHETICAL_DIAGNOSTIC,EXACTLY_REPRESENTABLE_NOTIONAL_ONLY,True,2023-07-10T13:00:00+00:00,inner_sel,development,2023,2023Q3,London,LOW,0
NS-36299602f70186f8481b6b0f57972dd614128d17c53c9c8ea1c087e82e9e7ed6,EUR_ORIGIN_202307101100,TR-ee16a46a01d716091c3ec56e631bc22f,A,0.442757,1.265284653874,16.0,HYPOTHETICAL_DIAGNOSTIC,EXACTLY_REPRESENTABLE_NOTIONAL_ONLY,True,2023-07-10T13:00:00+00:00,inner_sel,development,2023,2023Q3,London,LOW,0
NS-0e2d4bc37fb6a7c4ff088df7542aaa6d621eac40c5448d9095cafbfa04301f7b,EUR_ORIGIN_202307101100,TR-ee16a46a01d716091c3ec56e631bc22f,A,0.442757,1.265284653874,32.0,HYPOTHETICAL_DIAGNOSTIC,EXACTLY_REPRESENTABLE_NOTIONAL_ONLY,True,2023-07-10T13:00:00+00:00,inner_sel,development,2023,2023Q3,London,LOW,0
NS-0802d0cff16d8c260419d1650d24b4aab6e52e09488d3ac8099bcc8f830c2e3f,EUR_ORIGIN_202307101100,TR-ee16a46a01d716091c3ec56e631bc22f,A,0.442757,1.265284653874,64.0,HYPOTHETICAL_DIAGNOSTIC,EXACTLY_REPRESENTABLE_NOTIONAL_ONLY,True,2023-07-10T13:00:00+00:00,inner_sel,development,2023,2023Q3,London,LOW,0
NS-7fb8f4d81ecf04c70e968dd37f6e6f6bae7f55e19fd70aba1d06ead52c9f0496,EUR_ORIGIN_202307111000,TR-eff94f13e3746d92ab5a8d009f9dbc8b,B,0.74633,0.914063433503,0.5,HYPOTHETICAL_DIAGNOSTIC,NOTIONAL_LIMIT_BLOCKED,False,2023-07-11T11:00:00+00:00,inner_sel,development,2023,2023Q3,London,MEDIUM,1
NS-25ed7c2bdc5142bd08bc9f72e4fef2cc99f1ae17a71ee547b3f72b9cde64fb12,EUR_ORIGIN_202307111000,TR-eff94f13e3746d92ab5a8d009f9dbc8b,B,0.74633,0.914063433503,1.0,HYPOTHETICAL_DIAGNOSTIC,EXACTLY_REPRESENTABLE_NOTIONAL_ONLY,True,2023-07-11T11:00:00+00:00,inner_sel,development,2023,2023Q3,London,MEDIUM,1
NS-a1b15ac1bc4612a90e86dbae174aa606aad3f91726432b4f27f370351d66f9ed,EUR_ORIGIN_202307111000,TR-eff94f13e3746d92ab5a8d009f9dbc8b,B,0.74633,0.914063433503,2.0,HYPOTHETICAL_DIAGNOSTIC,EXACTLY_REPRESENTABLE_NOTIONAL_ONLY,True,2023-07-11T11:00:00+00:00,inner_sel,development,2023,2023Q3,London,MEDIUM,1
NS-63a16da05e13fe9ba26f5892d8932c3baafff6559885897418c284c0a54fcaec,EUR_ORIGIN_202307111000,TR-eff94f13e3746d92ab5a8d009f9dbc8b,B,0.74633,0.914063433503,4.0,HYPOTHETICAL_DIAGNOSTIC,EXACTLY_REPRESENTABLE_NOTIONAL_ONLY,True,2023-07-11T11:00:00+00:00,inner_sel,development,2023,2023Q3,London,MEDIUM,1
NS-100118a201d5282fdb004da6e52995d9d3c7fe8ab451d7dfe30fdc6a9b81b862,EUR_ORIGIN_202307111000,TR-eff94f13e3746d92ab5a8d009f9dbc8b,B,0.74633,0.914063433503,8.0,HYPOTHETICAL_DIAGNOSTIC,EXACTLY_REPRESENTABLE_NOTIONAL_ONLY,True,2023-07-11T11:00:00+00:00,inner_sel,development,2023,2023Q3,London,MEDIUM,1
NS-5c3f19e3daffd62b2930708fa0c13b4579a8b2d47088b4ce6516aea80ae5e870,EUR_ORIGIN_202307111000,TR-eff94f13e3746d92ab5a8d009f9dbc8b,B,0.74633,0.914063433503,16.0,HYPOTHETICAL_DIAGNOSTIC,EXACTLY_REPRESENTABLE_NOTIONAL_ONLY,True,2023-07-11T11:00:00+00:00,inner_sel,development,2023,2023Q3,London,MEDIUM,1
