max_notional_multiple,session,original_n,surviving_n,blocked_n,coverage_pct,severity
0.5,Asia,258,19,239,7.3643,
0.5,London,298,8,290,2.6846,
0.5,NY_Late,114,6,108,5.2632,
0.5,NY_Overlap,156,6,150,3.8462,
1.0,Asia,258,63,195,24.4186,
1.0,London,298,63,235,21.1409,
1.0,NY_Late,114,26,88,22.807,
1.0,NY_Overlap,156,26,130,16.6667,
2.0,Asia,258,124,134,48.062,
2.0,London,298,162,136,54.3624,
2.0,NY_Late,114,51,63,44.7368,
2.0,NY_Overlap,156,80,76,51.2821,
4.0,Asia,258,201,57,77.907,
4.0,London,298,248,50,83.2215,
4.0,NY_Late,114,87,27,76.3158,
4.0,NY_Overlap,156,119,37,76.2821,
8.0,Asia,258,247,11,95.7364,
8.0,London,298,288,10,96.6443,
8.0,NY_Late,114,108,6,94.7368,
8.0,NY_Overlap,156,143,13,91.6667,
16.0,Asia,258,255,3,98.8372,
16.0,London,298,295,3,98.9933,
16.0,NY_Late,114,114,0,100.0,
16.0,NY_Overlap,156,153,3,98.0769,
32.0,Asia,258,258,0,100.0,
32.0,London,298,297,1,99.6644,
32.0,NY_Late,114,114,0,100.0,
32.0,NY_Overlap,156,156,0,100.0,
64.0,Asia,258,258,0,100.0,
64.0,London,298,298,0,100.0,
64.0,NY_Late,114,114,0,100.0,
64.0,NY_Overlap,156,156,0,100.0,
0.5,,691,29,662,4.1968,LOW
0.5,,135,10,125,7.4074,MEDIUM
1.0,,691,137,554,19.8263,LOW
1.0,,135,41,94,30.3704,MEDIUM
2.0,,691,331,360,47.9016,LOW
2.0,,135,86,49,63.7037,MEDIUM
4.0,,691,540,151,78.1476,LOW
4.0,,135,115,20,85.1852,MEDIUM
8.0,,691,657,34,95.0796,LOW
8.0,,135,129,6,95.5556,MEDIUM
16.0,,691,682,9,98.6975,LOW
16.0,,135,135,0,100.0,MEDIUM
32.0,,691,690,1,99.8553,LOW
32.0,,135,135,0,100.0,MEDIUM
64.0,,691,691,0,100.0,LOW
64.0,,135,135,0,100.0,MEDIUM
