timestamp,est_hour,london,minutes_to_exit
2022-09-13 00:00:00,19,False,-420
2022-09-16 17:25:00,12,False,0
2022-09-22 14:55:00,9,True,180
2022-09-28 12:25:00,7,True,300
2022-10-04 09:45:00,4,True,480
2022-10-10 07:15:00,2,False,600
2022-10-13 18:20:00,13,False,-60
2022-10-19 09:30:00,4,True,480
2022-10-25 00:40:00,19,False,-420
2022-10-28 11:45:00,6,True,360
2022-11-03 03:00:00,22,False,-600
2022-11-08 18:15:00,13,False,-60
2022-11-14 10:25:00,5,True,420
2022-11-17 21:30:00,16,False,-240
2022-11-23 13:40:00,8,True,240
2022-11-29 05:50:00,0,False,720
2022-12-02 16:55:00,11,True,60
2022-12-08 09:05:00,4,True,480
2022-12-14 01:30:00,20,False,-480
2022-12-19 17:40:00,12,False,0
2022-12-23 04:55:00,23,False,-660
2022-12-29 18:10:00,13,False,-60
2023-01-04 13:05:00,8,True,240
2023-01-10 05:15:00,0,False,720
2023-01-13 16:20:00,11,True,60
2023-01-19 08:30:00,3,True,540
2023-01-25 00:40:00,19,False,-420
2023-01-30 16:50:00,11,True,60
2023-02-03 03:55:00,22,False,-600
2023-02-08 20:10:00,15,False,-180
2023-02-14 12:20:00,7,True,300
2023-02-20 04:30:00,23,False,-660
2023-02-23 15:35:00,10,True,120
2023-03-01 07:45:00,2,False,600
2023-03-06 23:55:00,18,False,-360
2023-03-10 11:00:00,6,True,360
2023-03-16 03:10:00,22,False,-600
2023-03-21 18:20:00,13,False,-60
2023-03-27 09:30:00,4,True,480
2023-03-30 20:35:00,15,False,-180
2023-04-05 11:45:00,6,True,360
2023-04-11 03:10:00,22,False,-600
2023-04-14 14:15:00,9,True,180
2023-04-20 05:25:00,0,False,720
2023-04-25 20:35:00,15,False,-180
2023-05-01 11:50:00,6,True,360
2023-05-04 22:55:00,17,False,-300
2023-05-10 14:05:00,9,True,180
2023-05-16 05:20:00,0,False,720
2023-05-19 16:25:00,11,True,60
2023-05-25 07:40:00,2,False,600
2023-05-30 22:50:00,17,False,-300
2023-06-05 15:30:00,10,True,120
2023-06-09 02:40:00,21,False,-540
2023-06-14 18:00:00,13,False,-60
2023-06-20 09:10:00,4,True,480
2023-06-26 00:25:00,19,False,-420
2023-06-29 11:30:00,6,True,360
2023-07-05 02:40:00,21,False,-540
2023-07-10 17:50:00,12,False,0
2023-07-14 04:55:00,23,False,-660
2023-07-19 20:05:00,15,False,-180
2023-07-25 11:15:00,6,True,360
2023-07-31 02:35:00,21,False,-540
2023-08-03 13:45:00,8,True,240
2023-08-09 05:05:00,0,False,720
2023-08-14 20:15:00,15,False,-180
2023-08-18 07:30:00,2,False,600
2023-08-23 22:45:00,17,False,-300
2023-08-29 13:55:00,8,True,240
2023-09-04 05:10:00,0,False,720
2023-09-07 16:15:00,11,True,60
2023-09-13 07:25:00,2,False,600
2023-09-18 22:45:00,17,False,-300
2023-09-22 09:50:00,4,True,480
2023-09-28 01:00:00,20,False,-480
2023-10-03 16:30:00,11,True,60
2023-10-09 07:40:00,2,False,600
2023-10-12 18:45:00,13,False,-60
2023-10-18 09:55:00,4,True,480
2023-10-24 01:10:00,20,False,-480
2023-10-27 12:15:00,7,True,300
2023-11-02 03:25:00,22,False,-600
2023-11-07 18:35:00,13,False,-60
2023-11-13 10:45:00,5,True,420
2023-11-16 21:50:00,16,False,-240
2023-11-22 14:00:00,9,True,180
2023-11-28 06:10:00,1,False,660
2023-12-01 17:15:00,12,False,0
2023-12-07 09:25:00,4,True,480
2023-12-13 01:35:00,20,False,-480
2023-12-18 17:45:00,12,False,0
2023-12-22 04:50:00,23,False,-660
2023-12-28 15:40:00,10,True,120
2024-01-04 03:50:00,22,False,-600
2024-01-09 20:00:00,15,False,-180
2024-01-15 12:10:00,7,True,300
2024-01-18 23:15:00,18,False,-360
2024-01-24 15:25:00,10,True,120
2024-01-30 07:35:00,2,False,600
2024-02-02 18:40:00,13,False,-60
2024-02-08 10:50:00,5,True,420
2024-02-14 03:00:00,22,False,-600
2024-02-19 19:10:00,14,False,-120
