index,canonical,live,diff
201626,-0.2405336692046059,-0.2405336692046059,0.0
201627,-0.11427797264986292,-0.11427797264986292,0.0
201628,0.05647989200220425,0.05647989200220425,0.0
201629,0.11505503909043831,0.11505503909043831,0.0
201630,-0.41896342768919953,-0.41896342768919953,0.0
201631,-0.32710574942181353,-0.32710574942181353,0.0
201632,-0.3897639137931037,-0.3897639137931037,0.0
201633,-0.44691679457074124,-0.44691679457074124,0.0
201634,0.026598571504165103,0.026598571504165103,0.0
201635,0.010151250304777794,0.010151250304777794,0.0
201636,0.5465106269085425,0.5465106269085425,0.0
201637,0.4260017139282226,0.4260017139282226,0.0
201638,0.5703971255178213,0.5703971255178213,0.0
201639,0.8859666908082944,0.8859666908082944,0.0
201640,1.0016646580146593,1.0016646580146593,0.0
201641,1.0985899341748218,1.0985899341748218,0.0
201642,3.213992603036951,3.213992603036951,0.0
201643,1.7140304597520322,1.7140304597520322,0.0
201644,1.527661127894477,1.527661127894477,0.0
201645,2.5017458194151474,2.5017458194151474,0.0
201646,1.3211565378719647,1.3211565378719647,0.0
201647,0.6987194881891821,0.6987194881891821,0.0
201648,0.43498907460355807,0.43498907460355807,0.0
201649,0.3125850609309248,0.3125850609309248,0.0
201650,0.3010230660428416,0.3010230660428416,0.0
201651,0.7512632963016633,0.7512632963016633,0.0
201652,0.49372950811400396,0.49372950811400396,0.0
201653,1.7498050040033184,1.7498050040033184,0.0
201654,0.1386092570238414,0.1386092570238414,0.0
201655,0.19114402795930693,0.19114402795930693,0.0
201656,0.3021191075056205,0.3021191075056205,0.0
201657,0.7821594262971252,0.7821594262971252,0.0
201658,0.7282289456361118,0.7282289456361118,0.0
201659,0.5433681009553288,0.5433681009553288,0.0
201660,0.4794401671239882,0.4794401671239882,0.0
201661,0.571171757137639,0.571171757137639,0.0
201662,0.4439568298252336,0.4439568298252336,0.0
201663,0.21984777078428197,0.21984777078428197,0.0
201664,0.3234503849446699,0.3234503849446699,0.0
201665,0.1333557790203148,0.1333557790203148,0.0
201666,-0.031417643682327724,-0.031417643682327724,0.0
201667,0.06671209811145483,0.06671209811145483,0.0
201668,0.43790815618245715,0.43790815618245715,0.0
201669,0.3340334868993408,0.3340334868993408,0.0
201670,0.10234108840384798,0.10234108840384798,0.0
201671,0.049938044129499426,0.049938044129499426,0.0
201672,0.14231018603546533,0.14231018603546533,0.0
201673,0.3348056534961318,0.3348056534961318,0.0
201674,0.325358139015645,0.325358139015645,0.0
201675,0.22147179988627647,0.22147179988627647,0.0
201676,-0.11187869984914324,-0.11187869984914324,0.0
201677,0.006668063296426965,0.006668063296426965,0.0
201678,0.502105046461658,0.502105046461658,0.0
201679,0.2592300623465359,0.2592300623465359,0.0
201680,0.1741734293942871,0.1741734293942871,0.0
201681,0.1009467536969072,0.1009467536969072,0.0
201682,-0.3160577397022697,-0.3160577397022697,0.0
201683,-0.36911368456578797,-0.36911368456578797,0.0
201684,3.8288835994632096,3.8288835994632096,0.0
201685,4.9552921718800755,4.9552921718800755,0.0
201686,4.548051251907096,4.548051251907096,0.0
201687,4.051210723192736,4.051210723192736,0.0
201688,3.782043111941007,3.782043111941007,0.0
201689,4.063644482136533,4.063644482136533,0.0
201690,4.095599038706444,4.095599038706444,0.0
201691,4.127637487623741,4.127637487623741,0.0
201692,3.797420929705714,3.797420929705714,0.0
201693,3.095668142733729,3.095668142733729,0.0
201694,2.758094612929532,2.758094612929532,0.0
201695,3.998810010127259,3.998810010127259,0.0
201696,3.642413495837932,3.642413495837932,0.0
201697,2.7836522214861787,2.7836522214861787,0.0
201698,2.364390275111807,2.364390275111807,0.0
201699,2.951996855076638,2.951996855076638,0.0
201700,3.108646786828855,3.108646786828855,0.0
201701,3.0542477637003933,3.0542477637003933,0.0
201702,3.050519021734139,3.050519021734139,0.0
201703,2.8092545326420386,2.8092545326420386,0.0
201704,2.5995364107629984,2.5995364107629984,0.0
201705,2.3167139290839045,2.3167139290839045,0.0
201706,2.5217747431590616,2.5217747431590616,0.0
201707,3.141092990194482,3.141092990194482,0.0
201708,2.9586526722023767,2.9586526722023767,0.0
201709,2.56373018730416,2.56373018730416,0.0
201710,2.535938289504651,2.535938289504651,0.0
201711,2.380367397168275,2.380367397168275,0.0
201712,2.30410391271639,2.30410391271639,0.0
201713,2.134525218525281,2.134525218525281,0.0
201714,2.243915068660938,2.243915068660938,0.0
201715,2.0537908524825377,2.0537908524825377,0.0
201716,1.8843863736109177,1.8843863736109177,0.0
201717,1.8078140689997377,1.8078140689997377,0.0
201718,1.6684714035366175,1.6684714035366175,0.0
201719,1.6358178491473405,1.6358178491473405,0.0
201720,1.806762438902873,1.806762438902873,0.0
201721,1.5636714807488996,1.5636714807488996,0.0
201722,1.5629304119953908,1.5629304119953908,0.0
201723,1.4147608138406311,1.4147608138406311,0.0
201724,1.5535089320795816,1.5535089320795816,0.0
201725,1.4311582450843934,1.4311582450843934,0.0
201726,1.5301557955598497,1.5301557955598497,0.0
201727,1.5757919368921158,1.5757919368921158,0.0
201728,1.5930756299191675,1.5930756299191675,0.0
201729,1.664824437838856,1.664824437838856,0.0
201730,1.6920551402574606,1.6920551402574606,0.0
201731,1.892344312400488,1.892344312400488,0.0
201732,-0.0866651261750929,-0.0866651261750929,0.0
201733,-0.5291985606714373,-0.5291985606714373,0.0
201734,-0.3368237081685634,-0.3368237081685634,0.0
201735,-0.3513498263611869,-0.3513498263611869,0.0
201736,-0.5036603176037213,-0.5036603176037213,0.0
201737,-0.6006339883566741,-0.6006339883566741,0.0
201738,-0.6986974508517947,-0.6986974508517947,0.0
201739,-0.7852359399867002,-0.7852359399867002,0.0
201740,-0.6534232060129498,-0.6534232060129498,0.0
201741,-0.45881567759201214,-0.45881567759201214,0.0
201742,-0.2620818337295082,-0.2620818337295082,0.0
201743,-0.9204800112769367,-0.9204800112769367,0.0
201744,-0.7334338203597714,-0.7334338203597714,0.0
201745,0.007822187048772689,0.007822187048772689,0.0
201746,0.3403228797465461,0.3403228797465461,0.0
201747,-0.12653980449131644,-0.12653980449131644,0.0
201748,-0.13341633428209132,-0.13341633428209132,0.0
201749,-0.15069796833075744,-0.15069796833075744,0.0
201750,-0.18571532259656,-0.18571532259656,0.0
201751,0.07941075898606562,0.07941075898606562,0.0
201752,0.32572670036475904,0.32572670036475904,0.0
