dataset_id,gate_id,result,records_tested,metric_value,evidence
bn_btcusdt_spot_5m,Q1,PASS,420464,"{'duplicate_count': 0, 'sample_indices': []}",0 duplicate records found out of 420464
bn_btcusdt_spot_5m,Q2,PASS,420464,{'non_monotonic_count': 0},0 non-monotonic timestamp transitions
bn_btcusdt_spot_5m,Q3,PASS,420464,{'invalid_price_count': 0},0 records with invalid/nonpositive price
bn_btcusdt_spot_5m,Q4,PASS,420464,"{'negative_count': 0, 'zero_volume_count': 14}",0 negative-volume records; 14 zero-volume bars classified VALID_ZERO_ACTIVITY
bn_btcusdt_spot_5m,Q5,PASS,420464,"{'gap_count': 1, 'sample_gaps': [{'from': '2023-03-24T12:35:00+00:00', 'to': '2023-03-24T14:00:00+00:00', 'gap_seconds': 5100}]}",1 interval gaps detected (expected every 300s) | classified PASS_WITH_DOCUMENTED_SOURCE_GAP (2023-03-24 Binance source outage)
bn_ethusdt_spot_5m,Q1,PASS,420464,"{'duplicate_count': 0, 'sample_indices': []}",0 duplicate records found out of 420464
bn_ethusdt_spot_5m,Q2,PASS,420464,{'non_monotonic_count': 0},0 non-monotonic timestamp transitions
bn_ethusdt_spot_5m,Q3,PASS,420464,{'invalid_price_count': 0},0 records with invalid/nonpositive price
bn_ethusdt_spot_5m,Q4,PASS,420464,"{'negative_count': 0, 'zero_volume_count': 14}",0 negative-volume records; 14 zero-volume bars classified VALID_ZERO_ACTIVITY
bn_ethusdt_spot_5m,Q5,PASS,420464,"{'gap_count': 1, 'sample_gaps': [{'from': '2023-03-24T12:35:00+00:00', 'to': '2023-03-24T14:00:00+00:00', 'gap_seconds': 5100}]}",1 interval gaps detected (expected every 300s) | classified PASS_WITH_DOCUMENTED_SOURCE_GAP (2023-03-24 Binance source outage)
hl_btc_perp_state_5m,Q1,PASS,5041,"{'duplicate_count': 0, 'sample_indices': []}",0 duplicate records found out of 5041
hl_btc_perp_state_5m,Q2,PASS,5041,{'non_monotonic_count': 0},0 non-monotonic timestamp transitions
hl_btc_perp_state_5m,Q3,PASS,5041,{'invalid_price_count': 0},0 records with invalid/nonpositive price
hl_eth_perp_state_5m,Q1,PASS,5040,"{'duplicate_count': 0, 'sample_indices': []}",0 duplicate records found out of 5040
hl_eth_perp_state_5m,Q2,PASS,5040,{'non_monotonic_count': 0},0 non-monotonic timestamp transitions
hl_eth_perp_state_5m,Q3,PASS,5040,{'invalid_price_count': 0},0 records with invalid/nonpositive price
hl_btc_funding_hourly,Q1,PASS,28175,"{'duplicate_count': 0, 'sample_indices': []}",0 duplicate records found out of 28175
hl_btc_funding_hourly,Q2,PASS,28175,{'non_monotonic_count': 0},0 non-monotonic timestamp transitions
hl_btc_funding_hourly,Q8,PASS,28175,{'bad_funding_ts_count': 0},0 funding timestamps > 24h from event time
hl_eth_funding_hourly,Q1,PASS,28175,"{'duplicate_count': 0, 'sample_indices': []}",0 duplicate records found out of 28175
hl_eth_funding_hourly,Q2,PASS,28175,{'non_monotonic_count': 0},0 non-monotonic timestamp transitions
