symbol,train_accuracy,test_accuracy,samples
AUDUSD,0.8235259926233579,0.820580474934037,270352
BTCUSD,0.7834953484963308,0.7845468702245637,458071
CHFJPY,0.8225146737556919,0.8200063871078684,271379
DE30,0.7969226961471826,0.7974645253547464,242421
ETHUSD,0.7885545556805399,0.7838874307378244,457200
EURUSD,0.8235514808845676,0.817399452568244,270351
FR40,0.7856277611514892,0.7708102416315673,240584
GBPAUD,0.8261312571846587,0.8249494038184877,273401
GBPCHF,0.8282229436889955,0.8316133596818659,273254
GBPJPY,0.8225232950920823,0.8224055049901173,273204
GBPNZD,0.8228865602216009,0.8254432818711739,273336
GBPUSD,0.8256616079267528,0.8175832215583465,273361
NZDUSD,0.8215209789295963,0.8161284027710021,273302
US500,0.7944621008393579,0.7945890150486228,245426
USDCHF,0.8198156778332741,0.8183148039789351,273435
USDJPY,0.813193301460407,0.8104944894177314,273408
XAGUSD,0.7962558300439524,0.7814634146341464,286999
XAUUSD,0.8014304722240084,0.7884726357823789,288817
