bar_index,event_type,timestamp,asian_high,asian_low,asian_range_pips,au_pips,au_used,bar_close,bar_high,bar_low,bar_open,bar_time,direction,engine_state,entry_price,event,impulse_direction,impulse_extreme,impulse_size_pips,loop_count,new_origin,reason,session_active,sl_price,swing_origin,tier_name,tp_price,trigger_pips
0,session_init,2026-08-09T13:41:20.923705,1.09178,1.09005,17.300000000000093,,,,,,,,,,,,,,,,,,,,,,,
0,session_init,2026-08-09T13:41:20.927392,1.09181,1.09055,12.600000000000389,,,,,,,,,,,,,,,,,,,,,,,
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.09154,1.09176,1.09154,1.09175,2023-07-03T08:00:00,,SEARCH,,,0,0.0,0.0,1,,,True,,,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.09165,1.0917,1.0915300000000001,1.09154,2023-07-03T08:05:00,,SEARCH,,,0,0.0,0.0,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.09161,1.09167,1.09157,1.09164,2023-07-03T08:10:00,,SEARCH,,,0,0.0,0.0,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.09159,1.0917,1.0915300000000001,1.09161,2023-07-03T08:15:00,,SEARCH,,,0,0.0,0.0,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.09145,1.09159,1.09142,1.09159,2023-07-03T08:20:00,,SEARCH,,,0,0.0,0.0,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.09156,1.09164,1.0914,1.09144,2023-07-03T08:25:00,,SEARCH,,,0,0.0,0.0,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.09175,1.0918,1.09154,1.09156,2023-07-03T08:30:00,,SEARCH,,,0,0.0,0.0,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.09155,1.09182,1.0915300000000001,1.09175,2023-07-03T08:35:00,,SEARCH,,,0,0.0,0.0,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.09144,1.09159,1.09143,1.09155,2023-07-03T08:40:00,,SEARCH,,,0,0.0,0.0,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.09125,1.09142,1.09113,1.09139,2023-07-03T08:45:00,,SEARCH,,,0,0.0,0.0,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.09113,1.09126,1.09111,1.09126,2023-07-03T08:50:00,,SEARCH,,,0,0.0,0.0,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.09033,1.09113,1.0903100000000001,1.09113,2023-07-03T08:55:00,,SEARCH,,,0,0.0,0.0,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.09015,1.09067,1.09012,1.09033,2023-07-03T09:00:00,,WAIT_RETRACE,,,-1,1.0903100000000001,12.299999999998423,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.08974,1.09027,1.08958,1.09007,2023-07-03T09:05:00,,WAIT_OCC,,,-1,1.0903100000000001,12.299999999998423,1,,,True,,1.09154,T1,,12.0
0,signal_emitted,2026-08-09T13:41:20.927392,,,,,10.0,,,,,,-1,,1.08974,ENTRY,,,,1,,Q8: OCC confirmed after DZ pullback — entry on close (loop 1),,1.0903100000000001,,,1.08874,
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.08943,1.08975,1.08929,1.08975,2023-07-03T09:10:00,,IN_TRADE,,,-1,1.0903100000000001,12.299999999998423,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.08911,1.08944,1.08888,1.08942,2023-07-03T09:15:00,,IN_TRADE,,,-1,1.0903100000000001,12.299999999998423,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.08905,1.08914,1.08882,1.0890900000000001,2023-07-03T09:20:00,,IN_TRADE,,,-1,1.0903100000000001,12.299999999998423,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.08925,1.0893,1.0889199999999999,1.08904,2023-07-03T09:25:00,,IN_TRADE,,,-1,1.0903100000000001,12.299999999998423,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.08887,1.08927,1.08884,1.08927,2023-07-03T09:30:00,,IN_TRADE,,,-1,1.0903100000000001,12.299999999998423,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.08886,1.08913,1.08882,1.08889,2023-07-03T09:35:00,,IN_TRADE,,,-1,1.0903100000000001,12.299999999998423,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.08899,1.08904,1.08881,1.08886,2023-07-03T09:40:00,,IN_TRADE,,,-1,1.0903100000000001,12.299999999998423,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.08913,1.08922,1.08897,1.08897,2023-07-03T09:45:00,,IN_TRADE,,,-1,1.0903100000000001,12.299999999998423,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.08928,1.08945,1.08901,1.08915,2023-07-03T09:50:00,,IN_TRADE,,,-1,1.0903100000000001,12.299999999998423,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.08901,1.08941,1.08897,1.08929,2023-07-03T09:55:00,,IN_TRADE,,,-1,1.0903100000000001,12.299999999998423,1,,,True,,1.09154,T1,,12.0
0,bar_processed,2026-08-09T13:41:20.927392,,,,10.0,,1.08874,1.08907,1.08856,1.08902,2023-07-03T10:00:00,,IN_TRADE,,,-1,1.0903100000000001,12.299999999998423,1,,,True,,1.09154,T1,,12.0
0,state_reset_keep_loop,2026-08-09T13:41:20.927392,,,,,,,,,,,,,,,,,,1,1.08874,,,,,,,
